,https://roic.ai/company/AFMD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1173000,5087000,3382000,7562000,6314000,2010000,23735000,21391000,28360000,40366000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,8726000,14354000,9595000,22008000,30180000,21489000,35148000,43791000,49989000,81488000
6,General and Administrative Exp.,3050000,7046000,2346000,7548000,8323000,7986000,9638000,10265000,13715000,24218000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3050000,7046000,2346000,7548000,8323000,7986000,9638000,10265000,13715000,24218000
9,Other Expenses,-206000,-610000,-381000,-651000,-145000,-205000,-1515000,-39000,-497000,-1310000
10,Operating Expenses,11570000,20790000,11560000,28905000,38358000,29270000,43271000,54017000,63207000,104396000
11,COGS and Expenses,11570000,20790000,11560000,28905000,38358000,29270000,43271000,54017000,63207000,104396000
12,Interest Income ,- -,9000,- -,- -,122000,77000,5000,602000,186000,- -
13,Interest Expense (Gain),3927000,10406000,4279000,703000,803000,690000,847000,483000,95000,712000
14,Depreciation and Amortization,408000,427000,441000,336000,369000,351000,403000,906000,1115000,1334000
15,EBITDA,-9988000,-15267000,4295000,-19200000,-31102000,-29202000,-18226000,-30972000,-40155000,-55475000
16,EBITDA ratio,-8.5149,-3.0012,1.2700,-2.5390,-4.9259,-14.5284,-0.7679,-1.4479,-1.4159,-1.3743
17,Operating Income,-10397000,-15703000,-8178000,-21343000,-32044000,-27260000,-19536000,-32376000,-34718000,-64030000
18,Operating Income ratio,-8.8636,-3.0869,-2.4181,-2.8224,-5.0751,-13.5622,-0.8231,-1.5135,-1.2242,-1.5862
19,Total Other Income Expenses (Gains),-3926000,-10397000,7753000,1104000,-230000,-2983000,60000,15000,-6647000,6509000
20,Income Before Tax,-14323000,-26100000,-425000,-20239000,-32274000,-30243000,-19476000,-32361000,-41365000,-57521000
21,Income Before Tax Ratio,-12.2106,-5.1307,-0.1257,-2.6764,-5.1115,-15.0463,-0.8206,-1.5128,-1.4586,-1.4250
22,Income Tax expense (Gain),-9000,-1000,-166000,- -,-58000,-20000,1000,4000,1000,2000
23,Net Income,-14314000,-26099000,-259000,-20239000,-32216000,-30223000,-19477000,-32365000,-41366000,-57523000
24,Net Income ratio,-12.2029,-5.1305,-0.0766,-2.6764,-5.1023,-15.0363,-0.8206,-1.5130,-1.4586,-1.4250
25,EPS,-0.60,-1.09,-0.01,-0.71,-0.97,-0.69,-0.32,-0.50,-0.50,-0.48
26,EPS Diluted,-0.60,-1.09,-0.01,-0.71,-0.97,-0.69,-0.32,-0.50,-0.50,-0.48
27,Weighted Average Shares Outstanding,23984168,23984168,25900000,28505634,33212371,43801449,60514407,64242396,83471559,119502384
28,Weighted Average Shares Outstanding Diluted,23984168,23984168,25900000,28505634,33212371,43801449,60514407,64242396,83471559,119502384
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1608390/000095010315002323/dp54582_20f.htm,https://www.sec.gov/Archives/edgar/data/1608390/000095010316012182/0000950103-16-012182-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000095010317002899/0000950103-17-002899-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000095010318003510/0000950103-18-003510-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000155837019002456/0001558370-19-002456-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000155837020004500/afmd-20191231x20f.htm,https://www.sec.gov/Archives/edgar/data/1608390/000110465921053202/0001104659-21-053202-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,4902000,4151000,39725000,76740000,35407000,39837000,94829000,95234000,146854000,197630000
32,Short-Term Investments,- -,- -,- -,- -,9487000,- -,13974000,8902000,- -,- -
33,Cash and Short-Term Investments,4902000,4151000,39725000,76740000,44894000,39837000,108803000,104136000,146854000,197630000
34,Net Receivables,668000,1001000,939000,915000,2255000,1102000,1429000,1482000,2439000,4809000
35,Inventory,121000,140000,199000,228000,197000,241000,260000,296000,246000,421000
36,Other Current Assets,- -,- -,- -,452000,516000,800000,387000,- -,1260000,3534000
37,Total Current Assets,5691000,5292000,40863000,78335000,47862000,41980000,110879000,105914000,150799000,206394000
38,PP&E,1225000,1034000,974000,915000,822000,1113000,1414000,3115000,3166000,4786000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,260000,158000,72000,72000,55000,65000,56000,137000,1718000,1607000
41,Intangible Assets,260000,158000,72000,72000,55000,65000,56000,137000,1718000,1607000
42,Investments,- -,- -,- -,- -,- -,- -,3825000,3193000,20042000,12348000
43,Tax Assets,15000,16000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,1500000,1208000,1046000,987000,877000,1178000,5295000,6445000,24926000,18741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7191000,6500000,41909000,79322000,48739000,43158000,116174000,112359000,175725000,225135000
48,Accounts Payable,1990000,3862000,3759000,4444000,5323000,4180000,9425000,10674000,11394000,18860000
49,Short-Term Debt,- -,4800000,- -,1472000,973000,3083000,3083000,2637000,584000,1263000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,74000,82000,2460000,3028000,75000,230000,24335000,21353000,55049000,44424000
52,Other Current Liabilities,- -,6196000,- -,- -,- -,- -,- -,517000,- -,- -
53,Total Current Liabilities,2064000,14940000,6219000,8944000,6371000,7493000,36843000,35181000,67027000,64547000
54,Long-Term Debt,- -,- -,3895000,3104000,3617000,4086000,1690000,550000,713000,17428000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,37512000,37961000,35992000,7209000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,78251000,90783000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,78251000,90783000,3895000,3104000,3617000,4086000,39202000,38511000,36705000,24637000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,804000,974000,1051000
61,Total Liabilities,80315000,105723000,10114000,12048000,9988000,11579000,76045000,73692000,103732000,89184000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,63000,63000,240000,333000,333000,468000,624000,762000,983000,1234000
64,Retained Earnings,-73631000,-99730000,-99989000,-120228000,-152444000,-182667000,-202144000,-234508000,-275874000,-333397000
65,Other Comprehensive Income/Loss,469000,469000,131544000,187169000,190862000,213778000,241649000,272413000,346884000,468114000
66,Other Total Stockholders Equity,-25000,-25000,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,-73124000,-99223000,31795000,67274000,38751000,31579000,40129000,38667000,71993000,135951000
68,Total Liabilities And Stockholders Equity,7191000,6500000,41909000,79322000,48739000,43158000,116174000,112359000,175725000,225135000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7191000,6500000,41909000,79322000,48739000,43158000,116174000,112359000,175725000,225135000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1608390/000095010315002323/dp54582_20f.htm,https://www.sec.gov/Archives/edgar/data/1608390/000095010316012182/0000950103-16-012182-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000095010317002899/0000950103-17-002899-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000095010318003510/0000950103-18-003510-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000155837019002456/0001558370-19-002456-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000155837020004500/afmd-20191231x20f.htm,https://www.sec.gov/Archives/edgar/data/1608390/000110465921053202/0001104659-21-053202-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-14314000,-26099000,-259000,-20239000,-32216000,-30223000,-19477000,-32365000,-41366000,-57523000
74,Depreciation and Amortization,408000,427000,441000,336000,369000,351000,403000,906000,1115000,1334000
75,Deferred Income Tax,-9000,-1000,-166000,- -,-58000,-20000,1000,4000,1000,2000
76,Stock Based Compensation,1918000,- -,-4891000,2220000,3545000,1943000,2035000,2469000,3381000,11820000
77,Change in Working Capital,-575000,1527000,2278000,796000,-3521000,-321000,66636000,-454000,10573000,-34808000
78,Accounts Receivable,267000,-333000,62000,24000,-1311000,1140000,-322000,- -,- -,- -
79,Inventory,-44000,-20000,-59000,-29000,31000,-44000,-19000,-36000,50000,-175000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29990000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,3927000,18468000,-7950000,-1648000,-246000,2721000,-160000,384000,6896000,-7416000
83,Cash Provided by Operating Activities,-8645000,-5678000,-10547000,-18535000,-32127000,-25549000,49438000,-29056000,-19400000,-86591000
84,CAPEX,-35000,-162000,-305000,-277000,-259000,-668000,-721000,-1474000,-440000,-3850000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-27037000,-13380000,-14890000,-45131000,-8101000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,18147000,22063000,- -,50945000,16547000,- -
88,Other Investing Activites,-6000,-18000,-38000,-28000,-21000,-8000,-29000,-150000,-9000,-1654000
89,Cash Used for Investing Activites,-35000,-157000,-298000,-277000,-9149000,8050000,-15610000,4340000,8006000,-3850000
90,Debt Repayment,- -,-254000,- -,- -,-5137000,-167000,-2917000,-3682000,-2649000,-656000
91,Common Stock Issued,- -,- -,43213000,56615000,6000,23123000,25113000,31373000,74195000,124460000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9836000,5338000,1676000,-3117000,4895000,841000,-1701000,-1653000,-2294000,9777000
95,Cash Used/Provided by Financing Activities,9836000,5084000,44889000,53498000,-236000,23797000,20495000,26038000,69252000,133581000
96,Effect of Forex Changes on Cash,- -,- -,1530000,2329000,179000,-1867000,669000,-917000,-6238000,7636000
97,Net Change In Cash,1156000,-751000,35574000,37015000,-41333000,4430000,54992000,405000,51620000,50776000
98,Cash at the End of Period,4902000,4151000,39725000,76740000,35407000,39837000,94829000,95234000,146854000,197630000
99,Cash at the Beginning of Period,3746000,4902000,4151000,39725000,76740000,35407000,39837000,94829000,95234000,146854000
100,Free Cash Flow,-8680000,-5840000,-10852000,-18812000,-32386000,-26217000,48717000,-30530000,-19840000,-90441000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1608390/000095010315002323/dp54582_20f.htm,https://www.sec.gov/Archives/edgar/data/1608390/000095010316012182/0000950103-16-012182-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000095010317002899/0000950103-17-002899-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000095010318003510/0000950103-18-003510-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000155837019002456/0001558370-19-002456-index.html,https://www.sec.gov/Archives/edgar/data/1608390/000155837020004500/afmd-20191231x20f.htm,https://www.sec.gov/Archives/edgar/data/1608390/000110465921053202/0001104659-21-053202-index.htm,- -
102,Forex Rate,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
