,https://roic.ai/company/BABA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,1363862000,2162757000,3001194000,3874728000,5557586000,6416894000,20025000000,34517000000,52504000000,76204000000,101143000000,158273000000,250266000000,376844000000,509711000000,717289000000
2,COGS,237625000,280113000,387368000,534438000,931016000,1259979000,6554000000,9719000000,13369000000,23834000000,34355000000,59483000000,107044000000,206929000000,282367000000,421205000000
3,Gross Profit,1126237000,1882644000,2613826000,3340290000,4626570000,5156915000,13471000000,24798000000,39135000000,52370000000,66788000000,98790000000,143222000000,169915000000,227344000000,296084000000
4,Gross Profit Ratio,0.8258,0.8705,0.8709,0.8621,0.8325,0.8036,0.6727,0.7184,0.7454,0.6872,0.6603,0.6242,0.5723,0.4509,0.4460,0.4128
5,Research and Development Exp.,105486000,131495000,186513000,384333000,580173000,784667000,2897000000,3753000000,5093000000,10658000000,13788000000,17060000000,22754000000,37435000000,43080000000,57236000000
6,General and Administrative Exp.,- -,- -,320144000,409708000,568324000,640059000,2211000000,2889000000,4218000000,7800000000,9205000000,12239000000,16241000000,24889000000,28197000000,55224000000
7,Selling and Marketing Exp.,- -,- -,1092086000,1623845000,2050561000,2041846000,3058000000,3613000000,4545000000,8513000000,11307000000,16314000000,27299000000,39780000000,50673000000,81519000000
8,"Selling, General and Administrative Exp.",- -,- -,1412230000,2033553000,2618885000,2681905000,5269000000,6502000000,8763000000,16313000000,20512000000,28553000000,43540000000,64669000000,78870000000,136743000000
9,Other Expenses,770167000,966681000,-177300000,-150566000,-109026000,- -,-45000000,3229000000,63000000,1762000000,2530000000,5122000000,6565000000,10061000000,12390000000,12427000000
10,Operating Expenses,875653000,1098176000,1421443000,2267320000,3090032000,3466572000,8121000000,13484000000,13919000000,28733000000,36830000000,50735000000,72859000000,112165000000,134340000000,206406000000
11,COGS and Expenses,1113278000,1378289000,1808811000,2801758000,4021048000,4726551000,14675000000,23203000000,27288000000,52567000000,71185000000,110218000000,179903000000,319094000000,416707000000,627611000000
12,Interest Income ,- -,- -,245055000,- -,- -,- -,258000000,39000000,1648000000,9455000000,52254000000,8559000000,30495000000,44106000000,72956000000,72794000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,68000000,1572000000,2195000000,2750000000,1946000000,2671000000,3566000000,5190000000,5180000000,4476000000
14,Depreciation and Amortization,- -,- -,77220000,126582000,226910000,252692000,870000000,935000000,1654000000,4415000000,6701000000,14292000000,22020000000,37080000000,42427000000,47909000000
15,EBITDA,291388000,1149444000,1492723000,1303001000,1932819000,2393261000,6008000000,12496000000,30360000000,37842000000,88556000000,74414000000,107878000000,146709000000,217602000000,232241000000
16,EBITDA ratio,0.2136,0.5315,0.4974,0.3363,0.3478,0.3730,0.3000,0.3620,0.5782,0.4966,0.8756,0.4702,0.4311,0.3893,0.4269,0.3238
17,Operating Income,268496000,804345000,1192383000,1072970000,1536538000,1816886000,5015000000,10751000000,24920000000,23135000000,29102000000,48055000000,69314000000,57084000000,91430000000,89678000000
18,Operating Income ratio,0.1969,0.3719,0.3973,0.2769,0.2765,0.2831,0.2504,0.3115,0.4746,0.3036,0.2877,0.3036,0.2770,0.1515,0.1794,0.1250
19,Total Other Income Expenses (Gains),22892000,345099000,223120000,103449000,169919000,319848000,517000000,-639000000,1882000000,9191000000,52366000000,11974000000,31089000000,39137000000,75215000000,75900000000
20,Income Before Tax,291388000,1149444000,1415503000,1176419000,1706457000,2136734000,5532000000,10112000000,26802000000,32326000000,81468000000,60029000000,100403000000,96221000000,166645000000,165578000000
21,Income Before Tax Ratio,0.2136,0.5315,0.4716,0.3036,0.3071,0.3330,0.2763,0.2930,0.5105,0.4242,0.8055,0.3793,0.4012,0.2553,0.3269,0.2308
22,Income Tax expense (Gain),71450000,181649000,210317000,163393000,236445000,427896000,842000000,1457000000,3196000000,6416000000,8449000000,13776000000,18199000000,16553000000,20562000000,29278000000
23,Net Income,219938000,967795000,1205186000,1013026000,1469464000,1712673000,4228000000,8532000000,23315000000,24261000000,71460000000,43675000000,64093000000,87886000000,149433000000,150578000000
24,Net Income ratio,0.1613,0.4475,0.4016,0.2614,0.2644,0.2669,0.2111,0.2472,0.4441,0.3184,0.7065,0.2759,0.2561,0.2332,0.2932,0.2099
25,EPS,0.05,0.20,0.24,0.20,0.29,0.34,1.87,3.66,10.29,10.33,29.07,17.52,25.06,33.95,56.80,55.60
26,EPS Diluted,0.05,0.20,0.24,0.20,0.29,0.34,1.81,3.57,10.00,9.70,27.89,16.97,24.51,33.38,55.92,54.72
27,Weighted Average Shares Outstanding,4825000000,4859882000,5052130000,5040685000,5043800000,5043800000,2266000000,2294000000,2266000000,2337000000,2458000000,2493000000,2553000000,2580000000,2627125000,2702375000
28,Weighted Average Shares Outstanding Diluted,4825000000,4859882000,5055310403,5079627000,5078820000,5078820000,2332000000,2389000000,2332000000,2500000000,2562000000,2573000000,2610000000,2623000000,2668250000,2747750000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577552/000110465915035237/0001104659-15-035237-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1577552/000110465917033787/0001104659-17-033787-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465918030651/0001104659-18-030651-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465919029738/0001104659-19-029738-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465920065398/0001104659-20-065398-index.htm,https://www.sec.gov/Archives/edgar/data/1577552/000110465921096092/0001104659-21-096092-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,18000,1751663000,2688951000,2748690000,3254344000,3433048000,16857000000,30396000000,33045000000,108193000000,106818000000,143736000000,199309000000,189976000000,330503000000,321262000000
