,https://roic.ai/company/SUM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,789076000,926254000,916201000,1204231000,- -,1626063000,1932575000,2101002000,2222140000,- -,2332451000
2,COGS,597654000,713346000,677052000,887160000,- -,1072070000,1281777000,1475779000,1526332000,- -,1583996000
3,Gross Profit,191422000,212908000,239149000,317071000,- -,553993000,650798000,625223000,695808000,- -,748455000
4,Gross Profit Ratio,0.2426,0.2299,0.2610,0.2633,- -,0.3407,0.3368,0.2976,0.3131,- -,0.3209
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,104946000,129203000,145990000,159286000,- -,250659000,235170000,241009000,252226000,- -,309531000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",104946000,129203000,145990000,159286000,- -,250659000,235170000,241009000,252226000,- -,309531000
9,Other Expenses,61377000,68290000,72934000,87826000,- -,149300000,199566000,209789000,244589000,- -,221320000
10,Operating Expenses,166323000,197493000,218924000,247112000,- -,399959000,434736000,450798000,496815000,- -,530851000
11,COGS and Expenses,763977000,910839000,895976000,1134272000,- -,1472029000,1716513000,1926577000,2023147000,- -,2114847000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),47784000,58079000,56443000,86742000,- -,97536000,108549000,116548000,116509000,- -,103595000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,193107000,208772000,222862000,- -,- -
15,EBITDA,40447000,1663000,-52995000,70982000,- -,129020000,139509000,418973000,415538000,- -,229377000
16,EBITDA ratio,0.0513,0.0018,-0.0578,0.0589,- -,0.0793,0.0722,0.1994,0.1870,- -,0.0983
17,Operating Income,25099000,15415000,-47977000,69959000,- -,154034000,220877000,162466000,213558000,- -,225173000
18,Operating Income ratio,0.0318,0.0166,-0.0524,0.0581,- -,0.0947,0.1143,0.0773,0.0961,- -,0.0965
19,Total Other Income Expenses (Gains),-26540000,-66366000,-57821000,-83295000,- -,-113207000,-379077000,-66389000,-135334000,- -,-96118000
20,Income Before Tax,-1441000,-50951000,-105798000,-13336000,- -,40827000,-158200000,96077000,78224000,- -,129055000
21,Income Before Tax Ratio,-0.0018,-0.0550,-0.1155,-0.0111,- -,0.0251,-0.0819,0.0457,0.0352,- -,0.0553
22,Income Tax expense (Gain),3408000,-3920000,-2647000,-6983000,- -,-5299000,-283977000,59747000,17101000,- -,-12185000
23,Net Income,-10745000,-52496000,-106791000,-8777000,- -,36783000,121830000,33906000,59066000,- -,137967000
24,Net Income ratio,-0.0136,-0.0567,-0.1166,-0.0073,- -,0.0226,0.0630,0.0161,0.0266,- -,0.0592
25,EPS,-0.45,-2.20,-4.48,0.11,- -,0.52,1.12,0.30,0.53,- -,1.21
26,EPS Diluted,-0.45,-2.20,-4.48,0.11,- -,0.52,1.11,0.30,0.52,- -,1.20
27,Weighted Average Shares Outstanding,23859432,23859432,23859432,23859432,- -,69797661,108696438,111380175,112204067,- -,114227192
28,Weighted Average Shares Outstanding Diluted,24287344,24287344,24287344,24287344,- -,70287896,109490898,112316646,112684718,- -,114631768
29,SEC Link,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1621563/000155837017001167/sum-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1621563/000155837018000708/0001558370-18-000708-index.html,https://www.sec.gov/Archives/edgar/data/1621563/000162828019001027/a122918summitmaterials10k.htm,https://www.sec.gov/Archives/edgar/data/1571371/000162828020001083/0001628280-20-001083-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1621563/000162828021003021/0001628280-21-003021-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30697000,18183000,13215000,- -,143392000,383556000,128508000,311319000,- -,418181000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,30697000,18183000,13215000,- -,143392000,383556000,128508000,311319000,- -,418181000
34,Net Receivables,- -,111873000,110104000,151476000,- -,169827000,198330000,233120000,266344000,- -,263362000
35,Inventory,- -,92977000,96432000,111553000,- -,157679000,193951000,213851000,204787000,- -,200308000
36,Other Current Assets,- -,10068000,13181000,17172000,- -,12800000,7764000,16061000,13831000,- -,11428000
37,Total Current Assets,- -,245615000,237900000,293416000,- -,483698000,783601000,591540000,796281000,- -,893279000
38,PP&E,- -,813607000,831778000,950601000,- -,1446452000,1615424000,1780132000,1780226000,- -,1878712000
39,Goodwill,- -,179120000,127038000,419270000,- -,782212000,1036320000,1192028000,1199699000,- -,1201291000
40,Intangible Assets,- -,8606000,15147000,17647000,- -,17989000,16833000,18460000,23498000,- -,47852000
41,Intangible Assets,- -,187726000,142185000,436917000,- -,800201000,1053153000,1210488000,1223197000,- -,1249143000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231877000
44,Other Non-Current Assets,- -,37531000,39197000,48843000,- -,51115000,335155000,275481000,267852000,- -,55000000
45,Total Non-Current Assets,- -,1038864000,1013160000,1436361000,- -,2297768000,3003732000,3266101000,3271275000,- -,3414732000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
