,https://roic.ai/company/TXG,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,71085000,146313000,245893000,298845000,490490000
2,COGS,10560000,28661000,61033000,58468000,74091000
3,Gross Profit,60525000,117652000,184860000,240377000,416399000
4,Gross Profit Ratio,0.8514,0.8041,0.7518,0.8044,0.8489
5,Research and Development Exp.,32164000,47537000,83097000,123375000,211752000
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,130834000,202326000,257560000
9,Other Expenses,46736000,118516000,- -,- -,- -
10,Operating Expenses,78900000,166053000,213931000,325701000,469312000
11,COGS and Expenses,89460000,194714000,274964000,384169000,543403000
12,Interest Income ,308000,1024000,2805000,1532000,206000
13,Interest Expense (Gain),811000,2409000,3079000,1682000,866000
14,Depreciation and Amortization,4305000,3905000,7066000,19021000,28254000
15,EBITDA,-13625000,-106084000,-20888000,-513773000,-24595000
16,EBITDA ratio,-0.1917,-0.7250,-0.0849,-1.7192,-0.0501
17,Operating Income,-18375000,-110764000,-30573000,-534142000,-52253000
18,Operating Income ratio,-0.2585,-0.7570,-0.1243,-1.7874,-0.1065
19,Total Other Income Expenses (Gains),-366000,-1634000,-460000,-334000,-1462000
20,Income Before Tax,-18741000,-112398000,-31033000,-534476000,-53715000
21,Income Before Tax Ratio,-0.2636,-0.7682,-0.1262,-1.7885,-0.1095
22,Income Tax expense (Gain),21000,87000,218000,8255000,4508000
23,Net Income,-18762000,-112485000,-31251000,-542731000,-58223000
24,Net Income ratio,-0.2639,-0.7688,-0.1271,-1.8161,-0.1187
25,EPS,-0.23,-1.45,-0.80,-5.37,-0.58
26,EPS Diluted,-0.23,-1.45,-0.80,-5.37,-0.58
27,Weighted Average Shares Outstanding,82891536,77494992,39091366,101151675,101151675
28,Weighted Average Shares Outstanding Diluted,82891536,77494992,39091366,101151675,101151675
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1770787/000119312520052640/0001193125-20-052640-index.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000009/0001770787-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000015/0001770787-22-000015-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,47857000,65080000,424166000,663603000,587447000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,47857000,65080000,424166000,663603000,587447000
34,Net Receivables,13341000,29566000,33371000,51208000,85254000
35,Inventory,4838000,8570000,15270000,29959000,59966000
36,Other Current Assets,2071000,3020000,8033000,29596000,14924000
37,Total Current Assets,68107000,106236000,480840000,774366000,747591000
38,PP&E,6925000,11127000,48821000,119823000,230410000
39,Goodwill,- -,- -,- -,- -,4511000
40,Intangible Assets,- -,- -,- -,22354000,25397000
41,Intangible Assets,- -,- -,- -,22354000,29908000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,577000,6947000,76262000,12798000,10917000
45,Total Non-Current Assets,7502000,18074000,125083000,154975000,271235000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,75609000,124310000,605923000,929341000,1018826000
48,Accounts Payable,5443000,8792000,13028000,4709000,17351000
49,Short-Term Debt,4224000,4187000,9882000,5936000,5131000
50,Tax Payable,163000,738000,1087000,8649000,4622000
51,Deferred Revenue,1827000,2776000,4601000,6199000,6294000
52,Other Current Liabilities,10647000,16607000,35538000,101282000,81581000
53,Total Current Liabilities,22141000,32362000,63049000,118126000,110357000
54,Long-Term Debt,6335000,25489000,19837000,57042000,76847000
55,Deferred Revenue,713000,1102000,834000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,158929000,285344000,102120000,15101000,14054000
58,Total Non-Current Liabilities,165977000,311935000,122791000,72143000,90901000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,62978000,81978000
61,Total Liabilities,188118000,344297000,185840000,190269000,201258000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,2000,2000
64,Retained Earnings,-118631000,-231116000,-262367000,-805098000,-863321000
65,Other Comprehensive Income/Loss,-15000,-37000,-46000,-50000,22000
66,Other Total Stockholders Equity,6136000,11165000,682494000,1544218000,1680865000
67,Total Stockholders Equity,-112509000,-219987000,420083000,739072000,817568000
68,Total Liabilities And Stockholders Equity,75609000,124310000,605923000,929341000,1018826000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,75609000,124310000,605923000,929341000,1018826000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1770787/000119312520052640/0001193125-20-052640-index.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000009/0001770787-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000015/0001770787-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-18762000,-112485000,-31251000,-542731000,-58223000
74,Depreciation and Amortization,4305000,3905000,7066000,19021000,28254000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1661000,2658000,13333000,48626000,95962000
77,Change in Working Capital,1948000,27908000,44764000,-50381000,-87445000
78,Accounts Receivable,-5131000,-14747000,-5284000,-17847000,-34041000
79,Inventory,-1995000,-3732000,-6699000,-14601000,-30132000
80,Accounts Payable,3034000,2587000,4901000,-7770000,11084000
81,Other Working Capital,45966000,73874000,18656000,4959000,17872000
82,Other Non-Cash Items,149000,1605000,715000,307567000,79000
83,Cash Provided by Operating Activities,-10699000,-76409000,34627000,-217898000,-21373000
84,CAPEX,-3756000,-6709000,-42767000,-38394000,-101278000
85,Acquisitions Net,- -,- -,- -,- -,-5451000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-425000,-25000,-1728000,- -
89,Cash Used for Investing Activites,-3756000,-6709000,-42767000,-38394000,-106729000
90,Debt Repayment,-393000,-773000,-11000000,-31256000,- -
91,Common Stock Issued,- -,1798000,410824000,482267000,- -
92,Common Stock Repurchased,-80000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,21056000,104342000,14766000,17895000,35297000
95,Cash Used/Provided by Financing Activities,20583000,105367000,414590000,468906000,35297000
96,Effect of Forex Changes on Cash,-14000,-18000,-45000,-463000,234000
97,Net Change In Cash,6114000,22231000,406405000,212151000,-92571000
98,Cash at the End of Period,47857000,70088000,476493000,688644000,596073000
99,Cash at the Beginning of Period,41743000,47857000,70088000,476493000,688644000
100,Free Cash Flow,-14455000,-83118000,-8140000,-256292000,-122651000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1770787/000119312520052640/0001193125-20-052640-index.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078721000009/0001770787-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1770787/000177078722000015/0001770787-22-000015-index.htm
102,false,,,,,
