,https://roic.ai/company/IIIV,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,199644000,262571000,323508000,376307000,150134000,224124000
2,COGS,162932000,217910000,254857000,287104000,47230000,57706000
3,Gross Profit,36712000,44661000,68651000,89203000,102904000,166418000
4,Gross Profit Ratio,0.1839,0.1701,0.2122,0.2370,0.6854,0.7425
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,40585000,62860000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20393000,27194000,40585000,62860000,78323000,134872000
9,Other Expenses,9898000,10085000,11839000,19953000,18217000,24418000
10,Operating Expenses,30291000,37279000,52424000,82813000,96540000,159290000
11,COGS and Expenses,193223000,255189000,307281000,369917000,143770000,216996000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),5900000,6936000,8498000,6004000,8926000,9799000
14,Depreciation and Amortization,9898000,10085000,11839000,16564000,18217000,24418000
15,EBITDA,13948000,18100000,13776000,19346000,23929000,30383000
16,EBITDA ratio,0.0699,0.0689,0.0426,0.0514,0.1594,0.1356
17,Operating Income,3963000,7600000,12361000,6390000,7773000,-12000
18,Operating Income ratio,0.0199,0.0289,0.0382,0.0170,0.0518,-0.0001
19,Total Other Income Expenses (Gains),-5813000,-6521000,-16985000,-6004000,-11547000,-7204000
20,Income Before Tax,-1850000,1079000,-4624000,386000,-3774000,-7216000
21,Income Before Tax Ratio,-0.0093,0.0041,-0.0143,0.0010,-0.0251,-0.0322
22,Income Tax expense (Gain),243000,177000,337000,-177000,-2795000,623000
23,Net Income,-2093000,902000,-6898000,-3045000,-419000,-4457000
24,Net Income ratio,-0.0105,0.0034,-0.0213,-0.0081,-0.0028,-0.0199
25,EPS,-0.27,0.21,-0.78,-0.29,-0.03,-0.21
26,EPS Diluted,-0.27,0.19,-0.78,-0.29,-0.03,-0.22
27,Weighted Average Shares Outstanding,7803000,7803000,8812630,10490981,14833378,20994598
28,Weighted Average Shares Outstanding Diluted,7803000,26807000,26873878,10490981,27429801,31714191
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1728688/000172868818000027/0001728688-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868819000108/0001728688-19-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868820000086/0001728688-20-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1728688/000172868821000086/0001728688-21-000086-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,3776000,955000,572000,1119000,15568000,3641000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3776000,955000,572000,1119000,15568000,3641000
34,Net Receivables,6166000,8412000,12500000,15335000,17538000,38500000
35,Inventory,- -,- -,- -,1294000,1309000,- -
36,Other Current Assets,5653000,6337000,3493000,2823000,3560000,15982000
37,Total Current Assets,15595000,15704000,16565000,20571000,37975000,58123000
38,PP&E,1597000,1420000,2958000,5026000,5339000,20381000
39,Goodwill,35056000,58517000,83954000,168284000,187005000,292243000
40,Intangible Assets,47256000,63037000,69395000,122873000,126222000,171706000
41,Intangible Assets,82312000,121554000,153349000,291157000,313227000,463949000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,28138000,36755000,49992000
44,Other Non-Current Assets,778000,1313000,2270000,4410000,10230000,59355000
45,Total Non-Current Assets,84687000,124287000,158577000,328731000,365551000,593677000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,100282000,139991000,175142000,349302000,403526000,651800000
48,Accounts Payable,1984000,1600000,4114000,3438000,3845000,7865000
49,Short-Term Debt,5000000,4000000,5000000,- -,- -,9603000
50,Tax Payable,- -,- -,836000,50000,- -,- -
51,Deferred Revenue,2273000,2719000,6260000,12205000,12814000,29862000
52,Other Current Liabilities,11048000,11902000,11068000,19592000,22236000,49181000
53,Total Current Liabilities,20305000,20221000,26442000,35235000,38895000,96511000
54,Long-Term Debt,78537000,106836000,31776000,139298000,90758000,11960000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1100000,516000,2212000,- -
57,Other Non-Current Liabilities,10950000,9788000,3626000,31812000,31493000,253738000
