,https://roic.ai/company/CHRS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1899000,2751000,31106000,30041000,190106000,1556000,- -,356071000,475824000,326551000
2,COGS,- -,- -,- -,- -,- -,- -,- -,17078000,37667000,57591000
3,Gross Profit,1899000,2751000,31106000,30041000,- -,- -,- -,338993000,438157000,268960000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,0.9520,0.9208,0.8236
5,Research and Development Exp.,34886000,31279000,78224000,213062000,254440000,162389000,110239000,94188000,142759000,363105000
6,General and Administrative Exp.,5531000,7465000,17564000,36046000,51597000,71303000,94177000,137037000,139079000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5531000,7465000,17564000,36046000,51597000,71303000,94177000,137037000,139079000,169713000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,40417000,38744000,95788000,249108000,306037000,233692000,204416000,231225000,281838000,532818000
11,COGS and Expenses,40417000,38744000,95788000,249108000,306037000,233692000,204416000,248303000,319505000,590409000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1514000,5293000,3900000,33000,7980000,9552000,9684000,17601000,21166000,22959000
14,Depreciation and Amortization,221000,404000,674000,1869000,2996000,3398000,3235000,3259000,2888000,3454000
15,EBITDA,-31283000,-47938000,-82559000,-221358000,-116361000,-225220000,-201181000,113635000,159761000,-260687000
16,EBITDA ratio,-16.4734,-17.4257,-2.6541,-7.3685,-0.6121,-144.7429,-Infinity,0.3191,0.3358,-0.7983
17,Operating Income,-38518000,-35993000,-64682000,-219067000,-115931000,-232136000,-204416000,107768000,156319000,-263858000
18,Operating Income ratio,-20.2833,-13.0836,-2.0794,-7.2923,-0.6098,-149.1877,-Infinity,0.3027,0.3285,-0.8080
19,Total Other Income Expenses (Gains),5500000,-17642000,-22495000,-4871000,-11857000,-6150000,-4993000,-14993000,-20612000,-23242000
20,Income Before Tax,-33018000,-53635000,-87177000,-223938000,-127788000,-238286000,-209409000,92775000,135707000,-287100000
21,Income Before Tax Ratio,-17.3870,-19.4965,-2.8026,-7.4544,-0.6722,-153.1401,-Infinity,0.2606,0.2852,-0.8792
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,2942000,3463000,- -
23,Net Income,-33018000,-53635000,-87133000,-223260000,-127337000,-238170000,-209339000,89833000,132244000,-287100000
