,https://roic.ai/company/AAT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,117508000,120943000,117043000,128950000,209823000,235466000,255057000,260000000,275623000,295088000,314983000,330867000,366741000,344573000,375828000
2,COGS,32552000,32919000,28642000,35960000,59937000,86114000,89986000,91231000,98006000,107931000,116677000,121455000,131980000,121119000,129774000
3,Gross Profit,84956000,88024000,88401000,92990000,149886000,149352000,165071000,168769000,177617000,187157000,198306000,209412000,234761000,223454000,246054000
4,Gross Profit Ratio,0.7230,0.7278,0.7553,0.7211,0.7143,0.6343,0.6472,0.6491,0.6444,0.6342,0.6296,0.6329,0.6401,0.6485,0.6547
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10471000,8690000,7058000,8813000,13916000,15593000,17195000,18532000,20074000,17897000,21382000,22784000,24871000,26581000,29879000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10471000,8690000,7058000,8813000,13916000,15593000,17195000,18532000,20074000,17897000,21382000,22784000,24871000,26581000,29879000
9,Other Expenses,31376000,31089000,29858000,37642000,77194000,61853000,66775000,66568000,63392000,71319000,83278000,107093000,96205000,108292000,116306000
10,Operating Expenses,41847000,39779000,36916000,46455000,91110000,77446000,83970000,85100000,83466000,89216000,104660000,129877000,121076000,134873000,146185000
11,COGS and Expenses,74399000,72698000,65558000,82415000,151047000,163560000,173956000,176331000,181472000,197147000,221337000,251332000,253056000,255992000,275959000
12,Interest Income ,2462000,1167000,173000,74000,- -,336000,148000,155000,90000,72000,548000,238000,696000,436000,324000
13,Interest Expense (Gain),42902000,43737000,43290000,46813000,56487000,57328000,58020000,52965000,47260000,51936000,53848000,52248000,54008000,53440000,58587000
14,Depreciation and Amortization,31376000,31459000,30228000,38012000,57639000,61853000,66775000,66568000,63392000,71319000,83278000,107093000,96205000,108292000,116306000
