,https://roic.ai/company/OSPN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,12302185,15015927,19400000,28065680,26726849,18913178,22865942,29893000,54579000,76062000,119980000,132977000,101695000,107963000,168082000,154029000,155047000,201537000,241443000,192304000,193291000,212280000,254570000,215691000,214481000
2,COGS,6286688,6949308,6200000,8653206,10590485,7170644,9010157,9184000,20141000,24359000,40868000,41007000,30535000,31997000,59970000,54464000,55176000,73771000,95351000,61647000,58777000,64813000,81962000,63439000,71546000
3,Gross Profit,6015497,8066619,13200000,19412474,16136364,11742534,13855785,20709000,34438000,51703000,79112000,91970000,71160000,75966000,108112000,99565000,99871000,127766000,146092000,130657000,134514000,147467000,172608000,152252000,142935000
4,Gross Profit Ratio,0.4890,0.5372,0.6804,0.6917,0.6038,0.6209,0.6060,0.6928,0.6310,0.6797,0.6594,0.6916,0.6997,0.7036,0.6432,0.6464,0.6441,0.6340,0.6051,0.6794,0.6959,0.6947,0.6780,0.7059,0.6664
5,Research and Development Exp.,1801575,1787893,3600000,4581001,4980544,3116497,2281056,2835000,3579000,5529000,9440000,11618000,11582000,13568000,18636000,18794000,21315000,19497000,18538000,23214000,23119000,32197000,42463000,41194000,47414000
6,General and Administrative Exp.,4768378,- -,- -,- -,- -,- -,- -,- -,- -,- -,37750000,51589000,16183000,18538000,22450000,20071000,21196000,22287000,32489000,31648000,37400000,41589000,43897000,46338000,53031000
7,Selling and Marketing Exp.,3380777,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30299000,31027000,40294000,37768000,40323000,43362000,39670000,57347000,58994000,63805000,61503000,60856000,62730000
8,"Selling, General and Administrative Exp.",8149155,- -,- -,- -,- -,- -,- -,- -,- -,- -,37750000,51589000,46482000,49565000,62744000,57839000,61519000,65649000,72159000,88995000,96394000,105394000,105400000,107194000,115761000
9,Other Expenses,- -,7488705,10500000,17432099,19977575,12450351,10451637,12354000,20078000,27232000,1029000,626000,453000,443000,1967000,1905000,3325000,4532000,4942000,8849000,8809000,9852000,9470000,9122000,5888000
10,Operating Expenses,9950730,9276598,14100000,22013100,24958119,15566848,12732693,15189000,23657000,32761000,48219000,63833000,58517000,63576000,83347000,78538000,86159000,89678000,95639000,121058000,128322000,147443000,157333000,157510000,169063000
11,COGS and Expenses,16237418,16225906,20300000,30666306,35548604,22737492,21742850,24373000,43798000,57120000,89087000,104840000,89052000,95573000,143317000,133002000,141335000,163449000,190990000,182705000,187099000,212256000,239295000,220949000,240609000
12,Interest Income ,- -,- -,- -,29334,774894,- -,- -,120000,69000,121000,479000,990000,572000,324000,543000,261000,162000,118000,364000,785000,1431000,1265000,747000,404000,- -
13,Interest Expense (Gain),- -,1457627,- -,- -,- -,269867,80163,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1248807,994483,1100000,1415763,5576096,1351804,1061018,734000,1076000,1242000,3004000,3381000,3343000,2458000,3809000,3644000,5042000,6156000,6302000,10777000,10601000,12138000,9470000,12003000,8926000
