,https://roic.ai/company/WLK,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1057631000,1392276000,1087033000,1072627000,1423034000,1985353000,2441105000,2484366000,3192178000,3692353000,2325723000,3171787000,3619848000,3571041000,3759484000,4415350000,4463336000,5075456000,8041000000,8635000000,8118000000,7504000000,11778000000
2,COGS,887956000,1193352000,1116954000,992058000,1301082000,1682168000,1997474000,2087883000,2920778000,3622985000,2130595000,2689104000,3060842000,2834081000,2658046000,3098000000,3278145000,4094894000,6272000000,6648000000,6858000000,6481000000,8283000000
3,Gross Profit,169675000,198924000,-29921000,80569000,121952000,303185000,443631000,396483000,271400000,69368000,195128000,482683000,559006000,736960000,1101438000,1317350000,1185191000,980562000,1769000000,1987000000,1260000000,1023000000,3495000000
4,Gross Profit Ratio,0.1604,0.1429,-0.0275,0.0751,0.0857,0.1527,0.1817,0.1596,0.0850,0.0188,0.0839,0.1522,0.1544,0.2064,0.2930,0.2984,0.2655,0.1932,0.2200,0.2301,0.1552,0.1363,0.2967
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,60238000,76598000,83232000,96679000,98908000,87871000,104319000,112210000,121609000,147974000,193359000,225364000,295436000,399000000,445000000,458000000,449000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",52087000,62038000,- -,64258000,57014000,60238000,76598000,83232000,96679000,98908000,87871000,104319000,112210000,121609000,147974000,193359000,225364000,295436000,399000000,445000000,458000000,449000000,551000000
9,Other Expenses,2748000,10777000,- -,2239000,-877000,-219000,- -,- -,- -,- -,- -,- -,- -,664000,888000,- -,- -,- -,108000000,101000000,109000000,- -,123000000
10,Operating Expenses,54835000,72815000,- -,66497000,56137000,60019000,76598000,83232000,96679000,98908000,87871000,104319000,112210000,122273000,148862000,193359000,225364000,295436000,507000000,546000000,567000000,449000000,674000000
11,COGS and Expenses,942791000,1266167000,1116954000,1058555000,1357219000,1742187000,2074072000,2171115000,3017457000,3721893000,2218466000,2793423000,3173052000,2956354000,2806908000,3291359000,3503509000,4390330000,6779000000,7194000000,7425000000,6930000000,8957000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,4560000,823000,1510000,2865000,4010000,3086000,3468000,6034000,8421000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,33957000,34957000,39875000,50992000,43049000,18082000,37352000,34656000,79473000,159000000,126000000,124000000,142000000,176000000
14,Depreciation and Amortization,86462000,78757000,- -,88018000,88180000,83172000,82697000,87112000,104274000,111926000,123199000,128732000,131397000,144541000,157808000,208486000,245757000,377666000,601000000,641000000,713000000,773000000,840000000
