,https://roic.ai/company/GAHC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,614891,2906838,4501805,4464954,1702973,27719814,35596825,19315622,11916453,14962319,849245,9462349,11124845,28416,961610,1224469,532666,716517,477773,641629,- -
2,COGS,- -,531807,2316096,3407236,3331896,2016290,24710250,32285857,18173192,10876412,13399760,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,83084,590742,1094569,1133058,-313317,3009564,3310968,1142430,1040041,1562559,849245,9462349,11124845,28416,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.1351,0.2032,0.2431,0.2538,-0.1840,0.1086,0.0930,0.0591,0.0873,0.1044,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209406,356113,- -,382982,- -,- -,- -,111709,89819,120554,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1808464,862068,1288279,3567525,5518720,2277961,2772850,1531564,3176405,1475266,1485115,1623317,661863
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,528293,451694,643661,6879509,8124205,- -,- -,- -,- -,5352,6596,3703,- -
8,"Selling, General and Administrative Exp.",- -,973713,1725477,2702758,2303287,2039977,2375134,4447842,2511882,2336757,1313762,1931940,10447034,13642925,2277961,2772850,1531564,3176405,1480618,1491711,1627020,661863
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,-1,1,- -,243220,- -,- -,- -,- -,- -,- -,- -,- -,- -,1233255
10,Operating Expenses,- -,973713,1725477,2702758,2303287,2039977,2375134,4447842,2511881,2336758,1313762,2384566,10803147,13642925,2660943,2772850,1531564,3176405,1592327,1581530,1747574,1895118
11,COGS and Expenses,- -,1505520,4041573,6109994,5635183,4056267,27085384,36733699,20685073,13213169,14713522,2384566,10803147,13642925,2660943,2772850,1531564,3176405,1592327,1581530,1747574,- -
12,Interest Income ,- -,11690,32513,37506,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,370235,92983,86889,- -,- -,472272,748041,1253471,1036363,940574,522897,937981,780550,1156720,2258519,1806944,5441958,4163988,1078604,983256,828420
14,Depreciation and Amortization,- -,441508,473312,318596,296627,395903,502961,857657,612465,602255,834734,140732,5016,4528,3286,- -,- -,- -,- -,- -,397965,338443
15,EBITDA,- -,-437431,-628910,-1283034,-976292,-2047608,1360545,-181816,-285019,-306495,1359718,-1890861,-1498000,-3130623,388332,-2028139,-220637,-8246742,12083508,-861069,-341862,-333559
16,EBITDA ratio,- -,-0.7114,-0.2164,-0.2850,-0.2187,-1.2024,0.0491,-0.0051,-0.0148,-0.0257,0.0909,-2.2265,-0.1583,-0.2814,13.6660,-2.1091,-0.1802,-15.4820,16.8642,-1.8023,-0.5328,-Infinity
17,Operating Income,- -,-890629,-1134735,-1608189,-1170229,-2353294,634430,-1136874,-1369451,-1296716,248797,-1535321,-1340798,-2518080,-2632527,-1811240,-307095,-2643739,-875810,-1103757,-1105945,-672002
18,Operating Income ratio,- -,-1.4484,-0.3904,-0.3572,-0.2621,-1.3819,0.0229,-0.0319,-0.0709,-0.1088,0.0166,-1.8079,-0.1417,-0.2263,-92.6424,-1.8835,-0.2508,-4.9632,-1.2223,-2.3102,-1.7237,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-30947,-23093,39695,-230610,-712277,309439,103851,- -,-564100,-1129481,-1500317,15394,-2475418,-1720486,-11044961,8795330,-835916,-640180,-238160
20,Income Before Tax,- -,- -,- -,- -,- -,- -,403820,-1849151,- -,- -,248797,- -,-2470279,-4018397,-2617133,-4286658,-2027581,-13688700,7919520,-1939673,-1746125,-910162
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.0146,-0.0519,- -,- -,0.0166,- -,-0.2611,-0.3612,-92.1007,-4.4578,-1.6559,-25.6985,11.0528,-4.0598,-2.7214,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-1249174,-1195205,-1688519,-1272919,-2443511,385312,-1787514,-2150955,-1945113,-415590,-2554490,-2440997,-3915701,-771674,-4286658,-2027581,-13688700,7919520,-1939673,-1723083,-910162
24,Net Income ratio,- -,-2.0315,-0.4112,-0.3751,-0.2851,-1.4349,0.0139,-0.0502,-0.1114,-0.1632,-0.0278,-3.0080,-0.2580,-0.3520,-27.1563,-4.4578,-1.6559,-25.6985,11.0528,-4.0598,-2.6855,-Infinity
25,EPS,- -,-78.08,-55.02,-58.86,-42.23,-72.94,0.60,-3.00,-3.80,-3.80,-0.80,-0.13,-0.11,-0.17,-0.03,-0.14,-0.02,-0.03,0.01,-0.00,-0.00,-0.00
26,EPS Diluted,- -,-78.08,-55.02,-58.86,-42.23,-72.94,0.60,-3.00,-3.80,-3.80,-0.80,-0.13,-0.11,-0.17,-0.03,-0.14,-0.02,-0.03,0.01,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,- -,15937,21956,28759,30287,33618,599371,599371,599371,599371,599371,19307078,21234651,23646045,24136693,30236244,103224706,446122941,779840176,963600271,1348996682,1348996682
28,Weighted Average Shares Outstanding Diluted,- -,15937,21956,28759,30287,33618,599371,599371,599371,599371,599371,19307078,21234651,23646045,24136693,30236244,103224706,446122941,779840176,963600271,1348996682,1348996682
