,https://roic.ai/company/RHE,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,16451178,18285625,21900360,22549485,23667756,24793294,26691100,53236715,151352730,201658000,222847000,193314000,18400000,27337000,25148000,22046000,20134000,17579000,26690000
2,COGS,- -,11248792,13602022,14279275,14762090,15649862,15371150,32390302,122219325,168207000,185612000,159434000,- -,- -,- -,638000,661000,675000,9915000
3,Gross Profit,- -,7036833,8298338,8270210,8905666,9143432,11319950,20846413,29133405,33451000,37235000,33880000,18400000,- -,- -,21408000,19473000,16904000,16775000
4,Gross Profit Ratio,- -,0.3848,0.3789,0.3668,0.3763,0.3688,0.4241,0.3916,0.1925,0.1659,0.1671,0.1753,1.0000,- -,- -,0.9711,0.9672,0.9616,0.6285
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,7114252,7746505,- -,- -,- -,22526880,24737000,28600000,25257000,16302000,16408000,13171000,12375000,9837000,9931000,10368000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,5519405,6726110,7114252,7746505,- -,- -,- -,22526880,24737000,28600000,25257000,16302000,16408000,13171000,12375000,9837000,9931000,10368000
9,Other Expenses,- -,698482,805997,748312,847440,9131057,9545838,22499174,3937943,6805000,7940000,7300000,9739000,6674000,6839000,9825000,4174000,4679000,3829000
10,Operating Expenses,- -,6217887,7532107,7862564,8593945,9131057,9545838,22499174,26464823,31542000,36540000,32557000,26041000,23082000,20010000,22200000,14011000,14610000,14197000
11,COGS and Expenses,- -,17466679,21134129,22141839,23356035,24780919,24916988,54889476,148684148,199749000,222152000,191991000,26041000,23082000,20010000,22838000,14672000,15285000,24112000
12,Interest Income ,- -,- -,- -,- -,- -,23287,5472,17739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,840288,1597666,2485223,1045163,1302068,1209926,2372299,- -,13224000,12888000,10780000,8462000,6885000,4095000,5929000,5265000,2777000,2669000
