,https://roic.ai/company/OXY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,14534400000,15344100000,17096000000,19417000000,20068000000,21694000000,10096000000,8494000000,8116000000,9236000000,10423000000,10557000000,8016000000,6596000000,7610000000,13574000000,13985000000,7338000000,9326000000,11368000000,16259000000,18160000000,20013000000,24480000000,15531000000,19157000000,23954000000,24172000000,24455000000,19312000000,12480000000,10090000000,12508000000,17824000000,20393000000,17809000000,25956000000
2,COGS,11673700000,12815700000,13792000000,15782000000,16413000000,18224000000,7474000000,6334000000,6058000000,6838000000,7055000000,7030000000,5168000000,4568000000,5122000000,9057000000,9672000000,3561000000,4127000000,4728000000,5871000000,6579000000,7049000000,7750000000,5627000000,6374000000,7385000000,12355000000,12909000000,11064000000,10348000000,9457000000,9596000000,10545000000,13697000000,14965000000,18106000000
3,Gross Profit,2860700000,2528400000,3304000000,3635000000,3655000000,3470000000,2622000000,2160000000,2058000000,2398000000,3368000000,3527000000,2848000000,2028000000,2488000000,4517000000,4313000000,3777000000,5199000000,6640000000,10388000000,11581000000,12964000000,16730000000,9904000000,12783000000,16569000000,11817000000,11546000000,8248000000,2132000000,633000000,2912000000,7279000000,6696000000,2844000000,7850000000
4,Gross Profit Ratio,0.1968,0.1648,0.1933,0.1872,0.1821,0.1600,0.2597,0.2543,0.2536,0.2596,0.3231,0.3341,0.3553,0.3075,0.3269,0.3328,0.3084,0.5147,0.5575,0.5841,0.6389,0.6377,0.6478,0.6834,0.6377,0.6673,0.6917,0.4889,0.4721,0.4271,0.1708,0.0627,0.2328,0.4084,0.3283,0.1597,0.3024
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",786300000,759100000,1246000000,1604000000,1358000000,1195000000,954000000,991000000,781000000,988000000,1194000000,1304000000,1138000000,709000000,645000000,691000000,675000000,700000000,918000000,1067000000,1477000000,1418000000,1668000000,1285000000,1375000000,1396000000,1523000000,1602000000,1801000000,1503000000,1270000000,1330000000,1424000000,1613000000,882000000,864000000,863000000
9,Other Expenses,1036300000,955400000,1029000000,990000000,1126000000,1106000000,955000000,887000000,907000000,897000000,953000000,928000000,833000000,857000000,817000000,901000000,971000000,1012000000,1177000000,1303000000,1485000000,2042000000,2379000000,3401000000,3550000000,3637000000,4454000000,1025000000,1005000000,700000000,379000000,339000000,393000000,549000000,2999000000,3238000000,2322000000
10,Operating Expenses,1822600000,1714500000,2275000000,2594000000,2484000000,2301000000,1909000000,1878000000,1688000000,1885000000,2147000000,2232000000,1971000000,1566000000,1462000000,1592000000,1646000000,1712000000,2095000000,2370000000,2962000000,3460000000,4047000000,4686000000,4925000000,5033000000,5977000000,2627000000,2806000000,2203000000,1649000000,1669000000,1817000000,2162000000,3881000000,4102000000,3185000000
11,COGS and Expenses,13496300000,14530200000,16067000000,18376000000,18897000000,20525000000,9383000000,8212000000,7746000000,8723000000,9202000000,9262000000,7139000000,6134000000,6584000000,10649000000,11318000000,5273000000,6222000000,7098000000,8833000000,10039000000,11096000000,12436000000,10552000000,11407000000,13362000000,14982000000,15715000000,13267000000,11997000000,11126000000,11413000000,12707000000,17578000000,19067000000,21291000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263000000,- -,- -,89000000,- -,181000000,381000000,- -,- -,- -,- -,165000000,81000000,106000000,130000000,118000000,106000000,99000000,136000000,217000000,118000000,166000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518000000,- -,- -,332000000,- -,293000000,291000000,- -,26000000,140000000,116000000,298000000,130000000,118000000,77000000,147000000,292000000,345000000,389000000,1066000000,1424000000,1614000000
14,Depreciation and Amortization,880200000,906000000,995000000,990000000,1126000000,1106000000,955000000,887000000,907000000,897000000,953000000,928000000,833000000,857000000,817000000,908000000,976000000,1019000000,1183000000,1322000000,1485000000,2042000000,2379000000,2710000000,3117000000,3153000000,3591000000,4511000000,5347000000,4261000000,4544000000,4268000000,4002000000,3977000000,5981000000,8097000000,8447000000
15,EBITDA,2456800000,1434300000,1742000000,1564000000,1601000000,-517000000,2016000000,491000000,1333000000,1004000000,1866000000,2050000000,753900000,1583000000,1896000000,4438000000,2693000000,2430000000,4269000000,5598000000,9079000000,9981000000,11286000000,14222000000,8090000000,10794000000,14861000000,12357000000,15123000000,6639000000,-4468000000,3324000000,5675000000,9974000000,7073000000,-7482000000,13298000000
16,EBITDA ratio,0.1690,0.0935,0.1019,0.0805,0.0798,-0.0238,0.1997,0.0578,0.1642,0.1087,0.1790,0.1942,0.0940,0.2400,0.2491,0.3269,0.1926,0.3312,0.4578,0.4924,0.5584,0.5496,0.5639,0.5810,0.5209,0.5634,0.6204,0.5112,0.6184,0.3438,-0.3580,0.3294,0.4537,0.5596,0.3468,-0.4201,0.5123
17,Operating Income,1038100000,813900000,1029000000,1041000000,1171000000,1169000000,713000000,282000000,370000000,513000000,1221000000,1295000000,877000000,462000000,1026000000,2745000000,2667000000,2065000000,3104000000,4270000000,7426000000,8121000000,8917000000,12044000000,4979000000,7750000000,10592000000,9190000000,8740000000,6045000000,483000000,-1036000000,1095000000,5117000000,2815000000,-1258000000,4665000000
18,Operating Income ratio,0.0714,0.0530,0.0602,0.0536,0.0584,0.0539,0.0706,0.0332,0.0456,0.0555,0.1171,0.1227,0.1094,0.0700,0.1348,0.2022,0.1907,0.2814,0.3328,0.3756,0.4567,0.4472,0.4456,0.4920,0.3206,0.4046,0.4422,0.3802,0.3574,0.3130,0.0387,-0.1027,0.0875,0.2871,0.1380,-0.0706,0.1797
19,Total Other Income Expenses (Gains),538500000,-285600000,-282000000,-467000000,-696000000,-2792000000,267000000,39000000,-153000000,-406000000,-308000000,-143000000,-349000000,226000000,173000000,266000000,-918000000,-480000000,-211000000,-115000000,-293000000,-291000000,-339000000,-673000000,-310000000,-391000000,-133000000,-1800000000,542000000,-4821000000,-10167000000,-809000000,-124000000,160000000,-2629000000,-14447000000,-960000000
20,Income Before Tax,1576600000,528300000,747000000,574000000,475000000,-1623000000,980000000,321000000,217000000,107000000,913000000,1152000000,528000000,688000000,1199000000,3011000000,1749000000,1585000000,2893000000,4155000000,7133000000,7830000000,8578000000,11371000000,4669000000,7359000000,10459000000,7390000000,9282000000,1224000000,-9684000000,-1845000000,971000000,5277000000,186000000,-15705000000,3705000000
21,Income Before Tax Ratio,0.1085,0.0344,0.0437,0.0296,0.0237,-0.0748,0.0971,0.0378,0.0267,0.0116,0.0876,0.1091,0.0659,0.1043,0.1576,0.2218,0.1251,0.2160,0.3102,0.3655,0.4387,0.4312,0.4286,0.4645,0.3006,0.3841,0.4366,0.3057,0.3796,0.0634,-0.7760,-0.1829,0.0776,0.2961,0.0091,-0.8819,0.1427
22,Income Tax expense (Gain),1121600000,356200000,563000000,261000000,219000000,65000000,601000000,195000000,143000000,143000000,402000000,454000000,311000000,363000000,631000000,1442000000,563000000,422000000,1227000000,1708000000,2020000000,3466000000,3507000000,4629000000,1918000000,2995000000,4201000000,3118000000,3755000000,1685000000,-1330000000,-662000000,17000000,1477000000,693000000,-2172000000,915000000
23,Net Income,455000000,172100000,184000000,313000000,256000000,-1688000000,460000000,-591000000,283000000,-36000000,511000000,668000000,-390100000,363000000,448000000,1570000000,1154000000,989000000,1527000000,2568000000,5281000000,4182000000,5400000000,6857000000,2915000000,4530000000,6771000000,4598000000,5903000000,616000000,-7829000000,-574000000,1311000000,4131000000,-667000000,-14831000000,2322000000
24,Net Income ratio,0.0313,0.0112,0.0108,0.0161,0.0128,-0.0778,0.0456,-0.0696,0.0349,-0.0039,0.0490,0.0633,-0.0487,0.0550,0.0589,0.1157,0.0825,0.1348,0.1637,0.2259,0.3248,0.2303,0.2698,0.2801,0.1877,0.2365,0.2827,0.1902,0.2414,0.0319,-0.6273,-0.0569,0.1048,0.2318,-0.0327,-0.8328,0.0895
25,EPS,1.10,0.33,0.39,0.63,0.46,-2.90,0.38,-0.98,0.38,-0.18,0.66,0.89,-0.71,0.49,0.62,2.13,1.55,1.31,1.99,3.25,6.54,4.90,6.47,8.39,3.59,5.57,8.32,5.67,7.33,0.79,-10.23,-0.75,1.71,5.40,-1.22,-17.06,2.53
26,EPS Diluted,1.10,0.33,0.39,0.63,0.46,-2.90,0.38,-0.98,0.38,-0.18,0.65,0.86,-0.71,0.49,0.62,2.13,1.54,1.30,1.97,3.20,6.46,4.86,6.44,8.35,3.58,5.56,8.32,5.67,7.32,0.79,-10.23,-0.75,1.70,5.39,-1.22,-17.06,2.53
