,https://roic.ai/company/FET,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,677378000,747335000,1128131000,1414933000,1524811000,1739717000,1073652000,587635000,818620000,1064219000,956533000,512476000,541000000
2,COGS,491463000,533078000,765670000,951876000,1049586000,1180265000,810975000,487900000,629832000,807847000,711681000,523497000,417000000
3,Gross Profit,185915000,214257000,362461000,463057000,475225000,559452000,262677000,99735000,188788000,256372000,244852000,-11021000,124000000
4,Gross Profit Ratio,0.2745,0.2867,0.3213,0.3273,0.3117,0.3216,0.2447,0.1697,0.2306,0.2409,0.2560,-0.0215,0.2292
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,225268000,269669000,312821000,264906000,227008000,253713000,286980000,251736000,197677000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,225268000,269669000,312821000,264906000,227008000,253713000,286980000,251736000,197677000,168000000
9,Other Expenses,128562000,141441000,202482000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,128562000,141441000,202482000,225268000,269669000,312821000,264906000,227008000,253713000,286980000,251736000,197677000,168000000
11,COGS and Expenses,620025000,674519000,968152000,1177144000,1319255000,1493086000,1075881000,714908000,883545000,1094827000,963417000,721174000,585000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),19451000,18189000,19532000,16372000,18370000,29847000,29945000,27410000,26808000,32532000,31618000,30268000,32000000
14,Depreciation and Amortization,38438000,33216000,40775000,51804000,60579000,65072000,65683000,61760000,65129000,74508000,63241000,51000000,42000000
15,EBITDA,88236000,95640000,200759000,290897000,264966000,337429000,-38664000,-48859000,36658000,-282714000,-474012000,-28502000,-7358000
16,EBITDA ratio,0.1303,0.1280,0.1780,0.2056,0.1738,0.1940,-0.0360,-0.0831,0.0448,-0.2657,-0.4956,-0.0556,-0.0136
17,Operating Income,50207000,73277000,160613000,240880000,209554000,268038000,-113723000,-128952000,-141595000,-396998000,-536146000,-231623000,-44493000
18,Operating Income ratio,0.0741,0.0981,0.1424,0.1702,0.1374,0.1541,-0.1059,-0.2194,-0.1730,-0.3730,-0.5605,-0.4520,-0.0822
19,Total Other Income Expenses (Gains),-18363000,-28931000,-19910000,-18085000,-23472000,-25516000,-20600000,-9047000,86316000,7244000,-32725000,121853000,-37507000
20,Income Before Tax,31844000,44346000,140703000,222795000,186082000,242522000,-134323000,-137999000,-55279000,-389754000,-568871000,-109770000,-82000000
21,Income Before Tax Ratio,0.0470,0.0593,0.1247,0.1575,0.1220,0.1394,-0.1251,-0.2348,-0.0675,-0.3662,-0.5947,-0.2142,-0.1516
22,Income Tax expense (Gain),11011000,20297000,47110000,71265000,56478000,68145000,-14939000,-56051000,4121000,-15674000,-1814000,-12881000,642000
23,Net Income,19336000,23938000,93342000,151456000,129539000,174365000,-119353000,-81978000,-59400000,-374080000,-567057000,-96889000,-82000000
24,Net Income ratio,0.0285,0.0320,0.0827,0.1070,0.0850,0.1002,-0.1112,-0.1395,-0.0726,-0.3515,-0.5928,-0.1891,-0.1516
25,EPS,5.69,7.04,34.20,37.80,28.60,37.60,-26.60,-18.00,-11.60,-68.80,-103.00,-17.37,-14.49
26,EPS Diluted,5.17,6.41,32.20,34.80,27.40,36.60,-26.60,-18.00,-11.60,-68.80,-103.00,-17.37,-14.49
27,Weighted Average Shares Outstanding,3398000,3398000,3333700,4005000,4535000,4630000,4495000,4560000,4935000,5438550,5505000,5600000,5661000
28,Weighted Average Shares Outstanding Diluted,3737050,3737050,3544600,4345000,4730000,4765000,4495000,4560000,4935000,5438550,5505000,5600000,5661000
