,https://roic.ai/company/CLSK,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,2555,- -,82031,447963,578635,4532782,10028701,49438115
2,COGS,- -,- -,- -,- -,- -,- -,700,- -,31264,296295,390774,3861086,7907849,13964711
3,Gross Profit,- -,- -,- -,- -,- -,- -,1855,- -,50767,151668,187861,671696,2120852,35473404
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.7260,- -,0.6189,0.3386,0.3247,0.1482,0.2115,0.7175
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,52288,1826,591,1382840,1453635,163918,- -
6,General and Administrative Exp.,- -,- -,- -,34024,14175,25045,61087,3424771,2011736,1646816,3129881,7013739,14427719,38920303
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,34024,14175,25045,61087,3424771,2011736,1646816,3129881,7013739,14427719,38920303
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,2800,578456,3318340,854981,1902981,2672331,12244368
10,Operating Expenses,- -,- -,- -,34024,14175,25045,61087,3479859,2592018,4965747,5367702,10370355,17263968,51164671
11,COGS and Expenses,22048,30779,19550,34024,14175,25045,61787,3479859,2623282,5262042,5758476,14231441,25171817,65129382
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,221488
13,Interest Expense (Gain),- -,- -,1649,3783,5570,6727,45913,5144,32,2895,924454,9483662,10449946,154079
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1513,2800,578456,3318340,2234464,3356616,2880818,12244368
15,EBITDA,-22048,-30779,-19550,-34024,-14175,-25045,2281,-3477059,-1962074,-10177291,-43847247,-13276654,-10015379,-9413563
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.8928,-Infinity,-23.9187,-22.7190,-75.7770,-2.9290,-0.9987,-0.1904
17,Operating Income,- -,- -,-19550,-34024,-14175,-25045,-59232,-3479859,-2541251,-4814079,-7075931,-16613845,-15143116,-28577053
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-23.1828,-Infinity,-30.9792,-10.7466,-12.2287,-3.6653,-1.5100,-0.5780
19,Total Other Income Expenses (Gains),- -,- -,704,-3783,-5570,-6727,14087,-5144,689,-8684447,-39930234,-9503087,-8203027,6765043
20,Income Before Tax,-22048,-30779,-18846,-37807,-19745,-31772,-45145,-3485003,-2540562,-13498526,-47006165,-26116932,-23346143,-21812010
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.6693,-Infinity,-30.9708,-30.1331,-81.2363,-5.7618,-2.3279,-0.4412
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-22048,-30779,-18846,-37807,-19745,-31772,-45145,-3485003,-2540562,-13498526,-47006165,-26116932,-23346143,-21812010
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.6693,-Infinity,-30.9708,-30.1331,-81.2363,-5.7618,-2.3279,-0.4412
25,EPS,-1.30,-1.30,-1.30,-0.13,-1.30,-0.10,-0.03,-1.80,-1.10,-4.20,-13.60,-6.25,-2.44,-0.75
26,EPS Diluted,-1.30,-1.30,-1.30,-0.13,-1.30,-0.10,-0.03,-1.80,-1.10,-4.20,-13.60,-6.25,-2.44,-0.75
27,Weighted Average Shares Outstanding,112957,244729,276017,284394,285205,285206,1069616,1922906,2252866,3218210,3451798,4177402,9550626,29441364
28,Weighted Average Shares Outstanding Diluted,112957,244729,276017,284394,285205,285206,1069616,1922906,2252866,3218210,3451798,4177402,9550626,29441364
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827876/000107878212003299/0001078782-12-003299-index.html,https://www.sec.gov/Archives/edgar/data/827876/000107878213002489/0001078782-13-002489-index.html,https://www.sec.gov/Archives/edgar/data/827876/000125529414001293/0001255294-14-001293-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166225215000002/0001662252-15-000002-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357716000436/0001663577-16-000436-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357718000019/0001663577-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357719000036/0001663577-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357719000420/0001663577-19-000420-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357720000499/0001663577-20-000499-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357721000668/0001663577-21-000668-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,40,208,413,270,116741,88533,436529,57128,412777,7838857,3126202,18040327
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,24358590
33,Cash and Short-Term Investments,- -,- -,40,208,413,270,116741,88533,436529,57128,412777,7838857,4086202,42398917
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,110115,41947,86580,834793,1051456,2619957
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2672744
36,Other Current Assets,- -,- -,- -,- -,1409,- -,21143,24391,57722,29556,49023,1210395,3114200,10034703
37,Total Current Assets,- -,- -,40,208,1822,270,137884,112924,604366,128631,548380,9884045,8251858,57726321
38,PP&E,- -,- -,- -,- -,- -,- -,580973,657647,5350813,125441,86731,145070,158705,227041021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,4919858,4919858,4919858,4919858,5903641,19049198
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,44470,22143916,15613130,12000693,8485279,8025859,12781045
41,Intangible Assets,- -,- -,- -,- -,- -,- -,44397,44470,27063774,20532988,16920551,13405137,13929500,31830243
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155269,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,2358,589,5742,- -,- -,-1155269,875536
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,625370,704475,32415176,20664171,17007282,13550207,14088205,259746800
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,40,208,1822,270,763254,817399,33019542,20792802,17555662,23434252,22340063,317473121
48,Accounts Payable,6368,20182,5699,8320,4757,10750,8658,53967,291187,143225,131724,848756,4527037,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,94818,- -,- -,2261,81045,909490,67467,41294,669993
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499401,64198,296964
52,Other Current Liabilities,4493,6115,36835,57817,77318,- -,1473,1473,63973,77021,308373,86966,750000,9096065
53,Total Current Liabilities,10861,26297,42534,66137,82075,105568,10131,55440,357421,301291,1349587,1502590,5382529,10063022
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,44857,- -,- -,150000,150000,3046321,531169,1693633
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,44857,- -,- -,150000,150000,3046321,531169,1693633
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41294,2363626
61,Total Liabilities,10861,26297,42534,66137,82075,105568,54988,55440,357421,451291,1499587,4548911,5913698,11756655
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,400,1000,1000,1000,1000,1750,1750
63,Common Stock,20534,35877,35977,37077,37077,951,5803,20378,27834,33409,36116,4679,17391,37394
64,Retained Earnings,-225181,-255960,-274806,-312613,-332358,-364130,-409275,-3894278,-6434840,-19933366,-66939531,-93056463,-116402606,-138392118
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-279,-116286,-82013,-97711,-142133,-175560,-5392
66,Other Total Stockholders Equity,193786,193786,196335,209607,215028,257881,1111738,4635738,39184413,40322481,83056201,112078258,132985390,444074832
67,Total Stockholders Equity,-10861,-26297,-42494,-65929,-80253,-105298,708266,761959,32662121,20341511,16056075,18885341,16426365,305716466
68,Total Liabilities And Stockholders Equity,- -,- -,40,208,1822,270,763254,817399,33019542,20792802,17555662,23434252,22340063,317473121
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,40,208,1822,270,763254,817399,33019542,20792802,17555662,23434252,22340063,317473121
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/827876/000107878212003299/0001078782-12-003299-index.html,https://www.sec.gov/Archives/edgar/data/827876/000107878213002489/0001078782-13-002489-index.html,https://www.sec.gov/Archives/edgar/data/827876/000125529414001293/0001255294-14-001293-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166225215000002/0001662252-15-000002-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357716000436/0001663577-16-000436-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357718000019/0001663577-18-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357719000036/0001663577-19-000036-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357719000420/0001663577-19-000420-index.html,https://www.sec.gov/Archives/edgar/data/827876/000166357720000499/0001663577-20-000499-index.htm,https://www.sec.gov/Archives/edgar/data/827876/000166357721000668/0001663577-21-000668-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
