,https://roic.ai/company/SONO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,843524000,901284000,992526000,1137008000,1260823000,1326328000,1716744000
2,COGS,461387000,497885000,536461000,647700000,733480000,754372000,906750000
3,Gross Profit,382137000,403399000,456065000,489308000,527343000,571956000,809994000
4,Gross Profit Ratio,0.4530,0.4476,0.4595,0.4303,0.4183,0.4312,0.4718
5,Research and Development Exp.,100653000,107729000,124394000,142109000,171174000,214672000,230078000
6,General and Administrative Exp.,64805000,68531000,77118000,85205000,102871000,120978000,152828000
7,Selling and Marketing Exp.,272427000,258012000,270162000,270869000,247599000,263539000,272124000
8,"Selling, General and Administrative Exp.",337232000,326543000,347280000,356074000,350470000,384517000,424952000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,437885000,434272000,471674000,498183000,521644000,599189000,655030000
11,COGS and Expenses,899272000,932157000,1008135000,1145883000,1255124000,1353561000,1561780000
12,Interest Income ,- -,- -,- -,- -,4349000,1998000,146000
13,Interest Expense (Gain),156000,2489000,4260000,4511000,2499000,1487000,592000
14,Depreciation and Amortization,27858000,34323000,35014000,39358000,36415000,36426000,33882000
15,EBITDA,-37521000,1242000,22766000,29321000,37838000,17830000,191399000
16,EBITDA ratio,-0.0445,0.0014,0.0229,0.0258,0.0300,0.0134,0.1115
17,Operating Income,-55748000,-30873000,-15609000,-8875000,5699000,-27233000,154964000
18,Operating Income ratio,-0.0661,-0.0343,-0.0157,-0.0078,0.0045,-0.0205,0.0903
19,Total Other Income Expenses (Gains),-9787000,-4697000,-899000,-5673000,-6775000,7150000,1961000
20,Income Before Tax,-65535000,-35570000,-16508000,-14548000,-1076000,-20083000,156925000
21,Income Before Tax Ratio,-0.0777,-0.0395,-0.0166,-0.0128,-0.0009,-0.0151,0.0914
22,Income Tax expense (Gain),3242000,2644000,-2291000,1056000,3690000,32000,-1670000
23,Net Income,-68777000,-38214000,-14217000,-15604000,-4766000,-20115000,158595000
24,Net Income ratio,-0.0815,-0.0424,-0.0143,-0.0137,-0.0038,-0.0152,0.0924
25,EPS,-0.77,-0.42,-0.16,-0.24,-0.05,-0.18,1.30
26,EPS Diluted,-0.77,-0.42,-0.16,-0.24,-0.05,-0.18,1.13
27,Weighted Average Shares Outstanding,88797136,91672350,88797136,65706215,103783006,109807154,122245212
28,Weighted Average Shares Outstanding Diluted,88797136,105848263,88797136,65706215,103783006,109807154,140309152
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314727/000131472718000015/0001314727-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472719000038/0001314727-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472720000052/0001314727-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472721000039/0001314727-21-000039-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,74913000,130595000,220930000,338641000,407100000,640101000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,74913000,130595000,220930000,338641000,407100000,640101000
34,Net Receivables,- -,45307000,47363000,73214000,102743000,54935000,100779000
35,Inventory,- -,53562000,113856000,193193000,219784000,180830000,185130000
36,Other Current Assets,- -,9621000,9655000,10263000,17941000,17512000,31504000
37,Total Current Assets,- -,183403000,301469000,497600000,679109000,660377000,957514000
38,PP&E,- -,90394000,95130000,85371000,78139000,103126000,105182000
39,Goodwill,- -,- -,- -,- -,- -,15545000,15545000
40,Intangible Assets,- -,- -,- -,- -,- -,26394000,24450000
41,Intangible Assets,- -,- -,- -,- -,- -,41939000,39995000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,2544000,1107000,941000,1154000,1800000,10028000
44,Other Non-Current Assets,- -,2538000,2314000,3586000,3203000,8809000,26085000
45,Total Non-Current Assets,- -,95476000,98551000,89898000,82496000,155674000,181290000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,278879000,400020000,587498000,761605000,816051000,1138804000
48,Accounts Payable,- -,77873000,114494000,195159000,251941000,250328000,214996000
49,Short-Term Debt,- -,- -,- -,6667000,8333000,17577000,10724000
50,Tax Payable,- -,7946000,4800000,4175000,4388000,6252000,16941000
51,Deferred Revenue,- -,7373000,10920000,11615000,13654000,15304000,35866000
52,Other Current Liabilities,- -,66291000,97852000,82916000,128546000,109806000,214544000
53,Total Current Liabilities,- -,151537000,223266000,296357000,402474000,393015000,476130000
54,Long-Term Debt,- -,24501000,39600000,33097000,24840000,68611000,33960000
55,Deferred Revenue,- -,28787000,34647000,39352000,42795000,47085000,53632000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2434000,2394000
57,Other Non-Current Liabilities,- -,102842000,102480000,10334000,10568000,7067000,3646000
58,Total Non-Current Liabilities,- -,156130000,176727000,82783000,78203000,125197000,93632000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,61270000,44684000
61,Total Liabilities,- -,307667000,399993000,379140000,480677000,518212000,569762000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,55000,59000,101000,110000,114000,129000
64,Retained Earnings,- -,-173790000,-188007000,-203611000,-208377000,-228492000,-69897000
65,Other Comprehensive Income/Loss,- -,321000,-2165000,-1677000,-64000,-1890000,-1376000
66,Other Total Stockholders Equity,- -,144626000,190140000,413545000,489259000,528107000,- -
67,Total Stockholders Equity,- -,-28788000,27000,208358000,280928000,297839000,569042000
68,Total Liabilities And Stockholders Equity,- -,278879000,400020000,587498000,761605000,816051000,1138804000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,278879000,400020000,587498000,761605000,816051000,1138804000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1314727/000131472718000015/0001314727-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472719000038/0001314727-19-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472720000052/0001314727-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1314727/000131472721000039/0001314727-21-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-68777000,-38214000,-14217000,-15604000,-4766000,-20115000,158595000
