,https://roic.ai/company/JFU,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,2260652000,6741780000,5556482000,4424963000,1256005000
2,COGS,168024000,502050000,444830000,1137451000,543487000
3,Gross Profit,2092628000,6239730000,5111652000,3287512000,712518000
4,Gross Profit Ratio,0.9257,0.9255,0.9199,0.7429,0.5673
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,527642000,3073575000,1157109000,1155747000,1303833000
7,Selling and Marketing Exp.,1168416000,2243723000,1746375000,2343428000,343056000
8,"Selling, General and Administrative Exp.",1696058000,5317298000,2903484000,3499175000,1646889000
9,Other Expenses,- -,1881000,- -,2148638000,347803000
10,Operating Expenses,1696058000,5319179000,2903484000,5647813000,1994692000
11,COGS and Expenses,1864082000,5821229000,3348314000,6785264000,2538179000
12,Interest Income ,13422000,73639000,208350000,225751000,102425000
13,Interest Expense (Gain),- -,- -,- -,- -,- -
14,Depreciation and Amortization,9362000,11888000,18763000,37469000,24217000
15,EBITDA,436532000,962024000,2402970000,-2296704000,-1696356000
16,EBITDA ratio,0.1931,0.1427,0.4325,-0.5190,-1.3506
17,Operating Income,396570000,920551000,2208168000,-2360301000,-1282174000
18,Operating Income ratio,0.1754,0.1365,0.3974,-0.5334,-1.0208
19,Total Other Income Expenses (Gains),36188000,155634000,169418000,32059000,-430706000
20,Income Before Tax,432758000,1076185000,2377586000,-2328242000,-1712880000
21,Income Before Tax Ratio,0.1914,0.1596,0.4279,-0.5262,-1.3638
22,Income Tax expense (Gain),271132000,352432000,402403000,-174597000,538322000
23,Net Income,156038000,597704000,1981804000,-2159576000,-2258895000
24,Net Income ratio,0.0690,0.0887,0.3567,-0.4880,-1.7985
25,EPS,0.80,2.30,10.13,-12.43,-11.37
26,EPS Diluted,0.80,2.30,10.13,-12.43,-11.37
27,Weighted Average Shares Outstanding,193856000,193856000,193856000,174552468,198596879
28,Weighted Average Shares Outstanding Diluted,193856000,193856000,193856000,174552468,198596879
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1238490000,3778115000,5469077000,4684003000,2726712000
32,Short-Term Investments,- -,700000000,833478000,24000000,133761000
33,Cash and Short-Term Investments,1238490000,4478115000,6302555000,4708003000,2860473000
34,Net Receivables,374694000,538042000,1079437000,1251639000,445364000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,285647000,524992000,543088000,1263224000,1183794000
37,Total Current Assets,1898831000,5541149000,7925080000,7222866000,4489631000
38,PP&E,20067000,54669000,86267000,232167000,92064000
39,Goodwill,10633000,13061000,13385000,72224000,22121000
40,Intangible Assets,17852000,46054000,44733000,73476000,44413000
41,Intangible Assets,28485000,59115000,58118000,145700000,66534000
42,Investments,152028000,509736000,954158000,775644000,738272000
43,Tax Assets,54250000,111114000,84338000,503987000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -
45,Total Non-Current Assets,254830000,734634000,1182881000,1657498000,896870000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,2153661000,6275783000,9107961000,8880364000,5386501000
48,Accounts Payable,32065000,20024000,47497000,125437000,405719000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,397826000,520716000,339752000,363049000,271738000
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,810523000,1337329000,1067274000,1495571000,636040000
53,Total Current Liabilities,842588000,1357353000,1114771000,1621008000,1041759000
54,Long-Term Debt,- -,- -,- -,125407000,29503000
55,Deferred Revenue,94176000,384070000,346847000,788906000,82643000
56,Deferred Tax Liabilities,2945000,9309000,9003000,17215000,9280000
57,Other Non-Current Liabilities,215317000,820410000,1382420000,- -,- -
