,https://roic.ai/company/CRVW,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,40000,87086,325968,630452,1629971,2068771,3061298,5139450,5973985,6263810,6096153,6294122,6461995,7802226
2,COGS,190000,- -,- -,- -,- -,- -,- -,4597887,4679297,4639738,3405198,3033130,2738120,858959
3,Gross Profit,-150000,87086,325968,630452,1629971,2068771,3061298,541563,1294688,1624072,2690955,3260992,3723875,6943267
4,Gross Profit Ratio,-3.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.1054,0.2167,0.2593,0.4414,0.5181,0.5763,0.8899
5,Research and Development Exp.,450000,540440,698282,821868,951132,860371,843416,1085760,1252850,1648985,1429022,1400325,1708296,1711211
6,General and Administrative Exp.,1280000,2651899,11286958,6307229,7713461,5212088,6669461,3744095,3757816,4012553,3234009,4189409,2721552,- -
7,Selling and Marketing Exp.,- -,338644,402719,913859,1927205,999449,676394,845322,776961,691095,394548,250596,575195,549419
8,"Selling, General and Administrative Exp.",1280000,2990543,11689677,7221088,9640666,6211537,7345855,4589417,4534777,4703648,3628557,4440005,3296747,549419
9,Other Expenses,670000,631568,733575,1555247,2112609,1611546,1651310,1727440,1816093,1887377,1284616,720567,597119,6688676
10,Operating Expenses,2400000,4162551,13121534,9598203,12704407,8683454,9840581,7402617,7603720,8240010,6342195,6560897,5602162,8949306
11,COGS and Expenses,2590000,4162551,13121534,9598203,12704407,8683454,9840581,12000504,12283017,12879748,9747393,9594027,8340282,9808265
12,Interest Income ,- -,5406,509,583,5250,2632,3644,8642,17267,9073,3072,761,400,138
13,Interest Expense (Gain),-610000,2185159,6167257,4443819,7670396,7969527,7819340,9651869,12592998,13474891,12452113,10851162,10595598,8950418
14,Depreciation and Amortization,680000,631568,733575,1584752,2112609,1611546,1651310,1727440,1816093,1887377,1284616,720567,597119,635016
15,EBITDA,-3100000,-3359446,-11950926,-10235681,-8719965,-4937232,-4981075,-4905683,-4203606,-4709746,-2341121,-2568717,-489929,-494929
16,EBITDA ratio,-77.5000,-38.5762,-36.6629,-16.2355,-5.3498,-2.3866,-1.6271,-0.9545,-0.7037,-0.7519,-0.3840,-0.4081,-0.0758,-0.0634
17,Operating Income,-2550000,4075465,12795566,- -,11074436,6614683,6779283,6861054,6309032,- -,- -,- -,-1828287,-1147080
18,Operating Income ratio,-63.7500,46.7982,39.2541,- -,6.7943,3.1974,2.2145,1.3350,1.0561,- -,- -,- -,-0.2829,-0.1470
19,Total Other Income Expenses (Gains),-620000,-10269138,-31745790,-7407545,-29679948,-21181705,-21289348,-23211128,-24974791,-13456076,-12426610,-10840541,-9854359,-8933283
20,Income Before Tax,-3170000,-6193673,-18950224,-16375296,-18605512,-14567022,-14510065,-16350074,-18665759,-20072014,-16077850,-14140446,-11682646,-10080363
21,Income Before Tax Ratio,-79.2500,-71.1213,-58.1352,-25.9739,-11.4146,-7.0414,-4.7398,-3.1813,-3.1245,-3.2044,-2.6374,-2.2466,-1.8079,-1.2920
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3170000,-6176173,-18851758,-16264252,-18502970,-14518305,-14451725,-16284992,-18612697,-20072014,-16077850,-14140446,-11682646,-10080363
24,Net Income ratio,-79.2500,-70.9204,-57.8332,-25.7978,-11.3517,-7.0178,-4.7208,-3.1686,-3.1156,-3.2044,-2.6374,-2.2466,-1.8079,-1.2920
25,EPS,-0.03,-0.06,-0.15,-0.13,-0.14,-0.11,-0.10,-0.12,-0.13,-0.14,-0.12,-0.10,-0.08,-0.07
26,EPS Diluted,-0.03,-0.06,-0.15,-0.13,-0.14,-0.11,-0.10,-0.12,-0.13,-0.14,-0.12,-0.10,-0.08,-0.07
27,Weighted Average Shares Outstanding,102740000,108359318,122864474,129467830,132122958,137197217,139120996,139380748,139380748,139380748,139380748,139380748,139380748,139380748
28,Weighted Average Shares Outstanding Diluted,102740000,108359318,122864474,129467830,132122958,137197217,139120996,139380748,139380748,139380748,139380748,139380748,139380748,139380748
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1377149/000138713112000684/0001387131-12-000684-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713113001119/0001387131-13-001119-index.html,- -,https://www.sec.gov/Archives/edgar/data/1377149/000138713115001126/0001387131-15-001126-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713116004824/0001387131-16-004824-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713117001750/0001387131-17-001750-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713118001293/0001387131-18-001293-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713119002310/0001387131-19-002310-index.html,https://www.sec.gov/Archives/edgar/data/1377149/000138713120003439/0001387131-20-003439-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713121004274/0001387131-21-004274-index.htm,https://www.sec.gov/Archives/edgar/data/1377149/000138713122004492/0001387131-22-004492-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,900000,218302,26565,8526857,5413848,4125180,2546262,17678969,10088258,2066392,1200725,269741,357950,659228
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900000,218302,26565,8526857,5413848,4125180,2546262,17678969,10088258,2066392,1200725,269741,357950,659228
34,Net Receivables,10000,8267,88390,186850,367742,377432,680143,1176404,1069304,1210968,1276992,1666338,1146486,933200
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408450,349216
36,Other Current Assets,210000,387520,351492,531385,194592,93132,276910,471075,114717,585622,1408426,220464,244307,235521
37,Total Current Assets,1120000,614089,466447,9245092,5976182,4595744,3503315,19326448,11272279,3862982,3886143,2156543,2157193,2177165
38,PP&E,250000,1522293,3811142,8767459,7861537,6364609,5344792,4483439,4152414,3321541,2486666,2063962,2251583,1694041
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2230000,1698926,1170544,667927,208974,252989,261283,380765,612337,665918,746140,830682,897712,910398
41,Intangible Assets,2230000,1698926,1170544,667927,208974,252989,261283,380765,612337,665918,746140,830682,897712,910398
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,80783,512352,3275739,2019856,1224554,832930,5939758,5418894,4267909,1875654,240700,197121,299563
45,Total Non-Current Assets,2480000,3302002,5494038,12711125,10090367,7842152,6439005,10803962,10183645,8255368,5108460,3135344,3346416,2904002
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3600000,3916091,5960485,21956217,16066549,12437896,9942320,30130410,21455924,12118350,8994603,5291887,5503609,5081167
48,Accounts Payable,20000,136151,145800,1240347,166373,414888,244782,332402,195472,365300,509298,439851,442004,414333
49,Short-Term Debt,- -,1610866,38647,58602,410586,1424774,- -,441498,439173,8533334,15513786,20655149,65897222,862470
50,Tax Payable,- -,- -,- -,261399,360587,173938,145183,235162,182122,127225,23156,29309,10424,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58559,255398,465124,- -
52,Other Current Liabilities,1440000,1276499,105448,335212,1272986,1107988,982880,1182174,1253373,750056,1357681,4250107,7393356,88056307
53,Total Current Liabilities,1460000,3023516,289895,1634161,1849945,2947650,1227662,1956074,1888018,9648690,17439324,25600505,74197706,89333110
54,Long-Term Debt,430000,179624,289448,4128897,12439154,17941662,23276235,53729093,62271224,64577541,69374606,71434695,34005631,24747168
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,120000,179624,289448,273128,25824,379472,743458,168805,629,43583,- -,- -,561202,3699187
58,Total Non-Current Liabilities,550000,359248,578896,4402025,12464978,18321134,24019693,53897898,62271853,64621124,69374606,71434695,34566833,28446355
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91363,711289,- -
61,Total Liabilities,2010000,3382764,868791,6036186,14314923,21268784,25247355,55853972,64159871,74269814,86813930,97035200,108764539,28446355
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,110000,111013,127540,131455,132526,138753,139381,139381,139381,139381,139381,139381,139381,139381
64,Retained Earnings,-5480000,-11656538,-30508296,-46772548,-65275518,-79793823,-91510720,-107795712,-126408409,-145908741,-161986591,-176127037,-187809683,-197890046
65,Other Comprehensive Income/Loss,-70000,-142323,-317872,-1321216,-2726234,-4255233,-5877157,-7398736,-9153771,-11079604,-10607450,-11173916,- -,- -
66,Other Total Stockholders Equity,7020000,12238675,35906288,64109350,69950404,75457684,82380070,89833197,93273605,94697500,94635333,95418259,84409372,85052367
67,Total Stockholders Equity,1580000,550827,5207660,16147041,2081178,-8452619,-14868426,-25221870,-42149194,-62151464,-77819327,-91743313,-103260930,-112698298
