,https://roic.ai/company/OLB,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,73081,290159,218338,184758,130508,103795,136488,66290,83026,51543,9019876,10291524,9766621,16710759
2,COGS,- -,- -,60460,213142,96580,63934,47430,38108,29915,23852,20895,19398,5992619,6723666,6003931,- -
3,Gross Profit,- -,- -,12621,77017,121758,120824,83078,65687,106573,42438,62131,32145,3027257,3567858,3762690,- -
4,Gross Profit Ratio,- -,- -,0.1727,0.2654,0.5577,0.6540,0.6366,0.6329,0.7808,0.6402,0.7483,0.6237,0.3356,0.3467,0.3853,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,486160,400850,485798,441182,479257,625643,448823,373539,365629,403982,2836909,2908280,3652972,3977936
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181510,115584,- -,- -
8,"Selling, General and Administrative Exp.",664707,1780172,486160,400850,485798,441182,479257,625643,448823,373539,365629,403982,3018419,3023864,3652972,3977936
9,Other Expenses,- -,- -,- -,- -,104008,273021,273021,- -,- -,- -,- -,- -,541904,812857,844423,17497562
10,Operating Expenses,- -,- -,486160,400850,589806,714203,752278,625643,448823,373539,365629,403982,3560323,3836721,4497395,21475498
11,COGS and Expenses,664707,1780172,546620,613992,686386,778137,799708,663751,478738,397391,386524,423380,9552942,10560387,10501326,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),14430,7934,9236,9236,- -,20025,42747,8270,18051,11247,9454,26901,883316,1249154,1043933,116737
14,Depreciation and Amortization,- -,- -,- -,- -,- -,273021,273021,- -,- -,- -,- -,- -,582559,842149,861269,1890899
15,EBITDA,-1392274,-1890448,-473539,-313833,-381161,-386445,-468088,-543846,-342250,-331101,-303498,-371837,72331,747891,128475,-2970722
16,EBITDA ratio,-Infinity,-Infinity,-6.4796,-1.0816,-1.7457,-2.0916,-3.5867,-5.2396,-2.5075,-4.9947,-3.6555,-7.2141,0.0080,0.0727,0.0132,-0.1778
17,Operating Income,-664707,-1780172,-473539,-323833,-468048,-593379,-669200,-559956,-342250,-331101,-303498,-371837,-533066,-268863,-734705,-4764739
18,Operating Income ratio,-Infinity,-Infinity,-6.4796,-1.1161,-2.1437,-3.2117,-5.1277,-5.3948,-2.5075,-4.9947,-3.6555,-7.2141,-0.0591,-0.0261,-0.0752,-0.2851
19,Total Other Income Expenses (Gains),727567,110276,- -,10000,86887,-66087,-114656,7840,-18051,-11247,-9454,-26901,-860478,-1074549,-1042022,-213619
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-783856,-552116,-360301,-342348,-312952,-398738,-1393544,-1343412,-1776727,-4978358
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-6.0062,-5.3193,-2.6398,-5.1644,-3.7693,-7.7360,-0.1545,-0.1305,-0.1819,-0.2979
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,48430,-1677830,-482775,-323069,-381161,-679491,-783856,-552116,-360301,-342348,-312952,-398738,-1393544,-1343412,-1776727,-4978358
24,Net Income ratio,Infinity,-Infinity,-6.6060,-1.1134,-1.7457,-3.6777,-6.0062,-5.3193,-2.6398,-5.1644,-3.7693,-7.7360,-0.1545,-0.1305,-0.1819,-0.2979
25,EPS,6.00,-24.00,-6.00,-6.00,-2.84,-3.00,-3.30,-1.50,-0.90,-0.90,-0.60,-0.90,-0.30,-0.25,-0.31,-0.91
26,EPS Diluted,0.70,-24.00,-6.00,-6.00,-2.84,-3.00,-3.30,-1.50,-0.90,-0.90,-0.60,-0.90,-0.30,-0.25,-0.31,-0.91
27,Weighted Average Shares Outstanding,50255,66565,73657,96108,134067,214126,239104,349167,376677,376876,449305,459075,5411391,5452626,5711266,5452626
28,Weighted Average Shares Outstanding Diluted,69370,66565,73657,96108,134067,214126,239104,349167,376677,376876,449305,459075,5411391,5452626,5711266,5452626
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314196/000121390020011981/0001213900-20-011981-index.htm,https://www.sec.gov/Archives/edgar/data/1314196/000121390021018415/0001213900-21-018415-index.htm,https://www.sec.gov/Archives/edgar/data/1314196/000121390022015583/0001213900-22-015583-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200,2333,670,555,3908,845,8883,2819,- -,2875,1160,580,111586,507616,3824491,3470339
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200,2333,670,555,3908,845,8883,2819,- -,2875,1160,580,111586,507616,3824491,3470339
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406110,479404,355994,670822
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,95833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29413,124984,24522,744415
37,Total Current Assets,200,98166,670,555,3908,845,8883,2819,- -,2875,1160,580,547109,1112004,4205007,4885576
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65945,36653,289315,9369634
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6858216,6858216,6858216,6858216
40,Intangible Assets,- -,- -,- -,4965,551007,273021,- -,- -,- -,4965,4965,4965,4148096,3335239,2640816,23964180
41,Intangible Assets,- -,- -,- -,4965,551007,273021,- -,- -,- -,4965,4965,4965,11006312,10193455,9499032,30822396
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4965,4965,4965,- -,- -,4965,4965,4965,4965,- -,- -,- -,379908,526817,384148,451885
45,Total Non-Current Assets,4965,4965,4965,4965,551007,277986,4965,4965,4965,4965,4965,4965,11452165,10756925,10172495,40643915
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5165,103131,5635,5520,554915,278831,13848,7784,4965,7840,6125,5545,11999274,11868929,14377502,45529491
48,Accounts Payable,166499,186527,- -,85769,28935,84055,85483,78260,- -,18333,41934,89640,467526,592853,359968,501762
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,133180
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99594,- -,- -
52,Other Current Liabilities,279386,172627,510833,- -,- -,205175,- -,50000,21728,- -,287636,3481,753786,1801882,189232,2416182
53,Total Current Liabilities,445885,359154,510833,85769,28935,289230,85483,128260,21728,18333,329570,93121,1221312,2494329,999200,3051124
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,12175000,7441076,273166
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185045,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,12175000,7626121,273166
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270643,- -
61,Total Liabilities,445885,359154,510833,85769,28935,289230,85483,128260,21728,18333,329570,93121,13721312,14669329,8625321,3324290
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46,- -
63,Common Stock,353006,436912,567830,719434,1283968,715,1018,1130,1130,1348,1348,1984,16237,541,617,1197
64,Retained Earnings,-9385744,-11063574,-11546349,-11869418,-12250579,-12930070,-13713926,-14266042,-14626343,-14968691,-15281643,-15680381,-17508467,-18851879,-20628606,-25606964
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40655,-69947,- -,- -
66,Other Total Stockholders Equity,8592018,10370639,10473321,11069735,11492591,12918956,13641273,14144436,14608450,14956850,14956850,15590821,15810847,16120885,26380124,67810968
67,Total Stockholders Equity,-440720,-256023,-505198,-80249,525980,-10399,-71635,-120476,-16763,-10493,-323445,-87576,-1722038,-2800400,5752181,42205201
68,Total Liabilities And Stockholders Equity,5165,103131,5635,5520,554915,278831,13848,7784,4965,7840,6125,5545,11999274,11868929,14377502,45529491
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5165,103131,5635,5520,554915,278831,13848,7784,4965,7840,6125,5545,11999274,11868929,14377502,45529491
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1314196/000121390020011981/0001213900-20-011981-index.htm,https://www.sec.gov/Archives/edgar/data/1314196/000121390021018415/0001213900-21-018415-index.htm,https://www.sec.gov/Archives/edgar/data/1314196/000121390022015583/0001213900-22-015583-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,48430,-1677830,-482775,-323069,-381161,-679491,-783856,-552116,-360301,-342348,-312952,-398738,-1393544,-1343412,-1776727,-4978358
74,Depreciation and Amortization,- -,- -,- -,- -,- -,273021,273021,- -,- -,- -,- -,- -,582559,842149,861269,1890899
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,202340,- -,- -,- -,- -,- -,- -,- -,185963,265050,298381,296042
77,Change in Working Capital,548245,184697,-249175,424949,60187,-263358,211785,-48841,103713,6270,-312952,235869,-581662,-708122,4588132,-1371355
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63869,-73294,123410,-314828
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149161,125327,-232885,141794
81,Other Working Capital,-445685,-260988,-510163,-85214,-25027,-288385,-76600,-125441,-21728,-15458,-328410,-92541,-674203,-1382325,3205807,1834452
82,Other Non-Cash Items,-727567,1434955,663964,-144962,-13013,609765,132088,469893,120456,136266,461189,108789,1075592,1189203,-4297716,654690
83,Cash Provided by Operating Activities,-130892,-58178,-67986,-43082,-131647,-60063,-166962,-131064,-136132,-199812,-164715,-54080,-131092,244868,-326661,-3508082
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,-9596599
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217678,- -,-150000,-16065001
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,217678,- -,-150000,-25661600
90,Debt Repayment,- -,- -,-23100,-70078,- -,- -,- -,- -,- -,-313,- -,- -,-3030000,- -,-1845155,- -
91,Common Stock Issued,- -,29200,- -,- -,135000,- -,75000,75000,- -,- -,- -,- -,- -,- -,5446000,165009
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
