,https://roic.ai/company/ANGI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,45600000,59039000,90043000,155799000,245642000,315011000,344125000,323329000,736386000,1132241000,1326205000,1467925000,1685438000
2,COGS,11654000,12464000,16417000,27081000,40072000,52760000,56074000,40293000,34073000,55739000,46493000,173281000,325880000
3,Gross Profit,33946000,46575000,73626000,128718000,205570000,262251000,288051000,283036000,702313000,1076502000,1279712000,1294644000,1359558000
4,Gross Profit Ratio,0.7444,0.7889,0.8177,0.8262,0.8369,0.8325,0.8371,0.8754,0.9537,0.9508,0.9649,0.8820,0.8066
5,Research and Development Exp.,5062000,6270000,9109000,- -,- -,- -,- -,- -,47907000,61143000,64200000,68803000,70933000
6,General and Administrative Exp.,8699000,16302000,18740000,24055000,32828000,34012000,49208000,53954000,300433000,323462000,348247000,374096000,405819000
7,Selling and Marketing Exp.,28785000,47129000,89937000,138826000,177626000,204562000,188924000,176186000,464040000,541469000,733223000,762590000,883643000
8,"Selling, General and Administrative Exp.",37484000,63431000,108677000,162881000,210454000,238574000,238132000,230140000,764473000,864931000,1081470000,1136686000,1289462000
9,Other Expenses,- -,- -,- -,16870000,26197000,34039000,36661000,55990000,37804000,86522000,95397000,95523000,75676000
10,Operating Expenses,42546000,69701000,117786000,179751000,236651000,272613000,274793000,286130000,850184000,1012596000,1241067000,1301012000,1436071000
11,COGS and Expenses,54200000,82165000,134203000,206832000,276723000,325373000,330867000,326423000,884257000,1068335000,1287560000,1474293000,1761951000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3381000,3966000,3004000,1856000,1868000,1203000,2971000,4720000,7736000,11741000,11509000,14178000,23485000
14,Depreciation and Amortization,1517000,1378000,1660000,2753000,4069000,5576000,6402000,13148000,37804000,86522000,95397000,95523000,75676000
15,EBITDA,-7083000,-21748000,-44330000,-48280000,-27012000,-5244000,19660000,10054000,-106684000,168098000,140067000,88250000,-4230000
16,EBITDA ratio,-0.1553,-0.3684,-0.4923,-0.3099,-0.1100,-0.0166,0.0571,0.0311,-0.1449,0.1485,0.1056,0.0601,-0.0025
17,Operating Income,-8600000,-23126000,-44160000,-51033000,-31081000,-10362000,13258000,-3094000,-147871000,63906000,38645000,-6368000,-76513000
18,Operating Income ratio,-0.1886,-0.3917,-0.4904,-0.3276,-0.1265,-0.0329,0.0385,-0.0096,-0.2008,0.0564,0.0291,-0.0043,-0.0454
19,Total Other Income Expenses (Gains),-3381000,-3966000,-4834000,-1856000,-1868000,-1661000,-2971000,-4720000,-5762000,6118000,-4999000,-12960000,-25994000
20,Income Before Tax,-11981000,-27092000,-48994000,-52889000,-32949000,-12023000,10287000,-7814000,-153633000,70024000,33646000,-19328000,-102507000
21,Income Before Tax Ratio,-0.2627,-0.4589,-0.5441,-0.3395,-0.1341,-0.0382,0.0299,-0.0242,-0.2086,0.0618,0.0254,-0.0132,-0.0608
