,https://roic.ai/company/APG,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,3046000000,3728000000,985000000,3587000000,3940000000
2,COGS,- -,- -,2382000000,2941000000,787000000,2831000000,3001000000
3,Gross Profit,- -,- -,664000000,787000000,198000000,756000000,939000000
4,Gross Profit Ratio,- -,- -,0.2180,0.2111,0.2010,0.2108,0.2383
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,511000000,- -,359000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,511000000,- -,359000000,- -,803000000
9,Other Expenses,- -,- -,- -,625000000,- -,725000000,- -
10,Operating Expenses,- -,- -,511000000,625000000,359000000,725000000,803000000
11,COGS and Expenses,- -,- -,2893000000,3566000000,1146000000,3556000000,3804000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,8000000,22000000,15000000,52000000,60000000
14,Depreciation and Amortization,- -,- -,69000000,109000000,69000000,263000000,202000000
15,EBITDA,- -,- -,197000000,277000000,-67000000,131000000,341000000
16,EBITDA ratio,- -,- -,0.0647,0.0743,-0.0680,0.0365,0.0865
17,Operating Income,- -,- -,123000000,162000000,-161000000,-166000000,136000000
18,Operating Income ratio,- -,- -,0.0404,0.0435,-0.1635,-0.0463,0.0345
19,Total Other Income Expenses (Gains),- -,- -,-3000000,-16000000,10000000,-18000000,-57000000
20,Income Before Tax,- -,- -,120000000,146000000,-151000000,-184000000,79000000
21,Income Before Tax Ratio,- -,- -,0.0394,0.0392,-0.1533,-0.0513,0.0201
22,Income Tax expense (Gain),- -,- -,8000000,10000000,2000000,-31000000,32000000
23,Net Income,- -,- -,112000000,136000000,-153000000,-153000000,47000000
24,Net Income ratio,- -,- -,0.0368,0.0365,-0.1553,-0.0427,0.0119
25,EPS,- -,- -,0.93,1.12,-1.15,-2.21,0.28
26,EPS Diluted,- -,- -,0.93,1.12,-1.15,-2.21,0.28
