,https://roic.ai/company/BIOC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,1052,109289,134245,133415,609909,3223096,5068663,3250298,5528566,27461398,61249000
2,COGS,17322,1201694,2329900,2170548,4596158,6920111,9345122,10051735,10977520,21336791,37764000
3,Gross Profit,-16270,-1092405,-2195655,-2037133,-3986249,-3697015,-4276459,-6801437,-5448954,6124607,23485000
4,Gross Profit Ratio,-15.4658,-9.9956,-16.3556,-15.2691,-6.5358,-1.1470,-0.8437,-2.0926,-0.9856,0.2230,0.3834
5,Research and Development Exp.,8853350,6562152,3086737,4497790,2857770,2713367,3364747,4468572,4697022,5220278,4960000
6,General and Administrative Exp.,2728442,2063199,2513136,5201997,5686398,6560425,7189529,7074024,6970120,9973082,12614000
7,Selling and Marketing Exp.,672934,785319,148903,2137004,3880386,5054230,6343971,5914706,5940843,6399502,8320000
8,"Selling, General and Administrative Exp.",3401376,2848518,2662039,7339001,9566784,11614655,13533500,12988730,12910963,16372584,20934000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12254726,9410670,5748776,11836791,12424554,14328022,16898247,17457302,17607985,21592862,25894000
11,COGS and Expenses,12272048,10612364,8078676,14007339,17020712,21248133,26243369,27509037,28585505,42929653,63658000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,2070064,- -,- -,- -,- -,310976,2081100,2338649,290000
14,Depreciation and Amortization,369312,365568,266554,251203,261409,322029,575717,800905,773314,1085234,2637000
15,EBITDA,-13259174,-11893158,-6895765,-15613337,-16686509,-18075240,-21030396,-23457834,-22283625,-14383021,-22000
16,EBITDA ratio,-12603.7776,-108.8230,-51.3670,-117.0283,-27.3590,-5.6080,-4.1491,-7.2171,-4.0306,-0.5238,-0.0004
17,Operating Income,-12270996,-10503075,-7944431,-13873924,-16410803,-18025037,-21174706,-24258739,-23056939,-15468255,-2409000
18,Operating Income ratio,-11664.4449,-96.1037,-59.1786,-103.9907,-26.9070,-5.5925,-4.1776,-7.4635,-4.1705,-0.5633,-0.0393
19,Total Other Income Expenses (Gains),-1357490,-1755651,-1287952,-1990616,-537115,-372232,-431407,-310976,-2081100,-2338649,-290000
20,Income Before Tax,-13628486,-12258726,-9232383,-15864540,-16947918,-18397269,-21606113,-24569715,-25138039,-17806904,-2699000
21,Income Before Tax Ratio,-12954.8346,-112.1680,-68.7726,-118.9112,-27.7876,-5.7079,-4.2627,-7.5592,-4.5469,-0.6484,-0.0441
22,Income Tax expense (Gain),800,800,800,1506,1608,2053,7624,1886,- -,- -,-125000
23,Net Income,-13629286,-12259526,-9233183,-15866046,-16949526,-18399322,-21613737,-24571601,-25138039,-17806904,-2824000
24,Net Income ratio,-12955.5951,-112.1753,-68.7786,-118.9225,-27.7903,-5.7086,-4.2642,-7.5598,-4.5469,-0.6484,-0.0461
25,EPS,-4872.82,-4419.05,-1837.82,-3573.04,-918.01,-576.01,-237.00,-90.10,-12.20,-1.50,-0.24
26,EPS Diluted,-4872.82,-4419.05,-1837.82,-3573.04,-918.01,-576.01,-237.00,-90.10,-12.20,-1.50,-0.24
27,Weighted Average Shares Outstanding,2797,2774,5024,4441,18376,31927,90820,279824,2066089,2066089,11845255
28,Weighted Average Shares Outstanding Diluted,2797,2774,5024,4441,18376,31927,90820,279824,2066089,2066089,11845255
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044378/000156459015001482/0001564590-15-001482-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459016014436/0001564590-16-014436-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459017005382/0001564590-17-005382-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459018006985/0001564590-18-006985-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459019009914/0001564590-19-009914-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459020013670/0001564590-20-013670-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459021017097/0001564590-21-017097-index.htm,https://www.sec.gov/Archives/edgar/data/1044378/000156459022013599/0001564590-22-013599-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,435292,185256,69178,5364582,8821329,4609332,2146611,3423373,9301406,14367942,28864000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,435292,185256,69178,5364582,8821329,4609332,2146611,3423373,9301406,14367942,28864000
34,Net Receivables,5251,18885,9200,10600,34200,128969,1193426,1574325,3527078,14144911,13786000
35,Inventory,- -,61283,92823,188728,349271,549045,498702,587222,767986,1929624,2651000
36,Other Current Assets,367610,310442,799131,338721,435938,484649,416600,425961,296127,2151527,391000
37,Total Current Assets,808153,575866,970332,5902631,9640738,5771995,4255339,6010881,13892597,32594004,45692000
38,PP&E,982253,624730,358887,662422,946180,1806331,3123567,2739422,3840047,14431674,11427000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,269083,269083,500,23194,- -,- -,- -,- -,- -,425908,3298000
45,Total Non-Current Assets,1251336,893813,359387,685616,946180,1806331,3123567,2739422,3840047,14857582,14725000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2059489,1469679,1329719,6588247,10586918,7578326,7378906,8750303,17732644,47451586,60417000
