,https://roic.ai/company/BDCO,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5800000,5200000,4200000,3300000,3100000,5200000,6800000,5100000,4100000,5000000,3600000,2757056,7941970,5686025,2910277,2516814,1435646,4511183,4298708,3011817,2989410,1992948,2741571,2274218,352094714,409543069,387524974,221732620,167855316,258449579,340761000,309262000,174810000,300820000
2,COGS,1800000,4800000,3300000,2200000,2300000,1800000,2500000,2300000,2400000,1800000,1700000,2203547,2345935,1672603,1357527,1385385,1212978,1236737,1583851,2028605,1966092,1610503,1098597,1008859,351030079,410005990,374694780,206578226,175735889,251060637,333869000,300317000,182662000,307519000
3,Gross Profit,4000000,400000,900000,1100000,800000,3400000,4300000,2800000,1700000,3200000,1900000,553509,5596035,4013422,1552750,1131429,222668,3274446,2714857,983212,1023318,382445,1642974,1265359,1064635,-462921,12830194,15154394,-7880573,7388942,6892000,8945000,-7852000,-6699000
4,Gross Profit Ratio,0.6897,0.0769,0.2143,0.3333,0.2581,0.6538,0.6324,0.5490,0.4146,0.6400,0.5278,0.2008,0.7046,0.7058,0.5335,0.4495,0.1551,0.7259,0.6316,0.3265,0.3423,0.1919,0.5993,0.5564,0.0030,-0.0011,0.0331,0.0683,-0.0469,0.0286,0.0202,0.0289,-0.0449,-0.0223
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2000000,- -,1500000,1300000,1300000,1400000,1500000,1400000,1300000,1400000,1500000,2061805,2093840,2845459,- -,- -,- -,- -,- -,- -,2251771,2194878,1481563,1574364,2134068,1794053,1427707,1525577,2708594,4021962,3272000,2659000,2299000,3021000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2000000,- -,1500000,1300000,1300000,1400000,1500000,1400000,1300000,1400000,1500000,2061805,2093840,2845459,2507716,1685693,2484143,2708819,1773102,2178276,2251771,2194878,1481563,1574364,2134068,1794053,1427707,1525577,2708594,4021962,3272000,2659000,2299000,3021000
9,Other Expenses,3100000,1800000,1500000,1100000,1000000,1000000,700000,600000,400000,400000,400000,595286,1996910,4758234,1158626,488052,432766,403217,1002058,554704,527972,2017342,1212091,1897869,1737404,1455249,1782957,5678079,699810,515167,1060000,833000,-2130000,- -
10,Operating Expenses,5100000,1800000,3000000,2400000,2300000,2400000,2200000,2000000,1700000,1800000,1900000,2657091,4090750,7603693,3666342,2173745,2916909,3112036,2775160,2732980,2779743,4212220,2693654,3472233,3871472,3249302,3210664,7203656,3408404,4537129,4332000,3492000,169000,3021000
11,COGS and Expenses,6900000,6600000,6300000,4600000,4600000,4200000,4700000,4300000,4100000,3600000,3600000,4860638,6436685,9276296,5023869,3559130,4129887,4348773,4359011,4761585,4745835,5822723,3792251,4481092,354901551,413255292,377905444,213781882,179144293,255597766,338201000,303809000,182831000,310540000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114107,116417,760702,684771,345656,375966,137659,248637,120069,9921,32370,17383,21940,3105,47522,980266,1924893,478638,20000,4000,172000,- -
13,Interest Expense (Gain),-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,954579,1100053,892372,1742214,1854567,2770164,3363000,6750000,6763000,6199000
14,Depreciation and Amortization,1550000,1800000,1500000,1100000,1000000,1000000,700000,600000,400000,400000,400000,595286,1996910,1817770,818642,488052,555184,457847,502058,554704,527972,517342,- -,- -,1622176,1352026,1570962,1647586,1935644,1810134,1933000,- -,2686000,2780000
15,EBITDA,-3450000,-500000,-1400000,-900000,100000,2200000,2800000,9800000,600000,1900000,-11800000,305808,-8138210,-831372,1300696,-305006,-1945150,1012338,1429601,-1066811,-1431853,-3616465,-1018310,638856,-15698199,-1265795,12634512,10227341,-8370000,-17748092,4513000,14111000,-5024000,-3862000
16,EBITDA ratio,-0.5948,-0.0962,-0.3333,-0.2727,0.0323,0.4231,0.4118,1.9216,0.1463,0.3800,-3.2778,0.1109,-1.0247,-0.1462,0.4469,-0.1212,-1.3549,0.2244,0.3326,-0.3542,-0.4790,-1.8146,-0.3714,0.2809,-0.0446,-0.0031,0.0326,0.0461,-0.0499,-0.0687,0.0132,0.0456,-0.0287,-0.0128
17,Operating Income,-1100000,-1400000,-2100000,-1300000,-1500000,1000000,2100000,800000,- -,1400000,-12000000,-50662,-9249691,-3590271,-2113592,-1211563,-2694241,162410,332108,-1870152,-2078008,-4143728,-1050680,621473,-13432796,-3775990,9619530,7599489,-12230537,-21871364,2560000,5453000,-7852000,-6699000
18,Operating Income ratio,-0.1897,-0.2692,-0.5000,-0.3939,-0.4839,0.1923,0.3088,0.1569,- -,0.2800,-3.3333,-0.0184,-1.1647,-0.6314,-0.7263,-0.4814,-1.8767,0.0360,0.0773,-0.6209,-0.6951,-2.0792,-0.3832,0.2733,-0.0382,-0.0092,0.0248,0.0343,-0.0729,-0.0846,0.0075,0.0176,-0.0449,-0.0223
19,Total Other Income Expenses (Gains),-700000,-100000,200000,100000,900000,-300000,-600000,8400000,100000,100000,-200000,-158482,-21509952,-1768039,1658815,-429258,301033,392081,595435,248637,118183,9921,32370,17383,-398592,58116,551648,-761948,70326,-457026,-3343000,1908000,-6591000,-6142000
20,Income Before Tax,-1800000,- -,- -,- -,- -,700000,1500000,9200000,200000,1500000,-12200000,-209144,- -,- -,- -,- -,- -,554491,927543,-1621515,-1959825,-4133807,-1018310,638856,-13831388,-3717874,10171178,6837541,-12160211,-22328390,-783000,7361000,-14443000,-12841000
21,Income Before Tax Ratio,-0.3103,- -,- -,- -,- -,0.1346,0.2206,1.8039,0.0488,0.3000,-3.3889,-0.0759,- -,- -,- -,- -,- -,0.1229,0.2158,-0.5384,-0.6556,-2.0742,-0.3714,0.2809,-0.0393,-0.0091,0.0262,0.0308,-0.0724,-0.0864,-0.0023,0.0238,-0.0826,-0.0427
