,https://roic.ai/company/GWTI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,60000,20000,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,30000,100000,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,30000,-80000,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.5000,-4.0000,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,220000,770000,970000,867050,630520,441320,30000,158000
6,General and Administrative Exp.,1440000,620000,2240000,3830000,1050000,8262990,2255500,1988110,1341512,998103
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1440000,620000,2240000,3830000,1050000,8262990,2255500,1988110,1341512,998103
9,Other Expenses,63900,116532,-29904,-3412,-2155,349,1,1,- -,- -
10,Operating Expenses,1503900,736532,2430096,4596588,2017845,9130389,2886021,2429431,1371512,1156103
11,COGS and Expenses,890000,830000,2650000,4150000,2000000,9130390,3034020,3155210,1371512,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),60727,87281,225135,218105,14676,1075,126461,- -,769170,588273
14,Depreciation and Amortization,61918,118457,119350,398,395,349,- -,- -,293156,35202
15,EBITDA,-767355,-774262,-4605135,-4149600,-1999600,-9130040,-3355940,-4169910,-1784397,35202
16,EBITDA ratio,-12.7892,-38.7131,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,-1476814,-817475,-2460211,-4596588,-2017845,-9130389,-2886021,-2429431,-1371512,- -
18,Operating Income ratio,-24.6136,-40.8738,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),586814,-162525,-1919789,566588,-2155,-17011,-308959,-1231819,-1170460,- -
20,Income Before Tax,-890000,-980000,-4380000,-4030000,-2020000,-9147400,-3194980,-3661250,-2541972,-1744376
21,Income Before Tax Ratio,-14.8333,-49.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
