,https://roic.ai/company/WTER,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,552699,3700476,7088806,12763630,19812199,32199528,41142443,46609121
2,COGS,- -,- -,- -,411851,2532436,4432459,7350394,11687017,19252768,24302874,29622361
3,Gross Profit,- -,- -,- -,140848,1168040,2656347,5413236,8125182,12946760,16839569,16986760
4,Gross Profit Ratio,- -,- -,- -,0.2548,0.3156,0.3747,0.4241,0.4101,0.4021,0.4093,0.3645
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,42626,- -,3914865,6520451,6883287,3164101,6425069,7420078,11138749,15860147
7,Selling and Marketing Exp.,- -,- -,- -,464081,1386671,2931870,4428572,7211399,13009384,19067642,16420520
8,"Selling, General and Administrative Exp.",- -,42626,- -,4378946,7907122,9815157,7592673,13636468,20429462,30206391,32280667
9,Other Expenses,- -,- -,- -,42407,175036,318328,359556,418777,580669,1011241,- -
10,Operating Expenses,- -,42626,- -,4421353,8082158,10133485,7952229,14055245,21010131,31217632,32280667
11,COGS and Expenses,- -,42626,- -,4833204,10614594,14565944,15302623,25742262,40262899,55520506,61903028
12,Interest Income ,- -,- -,- -,- -,11,97,103,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,586844,480994,848511,923446,760336,554482,448758,575613
14,Depreciation and Amortization,- -,- -,- -,42407,175036,318328,359556,418777,580669,1011241,1002369
15,EBITDA,- -,-42626,- -,-3600262,-6483419,-7114745,-2171598,-5508167,-7482414,-13366822,-14831538
16,EBITDA ratio,- -,-Infinity,- -,-6.5140,-1.7521,-1.0037,-0.1701,-0.2780,-0.2324,-0.3249,-0.3182
17,Operating Income,- -,- -,- -,-4280505,- -,-7477138,-2538993,-5930063,-8063371,-14378063,-15833907
18,Operating Income ratio,- -,- -,- -,-7.7447,- -,-1.0548,-0.1989,-0.2993,-0.2504,-0.3495,-0.3397
19,Total Other Income Expenses (Gains),- -,- -,- -,50992,-225331,-804446,-915607,-757217,-554194,-448758,-575613
20,Income Before Tax,- -,-42626,- -,-4229513,-7139449,-8281584,-3454600,-6687280,-8617565,-14826821,-16409520
21,Income Before Tax Ratio,- -,-Infinity,- -,-7.6525,-1.9293,-1.1683,-0.2707,-0.3375,-0.2676,-0.3604,-0.3521
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
