,https://roic.ai/company/GPFT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,1280658,2095654,1385940,1323773,1755754,1364892,1177473,1068617,1052541,- -,398271,220810,33080,41830,- -,451200,3672
2,COGS,638113,1072837,676622,910125,662232,700248,532157,505865,585794,- -,163135,169120,10250,14260,- -,708570,3392
3,Gross Profit,642545,1022817,709318,413648,1093522,664644,645316,562752,466747,- -,235136,51690,22830,27570,- -,-257370,280
4,Gross Profit Ratio,0.5017,0.4881,0.5118,0.3125,0.6228,0.4870,0.5481,0.5266,0.4434,- -,0.5904,0.2341,0.6901,0.6591,- -,-0.5704,0.0764
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400,- -
6,General and Administrative Exp.,- -,- -,- -,- -,2278720,2509257,2466929,- -,1862073,- -,1355046,1503088,2697527,1654541,6321546,1616581,1317
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1917437,1625047,2753612,2465299,2278720,2509257,2466929,2947140,1862073,- -,1355046,1503088,2697527,1654541,6321546,1616581,1317
9,Other Expenses,741352,554381,255656,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169
10,Operating Expenses,2658789,2179428,3009268,2465299,2278719,2509257,2466929,2947140,1862073,- -,1355046,1503088,2697527,1654541,6321546,1618981,1487
11,COGS and Expenses,3296902,3252265,3685890,3375424,2940952,3209505,2999086,3453005,2447867,- -,1518181,1672210,2737260,1668805,7246700,2853080,4879
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),78118,85843,68782,70857,51790,52366,55151,423365,975988,- -,6058,1191290,2894263,1171708,679685,571047,2097
14,Depreciation and Amortization,16393,15227,14616,15227,17910,-3098,7823,10516,7571,- -,- -,- -,- -,- -,- -,63979,82889
15,EBITDA,-1821839,-1117670,-2037726,-1974371,-836428,-1861996,-4136847,-17492032,3620843,- -,-1113328,-1440340,-3866407,4025018,-7449665,-3974004,80929
16,EBITDA ratio,-1.4226,-0.5333,-1.4703,-1.4915,-0.4764,-1.3642,-3.5133,-16.3689,3.4401,- -,-2.7954,-6.5230,-116.8805,96.2232,-Infinity,-8.8076,22.0374
17,Operating Income,-2016244,-1156611,-2299950,-2051650,-1185199,-1927714,-1921214,-2384388,-1395326,- -,-1119910,-1451399,-2674691,-1626975,-6321546,-1876352,-1206
18,Operating Income ratio,-1.5744,-0.5519,-1.6595,-1.5499,-0.6750,-1.4124,-1.6316,-2.2313,-1.3257,- -,-2.8119,-6.5731,-80.8552,-38.8949,-Infinity,-4.1586,-0.3285
