,https://roic.ai/company/UPWK,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,164445000,202552000,253354000,300562000,373628000,502797000
2,COGS,62578000,65443000,81458000,88144000,104267000,135508000
3,Gross Profit,101867000,137109000,171896000,212418000,269361000,367289000
4,Gross Profit Ratio,0.6195,0.6769,0.6785,0.7067,0.7209,0.7305
5,Research and Development Exp.,37902000,45604000,55488000,64027000,83471000,119083000
6,General and Administrative Exp.,35446000,37334000,49336000,67327000,71518000,113081000
7,Selling and Marketing Exp.,37437000,53044000,72963000,95891000,133225000,183294000
8,"Selling, General and Administrative Exp.",72883000,90378000,122299000,163218000,204743000,296375000
9,Other Expenses,5550000,4250000,5821000,3905000,3555000,6048000
10,Operating Expenses,116335000,140232000,183608000,231150000,291769000,421506000
11,COGS and Expenses,178913000,205675000,265066000,319294000,396036000,557014000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),858000,960000,2038000,1306000,-778000,2180000
14,Depreciation and Amortization,8462000,4186000,4949000,6661000,14032000,13806000
15,EBITDA,-6914000,1001000,-12905000,-8664000,-9763000,-40132000
16,EBITDA ratio,-0.0420,0.0049,-0.0509,-0.0288,-0.0261,-0.0798
17,Operating Income,-14468000,-3123000,-11712000,-18732000,-22408000,-54217000
18,Operating Income ratio,-0.0880,-0.0154,-0.0462,-0.0623,-0.0600,-0.1078
19,Total Other Income Expenses (Gains),-1766000,-1022000,-8180000,2101000,-309000,-1901000
20,Income Before Tax,-16234000,-4145000,-19892000,-16631000,-22717000,-56118000
21,Income Before Tax Ratio,-0.0987,-0.0205,-0.0785,-0.0553,-0.0608,-0.1116
22,Income Tax expense (Gain),-1000,-22000,15000,28000,-150000,122000
23,Net Income,-16233000,-4123000,-19907000,-16659000,-22867000,-56240000
24,Net Income ratio,-0.0987,-0.0204,-0.0786,-0.0554,-0.0612,-0.1119
25,EPS,-0.17,-0.04,-0.38,-0.15,-0.19,-0.47
26,EPS Diluted,-0.17,-0.04,-0.38,-0.15,-0.19,-0.47
27,Weighted Average Shares Outstanding,95930410,98071724,52328000,109815000,118699000,118699000
28,Weighted Average Shares Outstanding Diluted,95930410,98071724,52328000,109815000,118699000,118699000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627475/000162747519000007/0001627475-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1627475/000162747520000006/0001627475-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1627475/000162747521000015/0001627475-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1627475/000162747522000009/0001627475-22-000009-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,27326000,21595000,129128000,48392000,94081000,187205000
32,Short-Term Investments,- -,- -,- -,85481000,75570000,497566000
33,Cash and Short-Term Investments,27326000,21595000,129128000,133873000,169651000,684771000
34,Net Receivables,25320000,30762000,22315000,30156000,47018000,66826000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,63972000,91769000,104439000,116606000,144132000,178056000
37,Total Current Assets,116618000,144126000,255882000,280635000,360801000,929653000
38,PP&E,2605000,3514000,10815000,43362000,47868000,32011000
39,Goodwill,118219000,118219000,118219000,118219000,118219000,118219000
40,Intangible Assets,11399000,8672000,6004000,3335000,667000,- -
41,Intangible Assets,129618000,126891000,124223000,121554000,118886000,118219000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,759000,658000,653000,829000,1672000,1178000
45,Total Non-Current Assets,132982000,131063000,135691000,165745000,168426000,151408000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,249600000,275189000,391573000,446380000,529227000,1081061000
48,Accounts Payable,370000,462000,2073000,652000,6455000,4996000
49,Short-Term Debt,2992000,10342000,5671000,10798000,11306000,6315000
50,Tax Payable,1761000,1861000,1630000,2401000,3818000,4137000
51,Deferred Revenue,594000,614000,722000,13799000,16801000,22083000
52,Other Current Liabilities,81457000,103225000,119134000,123849000,164185000,200240000
53,Total Current Liabilities,85413000,114643000,127600000,149098000,198747000,233634000
54,Long-Term Debt,13970000,23491000,18239000,10699000,23648000,578052000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,180348000,168422000,1989000,27159000,7522000,9858000
58,Total Non-Current Liabilities,194318000,191913000,20228000,37858000,31170000,587910000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,24400000,24231000,23068000
61,Total Liabilities,279731000,306556000,147828000,186956000,229917000,821544000
62,Preferred Stock,178785000,166486000,- -,- -,- -,- -
63,Common Stock,3000,3000,11000,11000,12000,13000
64,Retained Earnings,-119469000,-123592000,-143499000,-171957000,-194824000,-251064000
65,Other Comprehensive Income/Loss,-119469000,-123592000,-143499000,-171957000,- -,- -
66,Other Total Stockholders Equity,30019000,49328000,530732000,603327000,494122000,- -
67,Total Stockholders Equity,-30131000,-31367000,243745000,259424000,299310000,259517000
68,Total Liabilities And Stockholders Equity,249600000,275189000,391573000,446380000,529227000,1081061000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,249600000,275189000,391573000,446380000,529227000,1081061000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627475/000162747519000007/0001627475-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1627475/000162747520000006/0001627475-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1627475/000162747521000015/0001627475-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1627475/000162747522000009/0001627475-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-16233000,-4123000,-19907000,-16659000,-22867000,-56240000
74,Depreciation and Amortization,8462000,4186000,4949000,6661000,14032000,13806000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,7266000,6846000,10361000,18798000,25508000,53592000
77,Change in Working Capital,-2043000,-1722000,98799000,3255000,30517000,-16471000
78,Accounts Receivable,-8320000,-8860000,3506000,- -,-20000000,-24610000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-578000,74000,1609000,-1457000,5822000,-1445000
81,Other Working Capital,31205000,29483000,128282000,131537000,162054000,7454000
82,Other Non-Cash Items,5696000,-9188000,-80458000,-10997000,-24825000,16149000
83,Cash Provided by Operating Activities,3148000,-4001000,13744000,1058000,22365000,10836000
84,CAPEX,-846000,-2319000,-6841000,-16638000,-14365000,-6137000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-168786000,-107281000,-525343000
87,Sales/Maturities of Investments,- -,- -,- -,84500000,117500000,102500000
88,Other Investing Activites,371000,-281000,-444000,- -,-8045000,-5110000
89,Cash Used for Investing Activites,-475000,-2111000,-7285000,-100924000,-4146000,-428980000
90,Debt Repayment,-12000000,-17000000,-25000000,-55679000,-25621000,-10750000
91,Common Stock Issued,- -,- -,109381000,- -,- -,- -
92,Common Stock Repurchased,- -,-19208000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17232000,36589000,16693000,85081000,80262000,548489000
95,Cash Used/Provided by Financing Activities,5232000,381000,101074000,29402000,54641000,537739000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7905000,-5731000,107533000,-70464000,72860000,119595000
98,Cash at the End of Period,27326000,21595000,129128000,159603000,232463000,352058000
99,Cash at the Beginning of Period,19421000,27326000,21595000,230067000,159603000,232463000
100,Free Cash Flow,2302000,-6320000,6903000,-15580000,8000000,4699000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1627475/000162747519000007/0001627475-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1627475/000162747520000006/0001627475-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1627475/000162747521000015/0001627475-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1627475/000162747522000009/0001627475-22-000009-index.htm
102,false,,,,,,
