,https://roic.ai/company/BHLL,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,126841,1273491,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1296917,2582326,2808177,2679252,734601,1069086,2116219,4006969,1697193,2148392,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",22248,19722,205585,1296917,2582326,2808177,2679252,734601,1069086,2116219,4006969,1697193,2148392,- -
9,Other Expenses,- -,- -,613291,- -,- -,494383,53071,215532,-1264059,966084,5094733,5712238,7951423,167816284000
10,Operating Expenses,22248,19722,818876,1423758,3855817,3302560,2732323,950133,-194973,3082303,9101702,7409431,10099815,167816284000
11,COGS and Expenses,22248,19722,818876,1423758,3855817,3302560,2732323,950133,-194973,3082303,9101702,7409431,10099815,- -
12,Interest Income ,- -,- -,339,882,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,45,40189,1826329,201,46383,95349,152965,77662,12660,990618,561693,102740000
14,Depreciation and Amortization,- -,- -,- -,- -,4214,6946,6946,6946,4680,34,7015,9897,123956,239904
15,EBITDA,-22248,-7922,-818537,-1422876,-3851603,-3295614,-2725377,-943187,199653,-3082269,-9094687,-7399534,-10005859,-18752264096
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,-818876,-1463758,-5681977,-3302560,-2732323,-950133,-2355766,-3082303,-9101702,-7409431,-10099815,-18752504000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-11800,294,693,-169,22956,-26451,-62302,-141999,-51359,3931828,-328394,-20527968,- -
20,Income Before Tax,-22248,-31522,-818582,-1463065,-5682146,-3279604,-2758774,-1012435,-2497765,-3133662,-5169874,-7737825,-30627783,- -
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-22248,-31522,-818582,-1463065,-5682146,-3279604,-2758774,-1012435,-2497765,-3133662,-5169874,-7737825,-30627783,- -
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
25,EPS,-0.04,-0.10,-0.10,-0.20,-0.80,-0.40,-0.30,-1.00,-2.00,-1.80,-2.40,-1.96,-0.46,- -
26,EPS Diluted,-0.04,-0.10,-0.10,-0.20,-0.80,-0.40,-0.30,-1.00,-2.00,-1.80,-2.40,-1.96,-0.46,- -
27,Weighted Average Shares Outstanding,542000,542000,10489269,6973333,7570568,8294575,8416851,1035647,1235449,1698459,2157203,3951072,67180554,67180554
28,Weighted Average Shares Outstanding Diluted,542000,542000,10489269,6973333,7570568,8294575,8416851,1035647,1235449,1698459,2157203,3951072,67180554,67180554
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407583/000105291820000332/0001052918-20-000332-index.htm,https://www.sec.gov/Archives/edgar/data/1407583/000149315222008247/0001493152-22-008247-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,644,547,724488,16723,1694914,34635,330776,152351,9361,593515,502660,28064,61973,486063
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,644,547,724488,16723,1694914,34635,330776,152351,9361,593515,502660,28064,61973,486063
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,5474,229046,42864,78692,112630
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,19791,10294,101865,106255,128730,141649,102875,223189,678878,35172,102714,3023855
37,Total Current Assets,644,547,744279,27017,1796779,140890,459506,294000,112236,822178,1410584,106100,243379,3622548
38,PP&E,11800,- -,25000,97511,159637,2561121,2567366,2560420,1,309017,97253,52051,- -,52353
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68939,- -,396895
45,Total Non-Current Assets,11800,- -,25000,97511,159637,2561121,2567366,2560420,1,309017,97253,120990,- -,449248
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489505,- -
47,Total Assets,12444,547,769279,124528,1956416,2702011,3026872,2854420,112237,1131195,1507837,227090,732884,4071796
48,Accounts Payable,720,6345,5982,60924,96323,867952,1123339,744815,46073,261925,225184,2170398,3431699,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1210000,1025000,1163915,- -,70820,1744327,2538619,1374339
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100,14100,79586,517396,71625,408035,421570,107364,361812,156408,745244,3154839,7103045,21420938
53,Total Current Liabilities,820,20445,85568,578320,167948,1275987,2754909,1877179,1571800,418333,1041248,7069564,13073363,22795277
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682903,116809,- -,15518887
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,682903,116809,- -,15518887
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18876509,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214739,- -
61,Total Liabilities,820,20445,85568,578320,167948,1275987,2754909,1877179,1571800,418333,1724151,7186373,31949872,38314164
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5420,5420,69734,69734,80711,83992,84724,12354,12354,24889,33013,158114,- -,- -
64,Retained Earnings,-23376,-54898,-873480,-2337733,-8026989,-9041066,-11799840,-12812275,-15310040,-18443702,-23613576,-31351401,- -,-72491150
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-4214,-11160,-18106,-25052,- -,- -,- -,-16947,- -,- -
66,Other Total Stockholders Equity,29580,29580,1487457,1814207,9738960,10394258,12005185,13802214,13838123,19131675,23364249,24250951,- -,38248782
67,Total Stockholders Equity,11624,-19898,683711,-453792,1788468,1426024,271963,977241,-1459563,712862,-216314,-6959283,-31216988,-34242368
68,Total Liabilities And Stockholders Equity,12444,547,769279,124528,1956416,2702011,3026872,2854420,112237,1131195,1507837,227090,732884,4071796
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,12444,547,769279,124528,1956416,2702011,3026872,2854420,112237,1131195,1507837,227090,732884,4071796
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407583/000105291820000332/0001052918-20-000332-index.htm,https://www.sec.gov/Archives/edgar/data/1407583/000149315222008247/0001493152-22-008247-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-22248,-31522,-818582,-1463065,-5682146,-3279604,-2758774,-1012435,-2497765,-3133662,-5169874,-7737825,-30627783,-6402277
74,Depreciation and Amortization,- -,- -,- -,- -,4214,6946,6946,6946,4680,34,7015,9897,123956,239904
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,162794,60961,1215401,310382,43403,1047388,1730308
77,Change in Working Capital,971,-19722,678609,-1210014,2180134,-2763928,-1160306,712224,123615,1863409,-34509,-7332800,-5866520,-6342745
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5474,-223572,186182,-35828,-12598
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,5625,-363,54941,35399,771629,255387,-378524,-698742,215852,-56814,1966144,1852650,-128774
81,Other Working Capital,-176,-19898,658711,-551303,1628831,-1135097,-2295403,-1583179,-1459564,403845,369336,-6963464,-12829984,-19172729
82,Other Non-Cash Items,- -,37147,-96986,1887825,342704,4415595,3017091,-1022087,2021604,-1978749,-3792094,12736117,31375745,-597343
83,Cash Provided by Operating Activities,-21277,-14097,-236959,-785254,-3155094,-1620991,-895043,-1152558,-286905,-2033567,-8679080,-2281208,-3947214,-11372153
84,CAPEX,- -,- -,- -,- -,-66340,-348430,-13191,- -,- -,-309050,-95252,-6555,-219528,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1800,- -,-25000,-72511,- -,- -,- -,- -,5000,- -,- -,10000,- -,-94693
89,Cash Used for Investing Activites,-1800,- -,-25000,-72511,-66340,-348430,-13191,- -,5000,-309050,-95252,3445,-219528,-94693
90,Debt Repayment,- -,- -,- -,- -,-150000,- -,- -,- -,- -,-101513,- -,- -,-278784,-129191
91,Common Stock Issued,- -,- -,1000000,- -,5252388,318296,- -,- -,- -,2692199,7183477,1195830,2428530,6013439
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,14000,-14100,150000,-202763,-19864,1204618,984600,138915,336085,1500000,607337,2050905,2500000
95,Cash Used/Provided by Financing Activities,- -,14000,985900,150000,4899625,298432,1204618,984600,138915,2926771,8683477,1803167,4200651,8384248
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-23077,-97,723941,-707765,1678191,-1670989,296384,-167958,-142990,584154,-90855,-474596,33909,424090
98,Cash at the End of Period,644,547,724488,16723,1694914,23925,320309,152351,9361,593515,502660,28064,61973,486063
99,Cash at the Beginning of Period,23721,644,547,724488,16723,1694914,23925,320309,152351,9361,593515,502660,28064,61973
100,Free Cash Flow,-21277,-14097,-236959,-785254,-3221434,-1969421,-908234,-1152558,-286905,-2342617,-8774332,-2287763,-4166742,-11372153
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1407583/000105291820000332/0001052918-20-000332-index.htm,https://www.sec.gov/Archives/edgar/data/1407583/000149315222008247/0001493152-22-008247-index.htm
102,false,,,,,,,,,,,,,,
