,https://roic.ai/company/FLNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,37741000,48967000,55571000,- -,2875000,3006000,14091000,186836000,220268000,250280000,281684000,310719000,329250000
2,COGS,- -,- -,28059000,36454000,45788000,- -,1765000,2791000,10253000,133798000,147407000,161560000,194435000,215135000,243716000
3,Gross Profit,- -,- -,9682000,12513000,9783000,- -,1110000,215000,3838000,53038000,72861000,88720000,87249000,95584000,85534000
4,Gross Profit Ratio,- -,- -,0.2565,0.2555,0.1760,- -,0.3861,0.0715,0.2724,0.2839,0.3308,0.3545,0.3097,0.3076,0.2598
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5279000,8055000,12604000,15789000
6,General and Administrative Exp.,- -,- -,13832000,12203000,10221000,3448000,4397000,2931000,44472000,54094000,76990000,36007000,48065000,46798000,48205000
7,Selling and Marketing Exp.,- -,- -,3934000,4462000,6722000,123000,788000,885000,2925000,16296000,20570000,13663000,11545000,11683000,12681000
8,"Selling, General and Administrative Exp.",- -,- -,17766000,16665000,16943000,3571000,5185000,3816000,47397000,70390000,97560000,49670000,59610000,58481000,60886000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,841000,12631000,14193000,13174000,13940000,15302000,- -
10,Operating Expenses,- -,- -,17766000,16665000,16943000,3571000,5185000,3816000,48238000,83021000,111753000,68123000,81605000,86387000,76675000
11,COGS and Expenses,100877,1281810,45825000,53119000,62731000,3571000,6950000,6607000,58491000,216819000,259160000,229683000,276040000,301522000,333915000
12,Interest Income ,340417,1615947,11000,24000,34000,10000,12000,75000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1962000,45000,89000,149000,- -,- -,468000,7593000,9683000,8134000,6892000,5350000,-2184000
14,Depreciation and Amortization,- -,- -,2414000,2141000,1714000,133000,381000,733000,841000,12631000,14193000,13174000,13940000,15302000,13170000
15,EBITDA,-100877,-1281810,-13954000,-43033000,-11573000,-3438000,-3587000,-2841000,-99809000,-22904000,-29330000,3422000,19159000,23681000,1173000
