,https://roic.ai/company/EIX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5168800000,5275500000,5448700000,6252700000,6524400000,7198500000,7502500000,7984000000,7821000000,8345000000,8405000000,8545000000,9235000000,10208000000,9670000000,11717000000,11436000000,11488000000,12135000000,10199000000,11852000000,12622000000,13113000000,14112000000,12333000000,12409000000,12760000000,11862000000,12581000000,13413000000,11524000000,11869000000,12320000000,12657000000,12347000000,13578000000,14905000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,3459000000,3276000000,3474000000,3928000000,5111000000,3854000000,5963000000,4898000000,3202000000,4124000000,3761000000,4432000000,5166000000,4999000000,5992000000,4268000000,4102000000,4155000000,8043000000,8673000000,8742000000,7256000000,7395000000,7680000000,8203000000,7857000000,8541000000,9185000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,4886000000,5129000000,5071000000,5307000000,5097000000,5816000000,5754000000,6538000000,8286000000,8011000000,6438000000,7420000000,7456000000,8114000000,8120000000,8065000000,8307000000,8605000000,3819000000,3908000000,4671000000,4268000000,4474000000,4640000000,4454000000,4490000000,5037000000,5720000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5855,0.6102,0.5934,0.5747,0.4993,0.6014,0.4911,0.5717,0.7213,0.6602,0.6312,0.6261,0.5907,0.6188,0.5754,0.6539,0.6694,0.6744,0.3220,0.3106,0.3482,0.3704,0.3769,0.3766,0.3519,0.3637,0.3710,0.3838
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201000000,435000000,25000000,- -,- -,- -,- -,- -,6000000,30000000,- -,- -,- -,- -,2669000000,407000000,1664000000,1491000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201000000,435000000,25000000,- -,- -,- -,- -,- -,6000000,30000000,- -,- -,- -,- -,2669000000,407000000,1664000000,1491000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3051000000,2994000000,3256000000,3683000000,3786000000,4836000000,5207000000,4116000000,4417000000,6225000000,5539000000,4762000000,5089000000,5843000000,5601000000,5805000000,6134000000,6513000000,1562000000,1592000000,2042000000,2255000000,2361000000,2409000000,2259000000,2124000000,2272000000,2683000000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3051000000,2994000000,3256000000,3683000000,3786000000,4836000000,5207000000,4116000000,4417000000,6225000000,5338000000,5197000000,5114000000,5843000000,5601000000,5805000000,6134000000,6513000000,1568000000,1622000000,2042000000,2255000000,2361000000,2409000000,4928000000,2531000000,3936000000,4174000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,6510000000,6270000000,6730000000,7611000000,8897000000,8690000000,11170000000,9014000000,7619000000,10349000000,9099000000,9629000000,10280000000,10842000000,11593000000,10073000000,10236000000,10668000000,9611000000,10295000000,10784000000,9511000000,9756000000,10089000000,13131000000,10388000000,12477000000,13359000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000000,- -,- -,127000000,- -,112000000,169000000,- -,- -,60000000,31000000,37000000,10000000,10000000,5000000,4000000,3000000,7000000,24000000,37000000,20000000,3000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1388000000,- -,- -,1226000000,- -,818000000,858000000,- -,- -,732000000,703000000,808000000,521000000,544000000,560000000,555000000,581000000,639000000,734000000,841000000,902000000,925000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1538000000,1640000000,1889000000,1634000000,1622000000,1815000000,2005000000,2098000000,2115000000,1940000000,1803000000,2029000000,2280000000
15,EBITDA,774100000,768600000,720600000,761800000,778200000,786400000,702600000,739000000,639000000,1162000000,1267000000,1280000000,1237000000,1123200000,917000000,-1604000000,2682000000,1468000000,2260000000,824000000,2412000000,2621000000,1590000000,1811000000,3021000000,3953000000,2372000000,2330000000,3423000000,4542000000,4179000000,4290000000,3724000000,1633000000,3771000000,3497000000,3994000000
16,EBITDA ratio,0.1498,0.1457,0.1323,0.1218,0.1193,0.1092,0.0936,0.0926,0.0817,0.1392,0.1507,0.1498,0.1339,0.1100,0.0948,-0.1369,0.2345,0.1278,0.1862,0.0808,0.2035,0.2077,0.1213,0.1283,0.2450,0.3186,0.1859,0.1964,0.2721,0.3386,0.3626,0.3614,0.3023,0.1290,0.3054,0.2575,0.2680
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,1835000000,2135000000,1815000000,1624000000,1311000000,980000000,547000000,2422000000,3869000000,1786000000,1100000000,2223000000,2342000000,2271000000,2519000000,1398000000,2126000000,320000000,2285000000,1715000000,2472000000,2008000000,2092000000,1493000000,-552000000,1775000000,1217000000,1477000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2199,0.2540,0.2124,0.1759,0.1284,0.1013,0.0467,0.2118,0.3368,0.1472,0.1079,0.1876,0.1855,0.1732,0.1785,0.1134,0.1713,0.0251,0.1926,0.1363,0.1843,0.1742,0.1763,0.1212,-0.0436,0.1438,0.0896,0.0991
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-673000000,-868000000,-535000000,-387000000,-187800000,-63000000,-3539000000,1627000000,-2343000000,-794000000,-966000000,-658000000,-677000000,-679000000,-708000000,-544000000,-469000000,-584000000,-424000000,-494000000,-493000000,-440000000,-502000000,-544000000,-537000000,-648000000,-651000000,-688000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1162000000,1267000000,1280000000,1237000000,1123200000,917000000,-2992000000,4049000000,1526000000,992000000,134000000,1565000000,1665000000,1592000000,1811000000,854000000,1657000000,-264000000,1861000000,1221000000,1979000000,1568000000,1590000000,949000000,-1089000000,1127000000,566000000,789000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1392,0.1507,0.1498,0.1339,0.1100,0.0948,-0.2554,0.3541,0.1328,0.0817,0.0131,0.1320,0.1319,0.1214,0.1283,0.0692,0.1335,-0.0207,0.1569,0.0971,0.1475,0.1361,0.1340,0.0770,-0.0860,0.0913,0.0417,0.0529
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,481000000,528000000,563000000,537000000,455000000,294000000,-1049000000,1647000000,391000000,213000000,-92000000,457000000,582000000,492000000,596000000,-98000000,354000000,-288000000,267000000,242000000,443000000,486000000,177000000,281000000,-739000000,-278000000,-305000000,-136000000
23,Net Income,774100000,768600000,720600000,761800000,778200000,786400000,702600000,739000000,639000000,681000000,739000000,717000000,700000000,668200000,623000000,-1943000000,1035000000,1077000000,821000000,916000000,1137000000,1181000000,1098000000,1215000000,849000000,1256000000,-37000000,-92000000,1015000000,1724000000,1133000000,1434000000,689000000,-302000000,1405000000,871000000,925000000
24,Net Income ratio,0.1498,0.1457,0.1323,0.1218,0.1193,0.1092,0.0936,0.0926,0.0817,0.0816,0.0879,0.0839,0.0758,0.0655,0.0644,-0.1658,0.0905,0.0938,0.0677,0.0898,0.0959,0.0936,0.0837,0.0861,0.0688,0.1012,-0.0029,-0.0078,0.0807,0.1285,0.0983,0.1208,0.0559,-0.0239,0.1138,0.0641,0.0621
