,https://roic.ai/company/TENB,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,124371000,187727000,267360000,354586000,440221000,541130000
2,COGS,14219000,25588000,43167000,60818000,77554000,106396000
3,Gross Profit,110152000,162139000,224193000,293768000,362667000,434734000
4,Gross Profit Ratio,0.8857,0.8637,0.8385,0.8285,0.8238,0.8034
5,Research and Development Exp.,40085000,57673000,76698000,87064000,101687000,116432000
6,General and Administrative Exp.,20164000,28927000,46732000,69468000,73136000,89912000
7,Selling and Marketing Exp.,85736000,116299000,173344000,228035000,224277000,270158000
8,"Selling, General and Administrative Exp.",105900000,145226000,220076000,297503000,297413000,360070000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,145985000,202899000,296774000,384567000,399100000,476502000
11,COGS and Expenses,160204000,228487000,339941000,445385000,476654000,582898000
12,Interest Income ,- -,- -,- -,- -,1244000,- -
13,Interest Expense (Gain),- -,- -,- -,5830000,1244000,-6896000
14,Depreciation and Amortization,3060000,4692000,6192000,6880000,10633000,16170000
15,EBITDA,-33305000,-36159000,-64965000,-72939000,-25197000,-41355000
16,EBITDA ratio,-0.2678,-0.1926,-0.2430,-0.2057,-0.0572,-0.0764
17,Operating Income,-35833000,-40760000,-72581000,-90799000,-36433000,-41768000
18,Operating Income ratio,-0.2881,-0.2171,-0.2715,-0.2561,-0.0828,-0.0772
19,Total Other Income Expenses (Gains),-532000,-91000,1424000,5150000,-641000,-8861000
20,Income Before Tax,-36365000,-40851000,-71157000,-85649000,-37074000,-50629000
21,Income Before Tax Ratio,-0.2924,-0.2176,-0.2661,-0.2415,-0.0842,-0.0936
22,Income Tax expense (Gain),843000,171000,2364000,13364000,5657000,-3952000
23,Net Income,-37208000,-41022000,-73521000,-99013000,-42731000,-46677000
24,Net Income ratio,-0.2992,-0.2185,-0.2750,-0.2792,-0.0971,-0.0863
25,EPS,-0.48,-0.53,-1.38,-1.03,-0.42,-0.46
26,EPS Diluted,-0.48,-0.53,-1.38,-1.03,-0.42,-0.46
27,Weighted Average Shares Outstanding,78881000,77597000,53669000,96014000,101009000,101009000
28,Weighted Average Shares Outstanding Diluted,78881000,77597000,53669000,96014000,101009000,101009000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1660280/000166028019000012/0001660280-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1660280/000166028020000012/0001660280-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1660280/000166028021000027/0001660280-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1660280/000166028022000035/0001660280-22-000035-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,34470000,27210000,165116000,74363000,178223000,278000000
32,Short-Term Investments,- -,- -,118119000,137904000,113623000,234292000
33,Cash and Short-Term Investments,34470000,27210000,283235000,212267000,291846000,512292000
34,Net Receivables,36072000,50881000,68261000,94827000,115342000,136601000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,17169000,33164000,45292000,55868000,76605000,100545000
37,Total Current Assets,87711000,111255000,396788000,362962000,483793000,749438000
38,PP&E,9861000,13006000,19852000,69694000,78346000,75363000
39,Goodwill,265000,265000,- -,54138000,54414000,261614000
40,Intangible Assets,1634000,1031000,- -,15508000,13193000,71536000
41,Intangible Assets,1899000,1296000,- -,69646000,67607000,333150000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,6023000,38780000,43972000,56310000,60843000,90868000
45,Total Non-Current Assets,17783000,53082000,63824000,195650000,206796000,499381000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,105494000,164337000,460612000,558612000,690589000,1248819000
48,Accounts Payable,651000,338000,171000,1732000,5731000,- -
49,Short-Term Debt,- -,- -,4262000,5209000,3815000,2320000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,88011000,154898000,213644000,274348000,328819000,407498000
52,Other Current Liabilities,17587000,25110000,36227000,46354000,36537000,74064000
53,Total Current Liabilities,106249000,180346000,254304000,327643000,374902000,483882000
54,Long-Term Debt,- -,- -,- -,40663000,54529000,419774000
55,Deferred Revenue,19436000,70920000,76259000,88779000,105691000,123387000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,281727000,284736000,8286000,2622000,4802000,6463000
58,Total Non-Current Liabilities,301163000,355656000,84545000,132064000,165022000,549624000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,10317000,45872000,58344000,57366000
61,Total Liabilities,407412000,536002000,338849000,459707000,539924000,1033506000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,212000,246000,931000,986000,1037000,1089000
64,Retained Earnings,-313147000,-392587000,-466108000,-565121000,-607852000,-654529000
65,Other Comprehensive Income/Loss,-7009000,-8728000,-13186000,50000,10000,-306000
66,Other Total Stockholders Equity,18026000,29404000,600126000,662990000,757470000,- -
67,Total Stockholders Equity,-301918000,-371665000,121763000,98905000,150665000,215313000
68,Total Liabilities And Stockholders Equity,105494000,164337000,460612000,558612000,690589000,1248819000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,105494000,164337000,460612000,558612000,690589000,1248819000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1660280/000166028019000012/0001660280-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1660280/000166028020000012/0001660280-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1660280/000166028021000027/0001660280-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1660280/000166028022000035/0001660280-22-000035-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-37208000,-41022000,-73521000,-99013000,-42731000,-46677000
74,Depreciation and Amortization,3060000,4692000,6192000,6880000,10633000,16170000
75,Deferred Income Tax,- -,-873000,- -,4243000,161000,-10468000
76,Stock Based Compensation,2532000,7760000,22875000,41610000,59573000,79405000
77,Change in Working Capital,27878000,-50553000,211575000,36320000,35525000,54420000
78,Accounts Receivable,-13560000,-14769000,-17408000,-25941000,-20012000,-17228000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,24330000
81,Other Working Capital,-18538000,-69091000,142484000,62901000,71383000,92486000
82,Other Non-Cash Items,953000,73730000,-169680000,-784000,1071000,3915000
83,Cash Provided by Operating Activities,-2785000,-6266000,-2559000,-10744000,64232000,96765000
84,CAPEX,-5776000,-2755000,-5733000,-20674000,-20277000,-6561000
85,Acquisitions Net,-2075000,- -,- -,-74911000,-276000,-258465000
86,Purchases of Investments,- -,- -,-117488000,-242059000,-184516000,-287438000
87,Sales/Maturities of Investments,- -,- -,- -,224594000,209148000,160874000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-7851000,-2755000,-123221000,-113050000,4079000,-391590000
