,https://roic.ai/company/CTA-PB,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,14041000000,14240000000,14287000000,13846000000,14217000000,15655000000
2,COGS,8391000000,8402000000,8521000000,8575000000,8507000000,9220000000
3,Gross Profit,5650000000,5838000000,5766000000,5271000000,5710000000,6435000000
4,Gross Profit Ratio,0.4024,0.4100,0.4036,0.3807,0.4016,0.4111
5,Research and Development Exp.,1507000000,1509000000,1432000000,1147000000,1142000000,1187000000
6,General and Administrative Exp.,2937000000,2972000000,2902000000,3065000000,3043000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2937000000,2972000000,2902000000,3065000000,3043000000,3209000000
9,Other Expenses,320000000,1169000000,142000000,475000000,682000000,722000000
10,Operating Expenses,4764000000,5650000000,4476000000,4687000000,4867000000,5118000000
11,COGS and Expenses,13155000000,14052000000,12997000000,13262000000,13374000000,14338000000
12,Interest Income ,- -,- -,- -,59000000,56000000,- -
13,Interest Expense (Gain),101000000,74000000,76000000,136000000,45000000,30000000
14,Depreciation and Amortization,247000000,270000000,2790000000,1599000000,1177000000,1243000000
15,EBITDA,581000000,-65000000,-1717000000,730000000,1822000000,3556000000
16,EBITDA ratio,0.0414,-0.0046,-0.1202,0.0527,0.1282,0.2271
17,Operating Income,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-628000000,-562000000,-5844000000,-900000000,-168000000,1029000000
20,Income Before Tax,258000000,-374000000,-4554000000,-316000000,675000000,2346000000
21,Income Before Tax Ratio,0.0184,-0.0263,-0.3188,-0.0228,0.0475,0.1499
22,Income Tax expense (Gain),-270000000,-2943000000,408000000,-46000000,-81000000,524000000
23,Net Income,503000000,2534000000,-4991000000,-959000000,681000000,1759000000
24,Net Income ratio,0.0358,0.1779,-0.3493,-0.0693,0.0479,0.1124
25,EPS,0.58,2.92,-5.75,-1.11,0.78,2.03
26,EPS Diluted,0.58,2.92,-5.75,-1.11,0.78,2.03
27,Weighted Average Shares Outstanding,867806018,867806018,867806018,867806018,867806018,867806018
28,Weighted Average Shares Outstanding Diluted,867806018,867806018,867806018,867806018,867806018,867806018
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30554/000175567220000006/0001755672-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000175567221000008/0001755672-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000175567222000005/0001755672-22-000005-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,- -,2128000000,1764000000,3526000000,4459000000
32,Short-Term Investments,- -,- -,5000000,5000000,269000000,86000000
33,Cash and Short-Term Investments,- -,- -,2133000000,1769000000,3795000000,4545000000
34,Net Receivables,- -,- -,5409000000,5528000000,4926000000,4811000000
35,Inventory,- -,- -,5250000000,5032000000,4882000000,5180000000
36,Other Current Assets,- -,- -,1044000000,1190000000,1165000000,1010000000
37,Total Current Assets,- -,- -,13836000000,13519000000,14768000000,15546000000
38,PP&E,- -,- -,4533000000,4546000000,4396000000,4329000000
39,Goodwill,- -,- -,10193000000,10229000000,10269000000,10107000000
40,Intangible Assets,- -,- -,12055000000,11424000000,10747000000,10044000000
41,Intangible Assets,- -,- -,22248000000,21653000000,21016000000,20151000000
42,Investments,- -,- -,138000000,66000000,66000000,76000000
43,Tax Assets,- -,- -,295000000,287000000,464000000,438000000
44,Other Non-Current Assets,- -,- -,1830000000,2326000000,1939000000,1804000000
45,Total Non-Current Assets,- -,- -,29044000000,28878000000,27881000000,26798000000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,42880000000,42397000000,42649000000,42344000000
48,Accounts Payable,- -,- -,3783000000,2577000000,3615000000,4126000000
49,Short-Term Debt,- -,- -,1889000000,7000000,3000000,17000000
50,Tax Payable,- -,- -,149000000,95000000,123000000,146000000
51,Deferred Revenue,- -,- -,- -,2584000000,- -,3201000000
52,Other Current Liabilities,- -,- -,4322000000,3070000000,4930000000,2214000000
53,Total Current Liabilities,- -,- -,9994000000,8238000000,8548000000,9558000000
54,Long-Term Debt,- -,- -,179000000,110000000,1102000000,1100000000
55,Deferred Revenue,- -,- -,- -,- -,- -,1220000000
56,Deferred Tax Liabilities,- -,- -,1501000000,920000000,893000000,1220000000
57,Other Non-Current Liabilities,- -,- -,7382000000,8574000000,7043000000,3623000000
58,Total Non-Current Liabilities,- -,- -,9062000000,9604000000,9038000000,7163000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,9000000,1000000,- -
61,Total Liabilities,- -,- -,19056000000,17842000000,17586000000,16721000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,7000000,7000000,7000000,7000000
64,Retained Earnings,- -,- -,-1000000,-425000000,- -,524000000
65,Other Comprehensive Income/Loss,- -,- -,-2412000000,-3270000000,-2890000000,-2898000000
66,Other Total Stockholders Equity,- -,- -,25965000000,27997000000,27707000000,27990000000
67,Total Stockholders Equity,- -,- -,23559000000,24309000000,24824000000,25384000000
68,Total Liabilities And Stockholders Equity,- -,- -,42615000000,42151000000,42410000000,42105000000
69,Minority Interest,- -,- -,265000000,246000000,239000000,239000000
70,Total Liabilities & Equity,- -,- -,42880000000,42397000000,42649000000,42344000000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/30554/000175567220000006/0001755672-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000175567221000008/0001755672-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/30554/000175567222000005/0001755672-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,- -,-4991000000,-959000000,681000000,1759000000
74,Depreciation and Amortization,- -,- -,2790000000,1599000000,1177000000,1243000000
75,Deferred Income Tax,- -,- -,31000000,-477000000,-330000000,174000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-2942000000,1439000000,939000000,-232000000
78,Accounts Receivable,- -,- -,- -,- -,187000000,-113000000
79,Inventory,- -,- -,-498000000,74000000,104000000,-422000000
80,Accounts Payable,- -,- -,642000000,149000000,-118000000,524000000
81,Other Working Capital,- -,- -,3842000000,5281000000,6220000000,5988000000
82,Other Non-Cash Items,- -,- -,5595000000,-532000000,-403000000,-217000000
83,Cash Provided by Operating Activities,- -,- -,483000000,1070000000,2064000000,2727000000
84,CAPEX,- -,- -,-1501000000,-1163000000,-475000000,-573000000
