,https://roic.ai/company/PSN,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,3097615000,3218616000,3039191000,3017011000,3560508000,3954812000,3918946000,3660771000
2,COGS,2441935000,2535504000,2431193000,2400140000,2795005000,3123062000,3042087000,2807950000
3,Gross Profit,655680000,683112000,607998000,616871000,765503000,831750000,876859000,852821000
4,Gross Profit Ratio,0.2117,0.2122,0.2001,0.2045,0.2150,0.2103,0.2237,0.2330
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,501996000,542066000,510513000,505955000,597410000,781408000,729103000,757237000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",501996000,542066000,510513000,505955000,597410000,781408000,729103000,757237000
9,Other Expenses,-8682000,-5416000,71500000,-29760000,- -,- -,- -,- -
10,Operating Expenses,493314000,536650000,582013000,476195000,597410000,781408000,729103000,757237000
11,COGS and Expenses,2935249000,3072154000,3013206000,2876335000,3392415000,3904470000,3771190000,3565187000
12,Interest Income ,- -,- -,1190000,2465000,2710000,1300000,787000,396000
13,Interest Expense (Gain),-9269000,-15645000,-15319000,-13333000,20842000,23729000,20956000,17697000
14,Depreciation and Amortization,- -,- -,42156000,35198000,69869000,125700000,127980000,144209000
15,EBITDA,97854000,86401000,27682000,140655000,333415000,200077000,289969000,249614000
16,EBITDA ratio,0.0316,0.0268,0.0091,0.0466,0.0936,0.0506,0.0740,0.0682
17,Operating Income,162366000,146462000,35407000,150702000,205008000,92063000,177815000,132446000
18,Operating Income ratio,0.0524,0.0455,0.0117,0.0500,0.0576,0.0233,0.0454,0.0362
19,Total Other Income Expenses (Gains),-17950000,-18318000,-23401000,-17701000,54795000,-24821000,-16402000,-19858000
20,Income Before Tax,144416000,128144000,12006000,133001000,259803000,67242000,161413000,112588000
21,Income Before Tax Ratio,0.0466,0.0398,0.0040,0.0441,0.0730,0.0170,0.0412,0.0308
22,Income Tax expense (Gain),10833000,13790000,13992000,21464000,74755000,-69886000,42492000,23636000
23,Net Income,96290000,88256000,-13147000,97326000,167949000,120534000,98541000,64072000
24,Net Income ratio,0.0311,0.0274,-0.0043,0.0323,0.0472,0.0305,0.0251,0.0175
25,EPS,1.00,0.91,-0.16,1.22,2.10,1.30,0.98,0.63
26,EPS Diluted,1.00,0.91,-0.16,1.22,2.10,1.30,0.97,0.63
27,Weighted Average Shares Outstanding,96657330,96657330,80014000,80014000,80014000,92419000,100848000,102360997
28,Weighted Average Shares Outstanding Diluted,96657330,96657330,80014000,80014000,80014000,92753000,101205000,102360997
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/275880/000156459020009791/0001564590-20-009791-index.html,https://www.sec.gov/Archives/edgar/data/275880/000156459021007800/0001564590-21-007800-index.htm,https://www.sec.gov/Archives/edgar/data/275880/000156459022006026/0001564590-22-006026-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,445164000,228101000,182688000,483609000,342608000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,445164000,228101000,182688000,483609000,342608000
34,Net Receivables,- -,- -,- -,1063638000,1138605000,1246581000,1275146000,1177527000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,53162000,69981000,97140000,84375000,112216000
37,Total Current Assets,- -,- -,- -,1561964000,1436687000,1526409000,1843130000,1632351000
38,PP&E,- -,- -,- -,87578000,91849000,356166000,331425000,286868000
39,Goodwill,- -,- -,- -,496786000,736938000,1047425000,1261978000,1412690000
40,Intangible Assets,- -,- -,- -,17699000,179519000,259858000,245958000,207821000
41,Intangible Assets,- -,- -,- -,514485000,916457000,1307283000,1507936000,1620511000
42,Investments,- -,- -,- -,71578000,63560000,68620000,68975000,110688000
43,Tax Assets,- -,- -,- -,8540000,76728000,130401000,130200000,134393000
44,Other Non-Current Assets,- -,- -,- -,28573000,46225000,61489000,56038000,46129000
45,Total Non-Current Assets,- -,- -,- -,710754000,1194819000,1923959000,2094574000,2198589000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2272718000,2631506000,3450368000,3937704000,3830940000
48,Accounts Payable,- -,- -,- -,207080000,226345000,216613000,225679000,196286000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,104133000,55902000
