,https://roic.ai/company/CRCT,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,339788000,486554000,959030000,1306227000
2,COGS,228692000,344204000,626656000,848777000
3,Gross Profit,111096000,142350000,332374000,457450000
4,Gross Profit Ratio,0.3270,0.2926,0.3466,0.3502
5,Research and Development Exp.,24056000,26674000,38930000,79814000
6,General and Administrative Exp.,18363000,22005000,29602000,51268000
7,Selling and Marketing Exp.,30698000,40110000,63329000,133963000
8,"Selling, General and Administrative Exp.",49061000,62115000,92931000,185231000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,73117000,88789000,131861000,265045000
11,COGS and Expenses,301809000,432993000,758517000,1113822000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-3291000,-1155000,- -
14,Depreciation and Amortization,8055000,9178000,14116000,19388000
15,EBITDA,44208000,56155000,212154000,211761000
16,EBITDA ratio,0.1301,0.1154,0.2212,0.1621
17,Operating Income,37979000,53561000,200513000,192405000
18,Operating Income ratio,0.1118,0.1101,0.2091,0.1473
19,Total Other Income Expenses (Gains),-1826000,-3293000,-1320000,-32000
20,Income Before Tax,36153000,50268000,199193000,192373000
21,Income Before Tax Ratio,0.1064,0.1033,0.2077,0.1473
22,Income Tax expense (Gain),8721000,11057000,44615000,51900000
23,Net Income,27432000,39211000,154578000,140473000
24,Net Income ratio,0.0807,0.0806,0.1612,0.1075
25,EPS,0.22,0.18,0.70,0.67
26,EPS Diluted,0.22,0.18,0.70,0.64
27,Weighted Average Shares Outstanding,221366104,221366104,221366104,208833827
28,Weighted Average Shares Outstanding Diluted,221366104,221366104,221366104,219776069
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828962/000182896222000018/0001828962-22-000018-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,6016000,6653000,122215000,241597000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,6016000,6653000,122215000,241597000
34,Net Receivables,61255000,65435000,162931000,199508000
35,Inventory,145149000,213190000,248745000,454174000
36,Other Current Assets,6458000,1909000,4916000,32820000
37,Total Current Assets,218878000,287187000,538807000,928099000
38,PP&E,16026000,25311000,33441000,70914000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,4547000,3040000,2280000,1520000
41,Intangible Assets,4547000,3040000,2280000,1520000
42,Investments,- -,- -,- -,- -
43,Tax Assets,1645000,1418000,3119000,3255000
44,Other Non-Current Assets,522000,689000,3753000,2462000
45,Total Non-Current Assets,22740000,30458000,42593000,78151000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,241618000,317645000,581400000,1006250000
48,Accounts Payable,82273000,95829000,251658000,204714000
49,Short-Term Debt,33135000,37572000,- -,3755000
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,9425000,13114000,23518000,30547000
52,Other Current Liabilities,21258000,29068000,71324000,69351000
53,Total Current Liabilities,146091000,175583000,346500000,308367000
54,Long-Term Debt,11667000,17843000,- -,15780000
55,Deferred Revenue,1069000,1452000,2758000,4858000
56,Deferred Tax Liabilities,2246000,762000,- -,- -
57,Other Non-Current Liabilities,779000,863000,3217000,3269000
58,Total Non-Current Liabilities,15761000,20920000,5975000,23907000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,19535000
61,Total Liabilities,161852000,196503000,352475000,332274000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,3000,3000,208000,222000
64,Retained Earnings,-377822000,-338611000,-184033000,-43560000
65,Other Comprehensive Income/Loss,- -,-28000,9000,-55000
66,Other Total Stockholders Equity,457585000,459778000,412741000,717369000
67,Total Stockholders Equity,79766000,121142000,228925000,673976000
68,Total Liabilities And Stockholders Equity,241618000,317645000,581400000,1006250000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,241618000,317645000,581400000,1006250000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1828962/000182896222000018/0001828962-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,27432000,39211000,154578000,140473000
74,Depreciation and Amortization,8055000,9178000,14116000,19388000
75,Deferred Income Tax,2708000,-1257000,-2463000,-135000
76,Stock Based Compensation,10378000,1845000,9484000,38074000
77,Change in Working Capital,-59746000,-51771000,69420000,-313099000
78,Accounts Receivable,-15023000,-4876000,-97625000,-37673000
79,Inventory,-85148000,-73233000,-37979000,-207978000
