,https://roic.ai/company/STOR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,40610000,108904000,190441000,284762000,376343000,452847000,540756000,665714000,694268000,782664000
2,COGS,7000,127000,473000,1515000,4067000,4773000,4250000,10793000,- -,18244000
3,Gross Profit,40603000,108777000,189968000,283247000,372276000,448074000,536506000,654921000,694268000,764420000
4,Gross Profit Ratio,0.9998,0.9988,0.9975,0.9947,0.9892,0.9895,0.9921,0.9838,1.0000,0.9767
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10362000,14132000,19494000,27972000,33972000,40990000,45725000,54274000,49685000,84097000
7,Selling and Marketing Exp.,- -,- -,- -,- -,800000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10362000,14132000,19494000,27972000,34772000,40990000,45725000,54274000,49685000,84097000
9,Other Expenses,11015000,30349000,57025000,88615000,119618000,150279000,181826000,221975000,- -,265813000
10,Operating Expenses,21377000,44481000,76519000,116587000,154390000,191269000,227551000,276249000,49685000,349910000
11,COGS and Expenses,21384000,44608000,76992000,118102000,158457000,196042000,231801000,287042000,49685000,368154000
12,Interest Income ,1843000,5044000,8069000,13861000,19677000,22565000,25741000,33826000,- -,- -
13,Interest Expense (Gain),11472000,34985000,67959000,75275000,97913000,110500000,120326000,147957000,- -,160854000
14,Depreciation and Amortization,11163000,30924000,57025000,88615000,119618000,150279000,181826000,221975000,242925000,265813000
15,EBITDA,30881000,92377000,173303000,247934000,341214000,423270000,519764000,655614000,456123000,695828000
16,EBITDA ratio,0.7604,0.8482,0.9100,0.8707,0.9067,0.9347,0.9612,0.9848,0.6570,0.8891
17,Operating Income,19226000,64296000,113449000,166660000,217886000,256805000,308955000,378672000,213198000,269161000
18,Operating Income ratio,0.4734,0.5904,0.5957,0.5853,0.5790,0.5671,0.5713,0.5688,0.3071,0.3439
19,Total Other Income Expenses (Gains),-11859000,-41823000,-70763000,-83938000,-107423000,-133918000,-91343000,-92990000,- -,- -
20,Income Before Tax,7367000,22473000,42686000,82722000,110463000,122887000,217612000,285682000,213198000,269161000
21,Income Before Tax Ratio,0.1814,0.2064,0.2241,0.2905,0.2935,0.2714,0.4024,0.4291,0.3071,0.3439
22,Income Tax expense (Gain),70000,155000,180000,274000,358000,453000,642000,707000,584000,813000
23,Net Income,8176000,26313000,48139000,83770000,123325000,162038000,216970000,284975000,212614000,268348000
24,Net Income ratio,0.2013,0.2416,0.2528,0.2942,0.3277,0.3578,0.4012,0.4281,0.3062,0.3429
25,EPS,0.07,0.23,0.61,0.68,0.82,0.90,1.06,1.24,0.84,0.99
26,EPS Diluted,0.07,0.23,0.61,0.68,0.82,0.90,1.06,1.24,0.84,0.99
27,Weighted Average Shares Outstanding,110917633,110917633,78454599,122180650,148878504,178586266,204322298,229734497,252534580,271273253
28,Weighted Average Shares Outstanding Diluted,110917633,110917633,78454599,122207505,149124010,178656676,204933292,230289541,252651040,271273253
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1538990/000155837016003522/0001558370-16-003522-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837017001015/0001558370-17-001015-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837018001020/0001558370-18-001020-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837019000904/0001558370-19-000904-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837020001148/0001558370-20-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837021002003/0001558370-21-002003-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837022002011/0001558370-22-002011-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,64752000,61814000,136313000,67115000,54200000,42937000,27511000,99753000,1000,64269000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,64752000,61814000,136313000,67115000,54200000,42937000,27511000,99753000,1000,64269000
34,Net Receivables,41450000,66917000,111354000,213342000,269210000,271453000,351202000,582267000,650321000,697269000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3790000,33579000,32923000,- -,- -,16741000,- -,- -,-650321000,25154000
37,Total Current Assets,109992000,162310000,280590000,280457000,323410000,331131000,378713000,682020000,1000,786692000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,24254000,- -,33318000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,44418000,61634000,29686000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,44418000,61634000,29686000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,869841000,1623790000,2633022000,3630931000,4618258000,5568646000,6735258000,7545834000,- -,8923386000
45,Total Non-Current Assets,869841000,1623790000,2633022000,3630931000,4618258000,5568646000,6735258000,7614506000,61634000,8986390000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,979833000,1786100000,2913612000,3911388000,4941668000,5899777000,7113971000,8296526000,61635000,9773082000
48,Accounts Payable,- -,- -,- -,- -,60533000,- -,- -,- -,- -,- -
49,Short-Term Debt,160662000,- -,- -,- -,48000000,290000000,135000000,- -,- -,130000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,131198000,- -
52,Other Current Liabilities,13002000,13263000,43609000,74228000,46209000,131934000,190158000,190752000,1509612000,252795000
53,Total Current Liabilities,173664000,13263000,43609000,74228000,154742000,421934000,325158000,190752000,1640810000,382795000
54,Long-Term Debt,306581000,991577000,1284151000,1769947000,2303671000,2306901000,2925312000,3591042000,2915656000,4246158000
55,Deferred Revenue,1813000,7218000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,861000,128000,3168000,7420000,- -,- -,- -,29347000,- -,- -
58,Total Non-Current Liabilities,309255000,998923000,1287319000,1777367000,2303671000,2306901000,2925312000,3620389000,2915656000,4246158000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,29347000,39317000,37637000
61,Total Liabilities,482919000,1012186000,1330928000,1851595000,2458413000,2728835000,3250470000,3811141000,3988562000,4628953000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,423000,630000,1152000,1409000,1593000,1938000,2211000,2398000,2661000,2738000
64,Retained Earnings,-6110000,-24816000,-54405000,-103453000,-151592000,-214845000,-267651000,-302609000,-459977000,-602137000
65,Other Comprehensive Income/Loss,-861000,-128000,-266000,-293000,1409000,2759000,-141000,-2336000,-2795000,-2164000
66,Other Total Stockholders Equity,503462000,798228000,1636203000,2162130000,2631845000,3381090000,4129082000,4787932000,5475889000,- -
67,Total Stockholders Equity,496914000,773914000,1582684000,2059793000,2483255000,3170942000,3863501000,4485385000,5015778000,5144129000
68,Total Liabilities And Stockholders Equity,979833000,1786100000,2913612000,3911388000,4941668000,5899777000,7113971000,8296526000,9004340000,9773082000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-8942705000,- -
70,Total Liabilities & Equity,979833000,1786100000,2913612000,3911388000,4941668000,5899777000,7113971000,8296526000,61635000,9773082000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1538990/000155837016003522/0001558370-16-003522-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837017001015/0001558370-17-001015-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837018001020/0001558370-18-001020-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837019000904/0001558370-19-000904-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837020001148/0001558370-20-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837021002003/0001558370-21-002003-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837022002011/0001558370-22-002011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,8176000,26313000,48139000,83770000,123325000,162038000,216970000,284975000,212614000,268348000
74,Depreciation and Amortization,11163000,30924000,57025000,88615000,119618000,150279000,181826000,221975000,242925000,265813000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,356000,1228000,2294000,4735000,7022000,7931000,8608000,11703000,4665000,32228000
77,Change in Working Capital,956000,212719000,87934000,-30752000,-37561000,-259471000,144358000,437713000,-2132077000,42276000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-153545000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-63672000,149047000,236981000,206229000,168668000,-90803000,53555000,491268000,-1640809000,- -
82,Other Non-Cash Items,1764000,-216250000,-87286000,39529000,33900000,248648000,-160084000,-498032000,2103459000,-25292000
83,Cash Provided by Operating Activities,22415000,54934000,108106000,185897000,246304000,309425000,391678000,458334000,431586000,583373000
84,CAPEX,- -,- -,- -,-1075970000,-1091756000,-1095412000,-1284155000,-1012638000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-672154000,-786515000,-1059814000,-101844000,-38617000,-5459000,-82883000,-237175000,-106857000,-1129819000
89,Cash Used for Investing Activites,-672154000,-786515000,-1059814000,-1177814000,-1130373000,-1100871000,-1367038000,-1249813000,-811857000,-1129819000
90,Debt Repayment,-200136000,-529917000,-610701000,-690147000,-580115000,-637998000,-1426770000,-1185352000,-127659000,-936078000
91,Common Stock Issued,280226000,293751000,875476000,542142000,478704000,754357000,753918000,659943000,695944000,247780000
92,Common Stock Repurchased,- -,- -,-125000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-5685000,-51597000,-64562000,-107912000,-162618000,-209918000,-255572000,-307157000,-353204000,-398005000
94,Other Financing Activites,608883000,1016406000,826119000,1178636000,1137826000,861017000,1897623000,1692409000,230385000,1526222000
95,Cash Used/Provided by Financing Activities,683288000,728643000,1026207000,922719000,873797000,767458000,969199000,859843000,445466000,439919000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,33549000,-2938000,74499000,-69198000,-10272000,-23988000,-6161000,68364000,65195000,-106527000
98,Cash at the End of Period,64752000,61814000,136313000,67115000,73166000,49178000,43017000,111381000,176576000,70049000
99,Cash at the Beginning of Period,31203000,64752000,61814000,136313000,83438000,73166000,49178000,43017000,111381000,176576000
100,Free Cash Flow,22415000,54934000,108106000,185897000,246304000,309425000,391678000,458334000,431586000,583373000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1538990/000155837016003522/0001558370-16-003522-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837017001015/0001558370-17-001015-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837018001020/0001558370-18-001020-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837019000904/0001558370-19-000904-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837020001148/0001558370-20-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837021002003/0001558370-21-002003-index.htm,https://www.sec.gov/Archives/edgar/data/1538990/000155837022002011/0001558370-22-002011-index.htm
102,false,,,,,,,,,,
