,https://roic.ai/company/JFIL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,20000,100000,- -,- -,- -,- -,- -,- -,5100,53140,37000,- -
2,COGS,- -,40000,- -,- -,- -,- -,- -,- -,1470,32090,12790,- -
3,Gross Profit,- -,60000,- -,- -,- -,- -,- -,- -,3630,21050,24210,- -
4,Gross Profit Ratio,- -,0.6000,- -,- -,- -,- -,- -,- -,0.7118,0.3961,0.6543,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,20000,46320,168728,- -,- -,- -,- -,- -,- -,300407,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20000,46320,168728,- -,- -,- -,- -,- -,- -,300407,- -,- -
9,Other Expenses,- -,- -,703,93939,336249,214460,377055,729153,590201,36743,100351,84186
10,Operating Expenses,20000,46320,169431,93939,336249,214460,377055,729153,590201,337150,100351,84186
11,COGS and Expenses,20000,80000,- -,90000,244460,458920,377060,730000,591670,369240,113150,84186
12,Interest Income ,- -,- -,- -,- -,- -,12,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,50813,49447,4558,- -,- -,- -
14,Depreciation and Amortization,- -,- -,703,- -,- -,- -,- -,8332,8333,3473,- -,- -
15,EBITDA,- -,30000,-130000,-210000,-244440,- -,-1290810,-830000,-581359,-312627,-76150,-84186
16,EBITDA ratio,- -,0.3000,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-113.9920,-5.8831,-2.0581,-Infinity
17,Operating Income,- -,21886,-129656,-93939,-336249,-244460,-377055,-729153,-586571,-316099,-76148,-84186
18,Operating Income ratio,- -,0.2189,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-115.0139,-5.9484,-2.0581,-Infinity
19,Total Other Income Expenses (Gains),10000,-1886,- -,3939,91799,- -,-456875,-50847,-7679,-1,-2,- -
20,Income Before Tax,- -,20000,- -,-90000,-244450,- -,-833930,-780000,-594250,-316100,-76150,-84186
21,Income Before Tax Ratio,- -,0.2000,- -,-Infinity,-Infinity,- -,-Infinity,-Infinity,-116.5196,-5.9484,-2.0581,-Infinity
22,Income Tax expense (Gain),- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,20000,-130000,-210000,-244450,- -,-833930,-780000,-594250,-316100,-76150,-84186
24,Net Income ratio,- -,0.2000,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-116.5196,-5.9484,-2.0581,-Infinity
25,EPS,0.01,0.08,-0.03,-0.04,-0.04,-0.03,-0.10,-0.07,-0.03,-0.02,-0.00,-0.00
26,EPS Diluted,0.01,0.08,-0.03,-0.04,-0.04,-0.03,-0.10,-0.07,-0.03,-0.02,-0.00,-0.00
27,Weighted Average Shares Outstanding,210000,212219,4141896,5365833,7538356,8500000,8588552,11870541,18271429,18455708,18736391,19049578
28,Weighted Average Shares Outstanding Diluted,210000,212219,4141896,5365833,7538356,8500000,8588552,11870541,18271429,18455708,18736391,19049578
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517389/000151738912000005/0001517389-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793213002783/0001477932-13-002783-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793214003257/0001477932-14-003257-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793215003721/0001477932-15-003721-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793216011114/0001477932-16-011114-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793217002170/0001477932-17-002170-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793218002584/0001477932-18-002584-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793219002948/0001477932-19-002948-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793220002534/0001477932-20-002534-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793221002933/0001477932-21-002933-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,80000,50000,10000,- -,5000,5000,3650,8040,12120,10630,2441
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,80000,50000,10000,- -,5000,5000,3650,8040,12120,10630,2441
34,Net Receivables,20000,10000,10000,- -,- -,- -,- -,- -,590,280,9400,9384
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,5930,7290,- -,- -
36,Other Current Assets,- -,10000,- -,- -,- -,- -,5620,7190,7500,9000,9000,9000
37,Total Current Assets,20000,100000,60000,10000,- -,5000,10620,10840,22060,28690,29030,20825
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,20140,11810,3470,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,20140,11810,3470,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,30000,30000,2000,2000,10,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,30000,- -,22140,13810,3480,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,100000,60000,10000,30000,5000,32760,24650,25540,28690,29030,20825
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8698,5500
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,283729,390828,443606,489945,551124
50,Tax Payable,- -,6201,1524,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,20000,20000,60000,20000,290000,504530,752220,719821,472972,579694,583147,583143
53,Total Current Liabilities,20000,20000,60000,20000,290000,504530,752220,1003550,863800,1023300,1081790,1139767
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,6320,3160,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,83040,9160,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,89360,12320,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20000,20000,60000,20000,290000,504530,841580,1015870,863800,1023300,1081790,1139767
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10000,10000,8500,8680,16560,18410,18550,19050,19548
64,Retained Earnings,- -,20000,-120000,-330000,-660000,-906520,-1740450,-2521540,-3115790,-3431890,-3508040,-3592223
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,64118,121272,301167,394918,398490,922951,1513754,2259121,2418732,2436234,2453733
67,Total Stockholders Equity,- -,84118,1272,-18833,-255082,-499530,-808819,-991226,-838259,-994608,-1052756,-1118942
68,Total Liabilities And Stockholders Equity,20000,104118,61272,1167,34918,5000,32761,24644,25541,28692,29034,20825
69,Minority Interest,- -,-4118,-1272,8833,-4918,- -,-1,6,-1,-2,-4,- -
70,Total Liabilities & Equity,20000,100000,60000,10000,30000,5000,32760,24650,25540,28690,29030,20825
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517389/000151738912000005/0001517389-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793213002783/0001477932-13-002783-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793214003257/0001477932-14-003257-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793215003721/0001477932-15-003721-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793216011114/0001477932-16-011114-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793217002170/0001477932-17-002170-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793218002584/0001477932-18-002584-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793219002948/0001477932-19-002948-index.html,https://www.sec.gov/Archives/edgar/data/1517389/000147793220002534/0001477932-20-002534-index.htm,https://www.sec.gov/Archives/edgar/data/1517389/000147793221002933/0001477932-21-002933-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,- -,20000,-130000,-210000,-244450,- -,-833930,-780000,-594250,-316100,-76150,-84186
74,Depreciation and Amortization,- -,- -,703,- -,- -,- -,- -,8332,8333,3473,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,64000,- -,75500,75000,- -,105000,420700,317625,159750,18000,18000
77,Change in Working Capital,- -,80000,-80000,-10000,-280000,-209530,-242070,-251110,150970,-152870,-58150,-66182
78,Accounts Receivable,- -,11340,3409,- -,- -,- -,- -,- -,-596,315,-9123,18
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-5933,-1360,7293,- -
80,Accounts Payable,- -,- -,48000,1461,- -,-1461,9494,-8919,12267,31347,- -,- -
81,Other Working Capital,- -,80000,- -,-10000,-290000,-499530,-741600,-992710,-841740,-994610,-1052760,-1118942
82,Other Non-Cash Items,- -,-78517,123213,67846,383201,149621,872555,492476,14566,257048,68474,63002
83,Cash Provided by Operating Activities,- -,85483,-86084,-76654,-66249,-59909,-98445,-109602,-102756,-48699,-47826,-69366
84,CAPEX,- -,-3518,- -,- -,- -,- -,-25000,- -,- -,- -,- -,- -
