,https://roic.ai/company/PJT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,354617000,396954000,401069000,405938000,499430000,499282000,580248000,717639000,1052300000,991945000
2,COGS,318255000,339778000,317478000,315195000,381000000,391514000,424459000,502165000,683393000,640040000
3,Gross Profit,36362000,57176000,83591000,90743000,118430000,107768000,155789000,215474000,368907000,351905000
4,Gross Profit Ratio,0.1025,0.1440,0.2084,0.2235,0.2371,0.2158,0.2685,0.3003,0.3506,0.3548
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,57506000,54509000,56868000,74200000,65095000,70552000,83669000,92406000,79310000,89028000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",57506000,54509000,56868000,74200000,65095000,70552000,83669000,92406000,79310000,89028000
9,Other Expenses,- -,8775000,- -,14872000,14026000,8143000,9973000,14496000,15055000,15750000
10,Operating Expenses,57506000,63284000,56868000,89072000,79121000,78695000,93642000,106902000,94365000,104778000
11,COGS and Expenses,375761000,403062000,374346000,404267000,460121000,470209000,518101000,609067000,777758000,744818000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,10612000,8775000,7773000,14760000,14026000,8143000,9973000,32808000,36360000,34925000
15,EBITDA,-28579000,-5025000,13724000,22575000,20384000,13969000,36098000,80773000,189444000,170587000
16,EBITDA ratio,-0.0806,-0.0127,0.0342,0.0556,0.0408,0.0280,0.0622,0.1126,0.1800,0.1720
17,Operating Income,-21144000,-6108000,26723000,1671000,39309000,29073000,62147000,108572000,274542000,247127000
18,Operating Income ratio,-0.0596,-0.0154,0.0666,0.0041,0.0787,0.0582,0.1071,0.1513,0.2609,0.2491
19,Total Other Income Expenses (Gains),-18047000,-7692000,-19185000,-7607000,-24809000,-19019000,-20634000,-26382000,-26581000,-27678000
20,Income Before Tax,-39191000,-13800000,7538000,-5936000,14500000,10054000,41513000,82190000,247961000,219449000
21,Income Before Tax Ratio,-0.1105,-0.0348,0.0188,-0.0146,0.0290,0.0201,0.0715,0.1145,0.2356,0.2212
22,Income Tax expense (Gain),3357000,3373000,17484000,239000,9392000,38380000,-1045000,18403000,35535000,29494000
23,Net Income,-42548000,-17173000,-11533000,7576000,-3034000,-32554000,27170000,29562000,117549000,106168000
24,Net Income ratio,-0.1200,-0.0433,-0.0288,0.0187,-0.0061,-0.0652,0.0468,0.0412,0.1117,0.1070
25,EPS,-1.25,-0.51,-0.34,0.16,-0.09,-0.96,0.72,0.74,2.99,4.46
26,EPS Diluted,-1.25,-0.51,-0.34,0.16,-0.09,-0.96,0.72,0.74,2.99,4.46
27,Weighted Average Shares Outstanding,33971670,33971670,33971670,35397751,34361674,33830312,37553550,39919341,39335916,24267706
28,Weighted Average Shares Outstanding Diluted,33971670,33971670,33971670,35397751,34361674,33830312,37553550,39919341,39335916,24267706
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1626115/000156459016013745/0001564590-16-013745-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459017002891/0001564590-17-002891-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459018003538/0001564590-18-003538-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459019005523/0001564590-19-005523-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459020007455/0001564590-20-007455-index.html,https://www.sec.gov/Archives/edgar/data/1626115/000156459021009465/0001564590-21-009465-index.htm,https://www.sec.gov/Archives/edgar/data/1626115/000156459022007189/0001564590-22-007189-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,29664000,38533000,82322000,152431000,145619000,106110000,215950000,299513000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,29664000,38533000,82322000,152431000,145619000,106110000,215950000,299513000,- -
34,Net Receivables,- -,124601000,145603000,106990000,154460000,112689000,139868000,227516000,233166000,289267000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1737000,1120000,827000,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,156002000,185256000,190139000,306891000,258308000,245978000,443466000,532679000,289267000
38,PP&E,- -,4526000,5111000,31490000,38155000,33789000,34805000,203642000,189625000,137916000
39,Goodwill,- -,68873000,68873000,75769000,72286000,72286000,176031000,172725000,172725000,172725000
40,Intangible Assets,- -,22450000,19797000,23646000,14713000,12295000,49160000,39806000,32030000,24386000
41,Intangible Assets,- -,91323000,88670000,99415000,86999000,84581000,225191000,212531000,204755000,197111000
42,Investments,- -,- -,- -,- -,- -,37121000,2157000,1543000,137889000,- -
43,Tax Assets,- -,1934000,2704000,68688000,70957000,44002000,58851000,48237000,53330000,63782000
