,https://roic.ai/company/MDXG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,788874,7760446,27053773,59180734,118223000,187296000,245015000,321139000,359111000,299255000,248234000,258615000
2,COGS,- -,- -,- -,- -,- -,- -,1720063,3154594,5188378,9328114,12665000,20202000,32407000,35219000,36386000,43081000,39330000,43283000
3,Gross Profit,- -,- -,- -,- -,- -,- -,-931189,4605852,21865395,49852620,105558000,167094000,212608000,285920000,322725000,256174000,208904000,215332000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-1.1804,0.5935,0.8082,0.8424,0.8929,0.8921,0.8677,0.8903,0.8987,0.8560,0.8416,0.8326
5,Research and Development Exp.,- -,- -,- -,- -,2013002,4022709,2753331,2602751,2884546,4843457,7050000,8413000,12038000,17900000,15765000,11140000,11715000,17344000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,7956113,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,16148,36809,8659405,7956113,6848135,11764117,20970687,46225657,90480000,133384000,179997000,220119000,258528000,198205000,181022000,198359000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053971,928000,933000,2127000,1678000,52356000,67543000,60538000,4611000
10,Operating Expenses,- -,- -,16148,36809,10672407,11978822,9601466,14366868,23855233,52123085,98458000,142730000,194162000,239697000,326649000,276888000,253275000,220314000
11,COGS and Expenses,- -,- -,16148,36809,10672407,11978822,11321529,17521462,29043611,61451199,111123000,162932000,226569000,274916000,363035000,319969000,292605000,263597000
12,Interest Income ,- -,- -,- -,- -,519707,59551,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,590,2051,- -,- -,599649,432970,2306993,1373672,48000,86000,- -,- -,- -,- -,7941000,4980000
14,Depreciation and Amortization,- -,- -,- -,- -,500262,1091829,1112191,1782410,1845608,1691217,2125000,2732000,5460000,5765000,6916000,7585000,6855000,5183000
15,EBITDA,- -,- -,-16148,-36809,-2953370,-10886993,-9707913,-7978606,-3509775,-947350,9225000,27096000,23567000,50853000,3519000,-18000000,-46747000,125000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-12.3060,-1.0281,-0.1297,-0.0160,0.0780,0.1447,0.0962,0.1584,0.0098,-0.0601,-0.1883,0.0005
17,Operating Income,- -,- -,-16148,-36809,-17849407,-11978822,-10532655,-9761016,-5355383,-2638567,7100000,24364000,18446000,46223000,-3924000,-21160000,-45398000,-5035000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-13.3515,-1.2578,-0.1980,-0.0446,0.0601,0.1301,0.0753,0.1439,-0.0109,-0.0707,-0.1829,-0.0195
19,Total Other Income Expenses (Gains),- -,- -,-590,-2051,477932,59551,-887098,-432970,-2306993,-1373672,-48000,-86000,-339000,-1135000,527000,-4425000,-16145000,-5003000
20,Income Before Tax,- -,- -,-16738,-38860,-17371475,-11919271,-11419753,-10193986,-7662376,-4012239,7052000,24278000,18107000,45088000,-3397000,-25585000,-61543000,-10038000
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-14.4760,-1.3136,-0.2832,-0.0678,0.0596,0.1296,0.0739,0.1404,-0.0095,-0.0855,-0.2479,-0.0388
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,99614,832000,-5168000,6133000,-19639000,26582000,-5000,-12259000,247000
23,Net Income,- -,- -,-16738,-38860,-17371475,-11919271,-11419753,-10193986,-7662376,-4111853,6220000,29446000,11974000,64727000,-29979000,-25580000,-49284000,-10285000
