,https://roic.ai/company/IBP,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,238447000,301253000,431929000,518020000,662719000,862980000,1132927000,1336432000,1511629000,1653225000,1968650000
2,COGS,181221000,227210000,322241000,377968000,474426000,610532000,808901000,964841000,1076809000,1143251000,1379131000
3,Gross Profit,57226000,74043000,109688000,140052000,188293000,252448000,324026000,371591000,434820000,509974000,589519000
4,Gross Profit Ratio,0.2400,0.2458,0.2539,0.2704,0.2841,0.2925,0.2860,0.2780,0.2876,0.3085,0.2995
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,50438000,60633000,67194000,80678000,99375000,125472000,164453000,185850000,214134000,237959000,271356000
7,Selling and Marketing Exp.,18446000,19807000,25509000,30951000,37702000,49667000,58450000,67105000,75016000,81613000,93204000
8,"Selling, General and Administrative Exp.",68884000,80440000,92703000,111629000,137077000,175139000,222903000,252955000,289150000,319572000,364560000
9,Other Expenses,5472000,2122000,3938000,2837000,6264000,11259000,26857000,25419000,24510000,28535000,37079000
10,Operating Expenses,74356000,82562000,96641000,114466000,143341000,186398000,249760000,278374000,313660000,348107000,401639000
11,COGS and Expenses,255577000,309772000,418882000,492434000,617767000,796930000,1058661000,1243215000,1390469000,1491358000,1780770000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),6994000,1979000,2257000,3166000,3738000,6177000,17381000,20496000,28104000,30291000,32842000
14,Depreciation and Amortization,8391000,7719000,11431000,15011000,23239000,34830000,55142000,58725000,79063000,87996000,102899000
15,EBITDA,7849000,8347000,23944000,40716000,68907000,100617000,128343000,151407000,199772000,249464000,291216000
16,EBITDA ratio,0.0329,0.0277,0.0554,0.0786,0.1040,0.1166,0.1133,0.1133,0.1322,0.1509,0.1479
17,Operating Income,-17130000,-1896000,13078000,25586000,44952000,66050000,74266000,93217000,121160000,161867000,187880000
18,Operating Income ratio,-0.0718,-0.0063,0.0303,0.0494,0.0678,0.0765,0.0656,0.0698,0.0802,0.0979,0.0954
19,Total Other Income Expenses (Gains),11389000,-1843000,-2224000,-2999000,-3022000,-6440000,-18446000,-21031000,-28555000,-30690000,-32405000
20,Income Before Tax,-5741000,-3739000,10854000,22587000,41930000,59610000,55820000,72186000,92605000,131177000,155475000
21,Income Before Tax Ratio,-0.0241,-0.0124,0.0251,0.0436,0.0633,0.0691,0.0493,0.0540,0.0613,0.0793,0.0790
22,Income Tax expense (Gain),1449000,555000,4216000,8607000,15413000,21174000,14680000,17438000,24446000,33938000,36712000
23,Net Income,-8985000,-1906000,6040000,13932000,26517000,38436000,41140000,54748000,68159000,97239000,118763000
24,Net Income ratio,-0.0377,-0.0063,0.0140,0.0269,0.0400,0.0445,0.0363,0.0410,0.0451,0.0588,0.0603
25,EPS,2.56,-0.25,-0.01,-0.20,0.85,1.23,1.30,1.76,2.29,3.30,4.04
26,EPS Diluted,2.56,-0.25,-0.01,-0.20,0.85,1.23,1.30,1.75,2.28,3.27,4.01
27,Weighted Average Shares Outstanding,28783901,29483901,29483901,30106862,31298163,31301887,31639283,31107231,29752644,29504115,29367676
28,Weighted Average Shares Outstanding Diluted,28783901,29483901,29483901,30106862,31334569,31363290,31756363,31229558,29873106,29717609,29628527
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580905/000119312514121477/0001193125-14-121477-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312515090717/0001193125-15-090717-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312516498539/0001193125-16-498539-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312517062227/0001193125-17-062227-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312518064142/0001193125-18-064142-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312519057931/0001193125-19-057931-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000119312520052757/0001193125-20-052757-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000162828021003085/0001628280-21-003085-index.htm,https://www.sec.gov/Archives/edgar/data/1580905/000158090522000004/0001580905-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,2528000,3898000,4065000,10761000,6818000,14482000,62510000,90442000,177889000,231520000,333485000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,30053000,10060000,37961000,- -,- -
33,Cash and Short-Term Investments,2528000,3898000,4065000,10761000,6818000,14482000,92563000,100502000,215850000,231520000,333485000
34,Net Receivables,35015000,46874000,58867000,72280000,103198000,128466000,180725000,214121000,244519000,266566000,312767000
35,Inventory,12325000,16718000,19731000,23971000,29337000,40229000,48346000,61162000,74606000,77179000,143039000
36,Other Current Assets,6686000,8278000,12849000,12276000,10879000,9214000,33308000,35760000,46974000,48678000,70025000
37,Total Current Assets,56554000,75768000,95512000,119288000,150232000,192391000,354942000,411545000,581949000,623943000,859316000
38,PP&E,8198000,17931000,29475000,39370000,57592000,67788000,81075000,90117000,152101000,157788000,175804000
39,Goodwill,48312000,49146000,49328000,53393000,90512000,107086000,155466000,173049000,195652000,216870000,322517000
40,Intangible Assets,12711000,15023000,13400000,17718000,67218000,86317000,137991000,149790000,153562000,171393000,264421000
41,Intangible Assets,61023000,64169000,62728000,71111000,157730000,193403000,293457000,322839000,349214000,388263000,586938000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1751000,2884000,3355000,4393000,8528000,8513000,9272000,10157000,16215000,17682000,31144000
45,Total Non-Current Assets,70972000,84984000,95558000,114874000,223850000,269704000,383804000,423113000,517530000,563733000,793886000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,127526000,160752000,191070000,234162000,374082000,462095000,738746000,834658000,1099479000,1187676000,1653202000
48,Accounts Payable,26843000,36463000,40653000,46584000,50867000,67921000,87425000,96949000,98871000,101462000,132705000
49,Short-Term Debt,1848000,4008000,7918000,11160000,18432000,24121000,22316000,27448000,42370000,44186000,55810000
50,Tax Payable,223000,2562000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,- -
52,Other Current Liabilities,9426000,12326000,15872000,18812000,28123000,38063000,50065000,57289000,72908000,90792000,119054000
53,Total Current Liabilities,38117000,52797000,64443000,76556000,97422000,130105000,159806000,181686000,214149000,236475000,307569000
54,Long-Term Debt,16784000,17705000,27771000,25070000,113724000,134235000,330927000,432182000,545031000,541957000,881565000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,11147000,12101000,9571000,9746000,14582000,14239000,6444000,6695000,9175000,35000,4819000
57,Other Non-Current Liabilities,55537000,68385000,79704000,30916000,33871000,29539000,31041000,31597000,81093000,90027000,42409000
58,Total Non-Current Liabilities,83468000,98191000,117046000,65732000,162177000,178013000,368412000,470474000,635299000,632019000,928793000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,4462000,12184000,22033000,26882000,20442000,15293000,12145000,8630000,51588000,57674000,74343000
61,Total Liabilities,121585000,150988000,181489000,142288000,259599000,308118000,528218000,652160000,849448000,868494000,1236362000
62,Preferred Stock,- -,66861000,136848000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,15638000,17408000,81172000,319000,320000,321000,325000,327000,329000,331000,333000
64,Retained Earnings,-9697000,-11603000,-71591000,-57659000,-31142000,7294000,48434000,105212000,173371000,269420000,352543000
65,Other Comprehensive Income/Loss,-50430000,-50265000,-52140000,-58487000,-70957000,-88936000,507000,-431000,-7143000,-8763000,-227000
66,Other Total Stockholders Equity,50430000,-12637000,-84708000,207701000,216262000,235298000,161262000,77390000,83474000,58194000,64191000
67,Total Stockholders Equity,5941000,9764000,9581000,91874000,114483000,153977000,210528000,182498000,250031000,319182000,416840000
68,Total Liabilities And Stockholders Equity,127526000,160752000,191070000,234162000,374082000,462095000,738746000,834658000,1099479000,1187676000,1653202000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,127526000,160752000,191070000,234162000,374082000,462095000,738746000,834658000,1099479000,1187676000,1653202000
