,https://roic.ai/company/LOPE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,51793000,72111000,99326000,161309000,261902000,385825000,426741000,511257000,598335000,691055000,778200000,873344000,974134000,845501000,778643000,844096000,896564000
2,COGS,- -,31287000,39050000,54450000,88810000,140295000,194801000,220403000,254419000,288791000,329651000,373101000,410840000,421594000,314110000,350546000,381257000
3,Gross Profit,- -,40824000,60276000,106859000,173092000,245530000,231940000,290854000,343916000,402264000,448549000,500243000,563294000,423907000,464533000,493550000,515307000
4,Gross Profit Ratio,- -,0.5661,0.6069,0.6624,0.6609,0.6364,0.5435,0.5689,0.5748,0.5821,0.5764,0.5728,0.5783,0.5014,0.5966,0.5847,0.5748
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,26825000,40819000,59213000,149780000,35502000,134011000,148202000,154672000,162505000,172303000,29968000,44317000,43360000,41826000
7,Selling and Marketing Exp.,- -,- -,- -,65551000,85405000,112493000,- -,141300000,66629000,73247000,83516000,97012000,108237000,117420000,142896000,164334000,182872000
8,"Selling, General and Administrative Exp.",- -,37782000,55931000,92376000,126224000,171706000,149780000,176802000,200640000,221449000,238188000,259517000,280540000,147388000,187213000,207694000,224698000
9,Other Expenses,- -,- -,- -,- -,296000,296000,- -,- -,- -,- -,- -,- -,- -,- -,8223000,8419000,8419000
10,Operating Expenses,- -,37782000,55931000,92376000,126520000,172002000,149780000,176802000,200640000,221449000,238188000,259517000,280540000,147388000,195436000,216113000,233117000
11,COGS and Expenses,- -,69069000,94981000,146826000,215330000,312297000,344581000,397205000,455059000,510240000,567839000,632618000,691380000,568982000,509546000,566659000,614374000
12,Interest Income ,- -,- -,- -,640000,324000,168000,88000,71000,3863000,684000,-106000,249000,2943000,26947000,59297000,59190000,52700000
13,Interest Expense (Gain),- -,- -,- -,2897000,1613000,889000,720000,699000,2244000,1801000,1354000,1328000,2169000,1536000,11311000,4402000,3601000
14,Depreciation and Amortization,- -,2396000,3300000,5095000,7960000,12108000,17034000,21923000,25437000,29473000,35675000,45683000,54228000,35673000,26919000,29652000,30413000
15,EBITDA,-4286000,3523000,5842000,18532000,54856000,85804000,99282000,136046000,172576000,210972000,246036000,283135000,339925000,324209000,355732000,367194000,365303000
16,EBITDA ratio,-0.0828,0.0489,0.0588,0.1149,0.2095,0.2224,0.2327,0.2661,0.2884,0.3053,0.3162,0.3242,0.3490,0.3835,0.4569,0.4350,0.4074
17,Operating Income,51793000,3042000,4345000,12797000,46572000,73528000,82160000,114052000,143276000,180815000,210361000,237203000,282754000,258149000,265131000,277437000,282190000
18,Operating Income ratio,1.0000,0.0422,0.0437,0.0793,0.1778,0.1906,0.1925,0.2231,0.2395,0.2617,0.2703,0.2716,0.2903,0.3053,0.3405,0.3287,0.3147
