,https://roic.ai/company/BRTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,- -,15589,1680,415996,628915,36355,81000,111000,130000,77000,46000
2,COGS,- -,- -,1307,208,213834,261504,102,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,14282,1472,202162,367411,36253,81000,111000,- -,- -,- -
4,Gross Profit Ratio,- -,- -,0.9162,0.8762,0.4860,0.5842,0.9972,1.0000,1.0000,- -,- -,- -
5,Research and Development Exp.,11620,12000,416180,1594054,1430614,2105059,2883563,2152433,1513150,1722338,876829,729058
6,General and Administrative Exp.,1932867,3436309,5038574,3044737,3568428,5264362,4863496,6237396,5893298,6518387,1923966,25537533
7,Selling and Marketing Exp.,124850,103696,131980,114951,125626,168352,86451,65455,352204,321280,28281,12290
8,"Selling, General and Administrative Exp.",2057717,3540005,5170554,3159688,3694054,5432714,4949947,6302851,6245502,6839667,1952247,25549823
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74992
10,Operating Expenses,2069337,3552005,5586734,4753742,5124668,7537773,7833510,8455284,7758652,8562005,2829076,26353873
11,COGS and Expenses,2069337,3552005,5588041,4753950,5338502,7799277,7833612,8455284,7758652,8562005,2829076,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),24155,260011,591813,371281,285275,263583,763944,1087373,3221778,5139039,1640145,1815366
14,Depreciation and Amortization,48358,90412,90404,104811,96685,213784,258425,259259,240372,217359,121384,1133539
15,EBITDA,-1850672,-3199672,-5854505,-5275102,-5205652,-7446113,-7613923,-8098023,-9055653,-9291492,-9511158,-41354390
16,EBITDA ratio,-Infinity,-Infinity,-375.5536,-3139.9417,-12.5137,-11.8396,-209.4326,-99.9756,-81.5825,-71.4730,-123.5215,-899.0085
17,Operating Income,-2069337,-3552005,-5572452,-4752270,-4922506,-7170362,-7797257,-8374284,-7647652,-8432005,-2752076,-26307873
18,Operating Income ratio,-Infinity,-Infinity,-357.4605,-2828.7321,-11.8331,-11.4012,-214.4755,-103.3862,-68.8978,-64.8616,-35.7412,-571.9103
19,Total Other Income Expenses (Gains),-170307,-261921,-964270,-998924,-665106,-753118,-839035,-1070371,-4870151,-6215885,-8520611,-17995422
20,Income Before Tax,- -,- -,-6536722,-5751194,-5587612,-7923480,-8636292,-9444655,-12517803,-14647890,-11272687,-44303295
21,Income Before Tax Ratio,- -,- -,-419.3163,-3423.3298,-13.4319,-12.5987,-237.5544,-116.6007,-112.7730,-112.6761,-146.3985,-963.1151
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2263799,-4073937,-6536722,-5751194,-5587612,-7923480,-8636292,-9444655,-12517803,-14647890,-11272687,-44303295
24,Net Income ratio,-Infinity,-Infinity,-419.3163,-3423.3298,-13.4319,-12.5987,-237.5544,-116.6007,-112.7730,-112.6761,-146.3985,-963.1151
25,EPS,-2115.70,-26979.72,-35143.67,-24164.68,-13178.33,-9580.99,-7356.30,-6181.06,-4269.37,-752.64,-15.75,-61.92
26,EPS Diluted,-2115.70,-26979.72,-35143.67,-24164.68,-13178.33,-9580.99,-7356.30,-6181.06,-4269.37,-752.64,-15.75,-61.92
27,Weighted Average Shares Outstanding,1070,151,186,238,424,827,1174,1528,2932,19462,715543,715543
28,Weighted Average Shares Outstanding Diluted,1070,151,186,238,424,827,1174,1528,2932,19462,715543,715543
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1505497/000149315221010062/0001493152-21-010062-index.htm,https://www.sec.gov/Archives/edgar/data/1505497/000149315222008184/0001493152-22-008184-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,18074,71508,363,201098,91798,166555,31822,451680,117523,1664,3064610,21026727
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,18074,71508,363,201098,91798,166555,31822,451680,117523,1664,3064610,21026727
34,Net Receivables,- -,- -,- -,- -,- -,93375,6000,38000,29000,32000,17000,5000
35,Inventory,- -,- -,12484,17965,1945,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,46915,18433,20739,20570,29348,23854,30030,34464,35199,105407,436181
37,Total Current Assets,18074,118423,31280,239802,114313,289278,61676,519710,180987,68863,3187017,21467908
38,PP&E,446756,94827,59407,35568,493856,643087,508594,327847,175235,658296,495763,395798
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,3676,3308,1177357,1107545,1037732,1038741,963845,888950,- -,739164,664268,589740
41,Intangible Assets,3676,3308,1177357,1107545,1037732,1038741,963845,888950,814059,739164,664268,589740
42,Investments,- -,4415,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,45900,45900,45900,22100,22100,- -,- -,- -
45,Total Non-Current Assets,450432,102550,1236764,1143113,1577488,1727728,1518339,1238897,1011394,1397460,1160031,985538
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,468506,220973,1268044,1382915,1691801,2017006,1580015,1758607,1192381,1466323,4347048,22453446
48,Accounts Payable,160187,426184,771429,1269970,1111879,2549042,2283981,2454944,1893827,1954427,118851,50827
49,Short-Term Debt,514047,3040957,961685,4990009,5688239,1009797,1858845,3467568,3625659,7231371,158371,119055
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,44149,- -,- -,164349,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,341618,396080,1082842,1242571,1560532,2053618,1702034,2430790,3735402,4534781,767566,193940
53,Total Current Liabilities,1015852,3907370,2815956,7502550,8524999,5612457,5844860,8353302,9254888,13720579,1044788,363822
54,Long-Term Debt,196876,- -,3593781,524000,50000,302001,297756,194282,523894,521890,4633752,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,41434,5195,11011,437681,47591,54637,- -,- -,492675
58,Total Non-Current Liabilities,196876,- -,3593781,565434,55195,313012,735437,241873,578531,521890,4633752,492675
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,607355,521890,- -
61,Total Liabilities,1212728,3907370,6409737,8067984,8580194,5925469,6580297,8595175,9833419,14242469,5678540,856497
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,461149,635615,772173,19633,34512,3339,4699,6112,11728,7787,286220,353
64,Retained Earnings,-3450561,-7524498,-14061220,-19812414,-25400026,-33323506,-41959798,-51404453,-63922256,-78570146,-89842833,-134146128
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,2245190,3202486,8147354,13107712,18477121,29411704,36954817,44561773,55269490,65786213,88225121,155742724
67,Total Stockholders Equity,-744222,-3686397,-5141693,-6685069,-6888393,-3908463,-5000282,-6836568,-8641038,-12776146,-1331492,21596949
68,Total Liabilities And Stockholders Equity,468506,220973,1268044,1382915,1691801,2017006,1580015,1758607,1192381,1466323,4347048,22453446
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,468506,220973,1268044,1382915,1691801,2017006,1580015,1758607,1192381,1466323,4347048,22453446
