,https://roic.ai/company/CJJD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,55174929,69969479,94352885,89495546,66154587,76895732,89065580,81499045,96112706,107551012,117327689,133134633
2,COGS,- -,- -,- -,38276889,48827385,66790084,74860553,60427101,64457707,71553998,64872127,75987537,82442969,91801259,103890824
3,Gross Profit,- -,- -,- -,16898040,21142094,27562801,14634993,5727486,12438025,17511582,16626918,20125169,25108043,25526430,29243809
4,Gross Profit Ratio,- -,- -,- -,0.3063,0.3022,0.2921,0.1635,0.0866,0.1618,0.1966,0.2040,0.2094,0.2335,0.2176,0.2197
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1510154,4723943,8582389,15000364,11268857,313390,5175476,7684862,17823661,1718989,8108377,10897629
7,Selling and Marketing Exp.,- -,- -,- -,2630332,4838745,8498240,12216984,13688771,10416451,12360872,12923192,18739492,24265184,23793603,26954914
8,"Selling, General and Administrative Exp.",- -,- -,- -,4140486,9562688,17080629,27217348,24957628,10729841,17536348,20608054,36563153,25984173,31901980,37852543
9,Other Expenses,3737,28748,9715,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3737,28748,9715,4140486,9562688,17080629,27217348,24957628,10729841,17536348,20608054,36563153,25984173,31901980,37852543
11,COGS and Expenses,3737,28748,9715,42417375,58390073,83870713,102077901,85384729,75187548,89090346,85480181,112550690,108427142,123703239,141743367
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379790,478976,112887,1063747,707878
13,Interest Expense (Gain),- -,- -,- -,- -,23871,- -,- -,- -,- -,- -,1349,- -,- -,698518,455187
14,Depreciation and Amortization,- -,- -,- -,396574,810374,2340865,2764144,3234169,2820489,1456029,1316747,1383810,1676413,2082817,1750890
15,EBITDA,-3737,-28748,-9715,13098608,12790048,13130856,-11215785,-22077097,3734444,1999926,-4241721,-15599867,884898,-3015776,-5882147
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,0.2374,0.1828,0.1392,-0.1253,-0.3337,0.0486,0.0225,-0.0520,-0.1623,0.0082,-0.0257,-0.0442
17,Operating Income,-3737,-28748,-9715,12757554,11579406,10482172,-14055961,-19230142,1708184,-24766,-3981136,-18021170,-876130,-7003742,-8837240
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,0.2312,0.1655,0.1111,-0.1571,-0.2907,0.0222,-0.0003,-0.0488,-0.1875,-0.0081,-0.0597,-0.0664
19,Total Other Income Expenses (Gains),- -,- -,- -,-55520,376397,306672,75238,-6081158,-795158,568663,-1578681,1037493,-306876,562323,493300
20,Income Before Tax,- -,- -,- -,12702034,11955803,10788844,-13980723,-25311300,913026,543897,-5559817,-16983677,-1183006,-6441419,-8343940
21,Income Before Tax Ratio,- -,- -,- -,0.2302,0.1709,0.1143,-0.1562,-0.3826,0.0119,0.0061,-0.0682,-0.1767,-0.0110,-0.0549,-0.0627
22,Income Tax expense (Gain),- -,- -,- -,2880293,3523345,2648365,353802,44870,57398,96741,84387,76256,134763,16258,31638
23,Net Income,-3737,-28748,-9715,9821741,8432458,8141626,-14333731,-25356136,856557,447156,-5644204,-17059933,-926278,-5813369,-8119862
24,Net Income ratio,-Infinity,-Infinity,-Infinity,0.1780,0.1205,0.0863,-0.1602,-0.3833,0.0111,0.0050,-0.0693,-0.1775,-0.0086,-0.0495,-0.0610
25,EPS,-0.00,-0.20,-0.00,1.09,0.64,0.60,-1.06,-1.83,0.06,0.03,-0.28,-0.68,-0.03,-0.18,-0.25
26,EPS Diluted,-0.00,-0.20,-0.00,1.09,0.64,0.60,-1.06,-1.83,0.06,0.03,-0.28,-0.68,-0.03,-0.18,-0.25
27,Weighted Average Shares Outstanding,1312500,2100000,2100000,9025000,13254792,13568481,13580731,13880190,14960522,16096406,20396217,25241748,28936778,32816567,32816567
