,https://roic.ai/company/IRWD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,10464000,22216000,36102000,43857000,65871000,150245000,22881000,76436000,149555000,273957000,298276000,346639000,428413000,389523000,413753000
2,COGS,- -,- -,- -,- -,- -,965000,7203000,25583000,12000,1868000,19097000,32751000,23875000,3136000,- -
3,Gross Profit,10464000,22216000,36102000,43857000,65871000,149280000,15678000,50853000,149543000,272089000,279179000,313888000,404538000,386387000,413753000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,0.9936,0.6852,0.6653,0.9999,0.9932,0.9360,0.9055,0.9443,0.9919,1.0000
5,Research and Development Exp.,57246000,59809000,84892000,77454000,86093000,113474000,102378000,101890000,108746000,139492000,148228000,166503000,115044000,88062000,70405000
6,General and Administrative Exp.,- -,- -,- -,27169000,45920000,92538000,123228000,118333000,125247000,173281000,233123000,241291000,172450000,140003000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,27169000,45920000,92538000,123228000,118333000,125247000,173281000,233123000,241291000,172450000,140003000,111133000
9,Other Expenses,10833000,18328000,23980000,- -,- -,16030000,42074000,- -,- -,981000,6214000,8111000,- -,- -,- -
10,Operating Expenses,68079000,78137000,108872000,104623000,132013000,222042000,267680000,220223000,233993000,313754000,387565000,415905000,287494000,228065000,181538000
11,COGS and Expenses,68079000,78137000,108872000,104623000,132013000,223007000,274883000,245806000,234005000,315622000,406662000,448656000,311369000,231201000,181538000
12,Interest Income ,4118000,2124000,243000,614000,456000,197000,192000,257000,443000,1169000,2111000,2991000,2862000,1504000,726000
13,Interest Expense (Gain),263000,334000,474000,196000,63000,59000,21002000,21166000,31096000,39153000,36370000,37724000,36602000,29478000,31150000
14,Depreciation and Amortization,1731000,2849000,5250000,6161000,9999000,11325000,11729000,12331000,11630000,11260000,14617000,14223000,5580000,3564000,1523000
15,EBITDA,-50758000,-50691000,-65757000,-49568000,-54787000,-61240000,-240081000,-156121000,-99943000,-31295000,-65950000,-230421000,63687000,141903000,233330000
16,EBITDA ratio,-4.8507,-2.2817,-1.8214,-1.1302,-0.8317,-0.4076,-10.4926,-2.0425,-0.6683,-0.1142,-0.2211,-0.6647,0.1487,0.3643,0.5639
17,Operating Income,-57615000,-55921000,-72770000,-60766000,-66142000,-72762000,-252002000,-169370000,-102088000,-51870000,-77385000,-238892000,120123000,142940000,232259000
18,Operating Income ratio,-5.5060,-2.5171,-2.0157,-1.3855,-1.0041,-0.4843,-11.0136,-2.2158,-0.6826,-0.1893,-0.2594,-0.6892,0.2804,0.3670,0.5613
