,https://roic.ai/company/ALBO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11364000,1000,12740000,9636000,8308000,40579000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1356000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39223000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.9666
5,Research and Development Exp.,- -,- -,2666000,5987000,15939000,32554000,32325000,26177000,13901000,12571000,14296000,14194000,13365000,8077000,12991000,31732000,45575000,76777000,82522000
6,General and Administrative Exp.,- -,- -,724000,1548000,8386000,14800000,10994000,10980000,9321000,6816000,6843000,5598000,6402000,15786000,15246000,18061000,22963000,42448000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,724000,1548000,8386000,14800000,10994000,10980000,9321000,6816000,6843000,5598000,6402000,15786000,15246000,18061000,22963000,42448000,69569000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000,-546000,-531000,- -,-205000,-3659000,837000,2210000,-14646000,10617000
10,Operating Expenses,- -,- -,3390000,7535000,24325000,47354000,43319000,37157000,23222000,19299000,20593000,19261000,19767000,23658000,24578000,50630000,70748000,104579000,162708000
11,COGS and Expenses,- -,- -,3390000,7535000,24325000,47354000,43319000,37157000,23222000,19299000,20593000,19261000,19767000,23658000,24578000,50630000,70748000,104579000,164064000
12,Interest Income ,- -,- -,- -,- -,- -,- -,386000,17000,60000,80000,56000,49000,52000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,52000,1319000,- -,- -,5296000,11362000,-13932000
14,Depreciation and Amortization,- -,- -,189000,241000,254000,567000,877000,991000,938000,725000,641000,603000,197000,14000,35000,45000,127000,192000,383000
15,EBITDA,- -,- -,-3201000,-6667000,-24071000,-46787000,-42442000,-36166000,-22284000,-18574000,-19952000,-18658000,-19570000,-14955000,-24167000,-46046000,-57294000,-96079000,-47579000
