,https://roic.ai/company/ZTS,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,2760000000,3582000000,4233000000,4336000000,4561000000,4785000000,4765000000,4888000000,5307000000,5825000000,6260000000,6675000000,7776000000
2,COGS,1078000000,1444000000,1652000000,1563000000,1669000000,1717000000,1738000000,1666000000,1775000000,1911000000,1992000000,2057000000,2303000000
3,Gross Profit,1682000000,2138000000,2581000000,2773000000,2892000000,3068000000,3027000000,3222000000,3532000000,3914000000,4268000000,4618000000,5473000000
4,Gross Profit Ratio,0.6094,0.5969,0.6097,0.6395,0.6341,0.6412,0.6353,0.6592,0.6655,0.6719,0.6818,0.6918,0.7038
5,Research and Development Exp.,368000000,411000000,427000000,409000000,399000000,396000000,364000000,376000000,382000000,432000000,457000000,463000000,508000000
6,General and Administrative Exp.,- -,- -,- -,- -,1613000000,1643000000,1532000000,1364000000,1334000000,1484000000,- -,1726000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1066000000,1382000000,1453000000,1470000000,1613000000,1643000000,1532000000,1364000000,1334000000,1484000000,1638000000,1726000000,2001000000
9,Other Expenses,33000000,58000000,69000000,64000000,60000000,60000000,61000000,85000000,91000000,117000000,155000000,- -,161000000
10,Operating Expenses,1467000000,1851000000,1949000000,1943000000,2072000000,2099000000,1957000000,1825000000,1807000000,2033000000,2250000000,2189000000,2670000000
11,COGS and Expenses,2545000000,3295000000,3601000000,3506000000,3741000000,3816000000,3695000000,3491000000,3582000000,3944000000,4242000000,4246000000,4973000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000000,37000000,12000000,6000000
13,Interest Expense (Gain),26000000,37000000,36000000,31000000,113000000,117000000,124000000,166000000,175000000,206000000,223000000,-231000000,224000000
14,Depreciation and Amortization,124000000,185000000,205000000,200000000,209000000,204000000,199000000,240000000,242000000,308000000,412000000,441000000,448000000
15,EBITDA,3000000,399000000,632000000,941000000,1013000000,1137000000,868000000,1636000000,1944000000,2208000000,2436000000,2206000000,3163000000
16,EBITDA ratio,0.0011,0.1114,0.1493,0.2170,0.2221,0.2376,0.1822,0.3347,0.3663,0.3791,0.3891,0.3305,0.4068
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-363000000,-109000000,-238000000,-120000000,-130000000,-149000000,-525000000,-169000000,-200000000,-191000000,-217000000,- -,-2477000000
20,Income Before Tax,-148000000,178000000,394000000,710000000,690000000,820000000,545000000,1228000000,1525000000,1690000000,1801000000,1996000000,2488000000
21,Income Before Tax Ratio,-0.0536,0.0497,0.0931,0.1637,0.1513,0.1714,0.1144,0.2512,0.2874,0.2901,0.2877,0.2990,0.3200
22,Income Tax expense (Gain),-47000000,67000000,146000000,274000000,187000000,233000000,206000000,409000000,663000000,266000000,301000000,360000000,454000000
23,Net Income,-100000000,110000000,245000000,436000000,504000000,583000000,339000000,821000000,864000000,1428000000,1500000000,1636000000,2037000000
24,Net Income ratio,-0.0362,0.0307,0.0579,0.1006,0.1105,0.1218,0.0711,0.1680,0.1628,0.2452,0.2396,0.2451,0.2620
25,EPS,-0.20,0.22,0.38,0.87,1.01,1.16,0.68,1.66,1.76,2.96,3.14,3.44,4.28
26,EPS Diluted,-0.20,0.22,0.38,0.87,1.01,1.16,0.68,1.65,1.75,2.93,3.11,3.42,4.26
27,Weighted Average Shares Outstanding,500000000,500000000,500000000,500000000,500002000,501055000,499707000,495715000,489918000,483063000,478100000,475502000,475502000
28,Weighted Average Shares Outstanding Diluted,500000000,500000000,500000000,500000000,500317000,502025000,502019000,498225000,493161000,486898000,481800000,478569000,478569000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1555280/000155528013000008/0001555280-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528014000164/0001555280-14-000164-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528015000057/0001555280-15-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528016000344/0001555280-16-000344-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528017000044/0001555280-17-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528018000053/0001555280-18-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528019000041/0001555280-19-000041-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1555280/000155528021000098/0001555280-21-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1555280/000155528022000078/0001555280-22-000078-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,63000000,79000000,317000000,610000000,882000000,1154000000,727000000,1564000000,1602000000,1932000000,3602000000,3482000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,63000000,79000000,317000000,610000000,882000000,1154000000,727000000,1564000000,1701000000,1932000000,3602000000,3482000000
34,Net Receivables,- -,773000000,871000000,900000000,1138000000,980000000,937000000,913000000,998000000,1036000000,1086000000,1013000000,1133000000
35,Inventory,- -,995000000,1063000000,1345000000,1293000000,1289000000,1467000000,1502000000,1427000000,1391000000,1410000000,1628000000,1923000000
36,Other Current Assets,- -,285000000,298000000,302000000,316000000,314000000,272000000,248000000,228000000,271000000,320000000,368000000,392000000
37,Total Current Assets,- -,2116000000,2311000000,2864000000,3357000000,3465000000,3830000000,3390000000,4217000000,4399000000,4748000000,6611000000,6930000000
38,PP&E,- -,1148000000,1243000000,1241000000,1295000000,1318000000,1307000000,1381000000,1435000000,1658000000,2129000000,2394000000,2603000000
39,Goodwill,- -,934000000,989000000,985000000,982000000,976000000,1455000000,1481000000,1510000000,2519000000,2592000000,2694000000,2682000000
40,Intangible Assets,- -,924000000,928000000,868000000,803000000,727000000,1190000000,1228000000,1269000000,2046000000,1890000000,1710000000,1474000000
41,Intangible Assets,- -,1858000000,1917000000,1853000000,1785000000,1703000000,2645000000,2709000000,2779000000,4565000000,4482000000,4404000000,4156000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,70000000,143000000,216000000,63000000,54000000,82000000,96000000,80000000,61000000,88000000,94000000,100000000
44,Other Non-Current Assets,- -,92000000,97000000,88000000,58000000,67000000,49000000,73000000,75000000,94000000,98000000,106000000,111000000
45,Total Non-Current Assets,- -,3168000000,3400000000,3398000000,3201000000,3142000000,4083000000,4259000000,4369000000,6378000000,6797000000,6998000000,6970000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5284000000,5711000000,6262000000,6558000000,6607000000,7913000000,7649000000,8586000000,10777000000,11545000000,13609000000,13900000000
