,https://roic.ai/company/MICT,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,6176000,7269000,7839000,9642000,10464000,9090000,11106000,10146000,17788000,35571000,34238000,23587000,22748000,18366000,14162000,477000,1173000
2,COGS,4130000,5261000,5676000,7104000,7552000,6848000,6181000,6297000,13790000,22298000,24180000,16284000,18598000,14094000,10652000,846000,1231000
3,Gross Profit,2046000,2008000,2163000,2538000,2912000,2242000,4925000,3849000,3998000,13273000,10058000,7303000,4150000,4272000,3510000,-369000,-58000
4,Gross Profit Ratio,0.3313,0.2762,0.2759,0.2632,0.2783,0.2466,0.4435,0.3794,0.2248,0.3731,0.2938,0.3096,0.1824,0.2326,0.2478,-0.7736,-0.0494
5,Research and Development Exp.,- -,379000,399000,244000,143000,251000,250000,240000,777000,2675000,2807000,2453000,2320000,1964000,1906000,255000,484000
6,General and Administrative Exp.,- -,- -,1336000,1538000,1843000,1549000,1537000,1366000,2243000,4179000,6290000,4723000,5933000,4116000,6345000,3027000,14228000
7,Selling and Marketing Exp.,- -,- -,- -,- -,194000,150000,307000,350000,752000,1170000,1947000,1530000,1941000,1883000,1582000,198000,-38000
8,"Selling, General and Administrative Exp.",- -,- -,1336000,1538000,2037000,1699000,1844000,1716000,2995000,5349000,8237000,6253000,7874000,5999000,7927000,3225000,14190000
9,Other Expenses,1221000,1391000,- -,- -,- -,- -,- -,- -,551000,657000,850000,1118000,926000,978000,1298000,20000,1847000
10,Operating Expenses,1221000,1770000,1735000,1782000,2180000,1950000,2094000,1956000,4323000,8681000,11894000,9824000,11120000,8941000,11131000,3500000,16521000
11,COGS and Expenses,5351000,7031000,7411000,8886000,9732000,8798000,8275000,8253000,18113000,30979000,36074000,26108000,29718000,23035000,21783000,4346000,17752000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,493000,355000,- -,596000,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,146000,148000,84000,144000,111000,65000,23000,66000,779000,984000,1377000,1599000,1369000,1322000,1418000,88000,1780000
15,EBITDA,550000,103000,103000,475000,792000,304000,1747000,1944000,6060000,985000,-520000,-949000,-4567000,-6845000,-586000,-4112000,-21538000
16,EBITDA ratio,0.0891,0.0142,0.0131,0.0493,0.0757,0.0334,0.1573,0.1916,0.3407,0.0277,-0.0152,-0.0402,-0.2008,-0.3727,-0.0414,-8.6205,-18.3615
17,Operating Income,825000,238000,428000,756000,732000,292000,2831000,1893000,-325000,4592000,-1836000,-2521000,-6970000,-4669000,-9087000,-3869000,-16579000
18,Operating Income ratio,0.1336,0.0327,0.0546,0.0784,0.0700,0.0321,0.2549,0.1866,-0.0183,0.1291,-0.0536,-0.1069,-0.3064,-0.2542,-0.6416,-8.1111,-14.1338
19,Total Other Income Expenses (Gains),-230000,-269000,-372000,-419000,-493000,-404000,-305000,-611000,4716000,-2295000,-296000,-610000,-672000,-401000,-1267000,-884000,-7383000
20,Income Before Tax,595000,-31000,56000,337000,239000,-112000,2526000,1282000,4391000,2297000,-2132000,-3131000,-7642000,-5070000,-10354000,-4753000,-23962000
