,https://roic.ai/company/AADI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,20157430,- -,15000000,1000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,12147132,17852756,12824402,12594823,19670000
6,General and Administrative Exp.,20509,23585,22391,22824,23006,29492,9241411,13485918,9756185,8762222,18511000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20509,23585,22391,22824,23006,29492,9241411,13485918,9756185,8762222,18511000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,-6394,-142729,-79900,-120000
10,Operating Expenses,20509,23585,22391,22824,23006,29492,21388543,31332280,22437858,21277145,38061000
11,COGS and Expenses,20509,23585,22391,22824,23006,29492,21388543,31332280,22437858,21277145,38061000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000
13,Interest Expense (Gain),1886,3600,4974,5877,8434,9942,- -,- -,- -,- -,665000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,51268,46686,76501,61482,105000
15,EBITDA,-20509,-23585,-22391,-22824,-23006,-29492,-21337275,-10349949,-22361357,-4253841,-109318000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5135,-Infinity,-0.2836,-109.3180
17,Operating Income,-20509,-23585,-22391,-22824,-23006,-29492,-21388543,-11174850,-22437858,-2549000,-111217000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5544,-Infinity,-0.1699,-111.2170
19,Total Other Income Expenses (Gains),-1886,-3600,-4974,-5877,-8434,-9942,-12063,778215,-832656,-1766323,1129000
20,Income Before Tax,-22395,-27185,-27365,-28701,-31440,-39434,-21400606,-10396635,-23270514,-4315323,-110088000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5158,-Infinity,-0.2877,-110.0880
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000
23,Net Income,-22395,-27185,-27365,-28701,-31440,-39434,-21400606,-10396635,-23270514,-4315323,-110090000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.5158,-Infinity,-0.2877,-110.0900
25,EPS,-0.07,-0.08,-0.08,-0.09,-0.02,-0.02,-14.81,-4.60,-8.60,-0.21,-12.41
26,EPS Diluted,-0.07,-0.08,-0.08,-0.09,-0.02,-0.02,-14.81,-4.60,-8.60,-0.21,-12.41
27,Weighted Average Shares Outstanding,1804669,1804669,1804669,1804669,1804669,1804669,20838292,20838292,20838292,20838292,8923369
28,Weighted Average Shares Outstanding Diluted,1804669,1804669,1804669,1804669,1804669,1804669,20838292,20838292,20838292,20838292,8923369
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1422142/000114420412018750/0001144204-12-018750-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000114420413018033/0001144204-13-018033-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000121390014001894/0001213900-14-001894-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000121390015001427/0001213900-15-001427-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000121390016012024/0001213900-16-012024-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000121390017002066/0001213900-17-002066-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459018005868/0001564590-18-005868-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459019006602/0001564590-19-006602-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459020011174/0001564590-20-011174-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459021012252/0001564590-21-012252-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459022010721/0001564590-22-010721-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,4125,4607,6283,5263,18529,4012,20264109,62614010,38524536,42604935,148989000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4125,4607,6283,5263,18529,4012,20264109,62614010,38524536,42604935,148989000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2500,3500,- -,- -,- -,- -,635361,1370073,1045939,2114090,2283000
37,Total Current Assets,6625,8107,6283,5263,18529,4012,20899470,63984083,39570475,44719025,151272000
38,PP&E,- -,- -,- -,- -,- -,- -,107223,98449,326311,185649,614000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3811000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3811000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,2500,- -,- -,- -,20960,40960,40000,20000,2213000
45,Total Non-Current Assets,- -,- -,2500,- -,- -,- -,128183,139409,366311,205649,6638000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6625,8107,8783,5263,18529,4012,21027653,64123492,39936786,44924674,157910000
48,Accounts Payable,2977,1850,350,2402,3674,4274,1276537,595680,439785,523037,6439000
49,Short-Term Debt,60000,85000,110000,125000,160000,170000,- -,- -,102555,67438,131000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,11824,16798,22675,32902,41336,55653,2315627,4861237,2791665,1276334,8703000
53,Total Current Liabilities,74801,103648,133025,160304,205010,229927,3592164,5456917,3334005,1866809,15273000
54,Long-Term Debt,60000,85000,110000,125000,- -,- -,- -,- -,- -,- -,474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,67438,- -,5757000
58,Total Non-Current Liabilities,60000,85000,110000,125000,- -,- -,- -,- -,67438,- -,6231000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,605000
61,Total Liabilities,74801,103648,133025,160304,205010,229927,3592164,5456917,3401443,1866809,21504000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500,500,500,500,500,500,2707,4059,4059,4725,2000
64,Retained Earnings,- -,- -,- -,- -,-236481,-275915,-108562656,-118959291,-142235522,-146550845,-142685000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-335845,-311131,-328850,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,49500,49500,126331283,177932938,179095656,189603985,279089000
67,Total Stockholders Equity,-68176,-95541,-124242,-155041,-186481,-225915,17435489,58666575,36535343,43057865,136406000
68,Total Liabilities And Stockholders Equity,6625,8107,8783,5263,18529,4012,21027653,64123492,39936786,44924674,157910000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6625,8107,8783,5263,18529,4012,21027653,64123492,39936786,44924674,157910000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1422142/000114420412018750/0001144204-12-018750-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000114420413018033/0001144204-13-018033-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000121390014001894/0001213900-14-001894-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000121390015001427/0001213900-15-001427-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000121390016012024/0001213900-16-012024-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000121390017002066/0001213900-17-002066-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459018005868/0001564590-18-005868-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459019006602/0001564590-19-006602-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459020011174/0001564590-20-011174-index.html,https://www.sec.gov/Archives/edgar/data/1422142/000156459021012252/0001564590-21-012252-index.htm,https://www.sec.gov/Archives/edgar/data/1422142/000156459022010721/0001564590-22-010721-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
