,https://roic.ai/company/ATOM,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,110000,246000,533000,62000,400000
2,COGS,- -,- -,- -,39000,148000,253000,13000,- -
3,Gross Profit,- -,- -,- -,71000,98000,280000,49000,400000
4,Gross Profit Ratio,- -,- -,- -,0.6455,0.3984,0.5253,0.7903,1.0000
5,Research and Development Exp.,1853091,2022133,3993000,5826000,7318000,7748000,8424000,8779000
6,General and Administrative Exp.,1402879,3441149,5105000,5796000,4956000,5203000,5624000,6164000
7,Selling and Marketing Exp.,9392,35661,901000,1659000,957000,954000,921000,986000
8,"Selling, General and Administrative Exp.",1412271,3476810,6006000,7455000,5913000,6157000,6545000,7150000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3265362,5498943,9999000,13281000,13231000,13905000,14969000,15929000
11,COGS and Expenses,3265362,5498943,9999000,13320000,13379000,14158000,14982000,15929000
12,Interest Income ,7088,7072,29000,148000,236000,325000,42000,9000
13,Interest Expense (Gain),560310,1931728,2640000,- -,- -,- -,- -,128000
14,Depreciation and Amortization,5460,9517,15000,19000,33000,178000,179000,785000
15,EBITDA,-3251964,-5482354,-9984000,-13049000,-12864000,-13122000,-14699000,-14735000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-118.6273,-52.2927,-24.6191,-237.0806,-36.8375
17,Operating Income,-3265362,-5498943,-9999000,-13210000,-13133000,-13625000,-14920000,-15529000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-120.0909,-53.3862,-25.5629,-240.6452,-38.8225
19,Total Other Income Expenses (Gains),-552372,-4013198,-2611000,142000,236000,325000,42000,-119000
20,Income Before Tax,-3817734,-9512141,-12610000,-13068000,-12897000,-13300000,-14878000,-15648000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-118.8000,-52.4268,-24.9531,-239.9677,-39.1200
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,66000
23,Net Income,-3817734,-9512141,-12610000,-13068000,-12897000,-13300000,-14878000,-15714000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-118.8000,-52.4268,-24.9531,-239.9677,-39.2850
25,EPS,-0.34,-0.84,-2.22,-1.08,-1.02,-0.84,-0.79,-0.84
26,EPS Diluted,-0.34,-0.84,-2.22,-1.08,-1.02,-0.84,-0.79,-0.84
27,Weighted Average Shares Outstanding,11323226,11323226,5682000,12124000,12655000,15852000,18752000,18752000
28,Weighted Average Shares Outstanding Diluted,11323226,11323226,5682000,12124000,12655000,15852000,18752000,18752000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1420520/000168316817000713/0001683168-17-000713-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316818000599/0001683168-18-000599-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316819000596/0001683168-19-000596-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316820000799/0001683168-20-000799-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316821000648/0001683168-21-000648-index.htm,https://www.sec.gov/Archives/edgar/data/1420520/000168316822001031/0001683168-22-001031-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,20980,3196943,26718000,17369000,18933000,14871000,37942000,28699000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20980,3196943,26718000,17369000,18933000,14871000,37942000,28699000
34,Net Receivables,- -,- -,- -,110000,185000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,39131,63137,96000,248000,170000,132000,132000,309000
37,Total Current Assets,60111,3260080,26814000,17727000,19288000,15003000,38074000,29008000
38,PP&E,21239,15533,28000,67000,56000,224000,858000,6947000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,144669,37000,13000,13000,13000,463000,105000
45,Total Non-Current Assets,21239,160202,65000,80000,69000,237000,1321000,7052000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,81350,3420282,26879000,17807000,19357000,15240000,39395000,36060000
48,Accounts Payable,630934,301517,353000,198000,348000,315000,442000,338000
49,Short-Term Debt,- -,14425240,- -,- -,- -,152000,90000,1611000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,55000,37000,- -,- -
52,Other Current Liabilities,143754,1814279,678000,751000,1208000,964000,916000,804000
53,Total Current Liabilities,774688,16541036,1031000,949000,1611000,1468000,1448000,2753000
54,Long-Term Debt,6608045,- -,- -,- -,- -,- -,602000,4926000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,6608045,- -,- -,- -,- -,- -,602000,4926000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,152000,692000,6537000
61,Total Liabilities,7382733,16541036,1031000,949000,1611000,1468000,2050000,7679000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1233,1617,12000,12000,15000,17000,22000,23000
64,Retained Earnings,-73874482,-83386623,-95997000,-109065000,-121962000,-135262000,-150140000,-165854000
65,Other Comprehensive Income/Loss,-220544,-230061,-94000,-94000,-122000,-162000,- -,- -
66,Other Total Stockholders Equity,66792410,70494313,121927000,126005000,139815000,149179000,187463000,194212000
