,https://roic.ai/company/VIA,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,13423000000,14625000000,13619000000,9337000000,14914000000,379062000,317090000,322876000,358153000,546697000,798055000,1005928000,813725000,554890000,393485000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,7868000000,279506000,233026000,258616000,241188000,344944000,552167000,845493000,615225000,344592000,323219000
3,Gross Profit,- -,- -,- -,- -,- -,13423000000,14625000000,13619000000,9337000000,7046000000,99556000,84064000,64260000,116965000,201753000,245888000,160435000,198500000,210298000,70266000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,0.4724,0.2626,0.2651,0.1990,0.3266,0.3690,0.3081,0.1595,0.2439,0.3790,0.1786
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,2664000000,2910000000,2737000000,2025000000,2921000000,47321000,35020000,45880000,61682000,84964000,101127000,111431000,133534000,90734000,44279000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,2664000000,2910000000,2737000000,2025000000,2921000000,47321000,35020000,45880000,61682000,84964000,101127000,111431000,133534000,90734000,44279000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22795000,16215000,22221000,25378000,32788000,42341000,52658000,40987000,30767000,21578000
10,Operating Expenses,- -,- -,- -,- -,- -,2664000000,2910000000,2737000000,2025000000,2921000000,70116000,51235000,68101000,87060000,117752000,143468000,164089000,174521000,121501000,65857000
11,COGS and Expenses,- -,- -,- -,- -,- -,2664000000,2910000000,2737000000,2025000000,11204000000,349622000,284261000,326717000,328248000,462696000,695635000,1009582000,789746000,466093000,389076000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,353000,263000,324000,957000,256000,749000,- -,423000,370000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,464000000,482000000,430000000,- -,419000000,3363000,1714000,1578000,1351000,2248000,4866000,6515000,8621000,2584000,2512000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,392000000,405000000,391000000,222000000,5080000000,22795000,16215000,22221000,25378000,48526000,42666000,51436000,41002000,30767000,21578000
15,EBITDA,- -,- -,- -,- -,- -,3327000000,2928000000,3097000000,2034000000,8697000000,52297000,49397000,22854000,32568000,75644000,103914000,58842000,65330000,78377000,33089000
16,EBITDA ratio,- -,- -,- -,- -,- -,0.2479,0.2002,0.2274,0.2178,0.5831,0.1380,0.1558,0.0708,0.0909,0.1384,0.1302,0.0585,0.0803,0.1412,0.0841
17,Operating Income,- -,- -,- -,- -,- -,2935000000,2523000000,2904000000,2207000000,3710000000,29440000,32829000,-3841000,29905000,84001000,102420000,-3654000,23979000,88797000,4409000
18,Operating Income ratio,- -,- -,- -,- -,- -,0.2187,0.1725,0.2132,0.2364,0.2488,0.0777,0.1035,-0.0119,0.0835,0.1537,0.1283,-0.0036,0.0295,0.1600,0.0112
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,-3864000000,-3128000000,-628000000,-395000000,-1527000000,-3301000,-1361000,-1315000,-1956000,-7902000,11389000,-8661000,-2509000,-4843000,-4556000
20,Income Before Tax,- -,- -,- -,- -,- -,-929000000,-605000000,2276000000,1812000000,2183000000,26139000,31468000,-5156000,27949000,76099000,113809000,-12315000,21470000,83954000,-147000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-0.0692,-0.0414,0.1671,0.1941,0.1464,0.0690,0.0992,-0.0160,0.0780,0.1392,0.1426,-0.0122,0.0264,0.1513,-0.0004
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-929000000,-605000000,-708000000,-627000000,1062000000,46000,56000,-891000,1974000,10426000,37528000,2077000,7257000,15736000,3804000
23,Net Income,- -,- -,- -,- -,- -,- -,- -,2984000000,2439000000,2136000000,26093000,31412000,-54000,3865000,14444000,18854000,-1186000,8450000,29290000,5195000
24,Net Income ratio,- -,- -,- -,- -,- -,- -,- -,0.2191,0.2612,0.1432,0.0688,0.0991,-0.0002,0.0108,0.0264,0.0236,-0.0012,0.0104,0.0528,0.0132
25,EPS,- -,- -,- -,- -,- -,2.42,1.97,4.92,4.02,3.64,4.35,5.24,-0.01,0.63,1.26,1.20,-0.69,0.03,1.50,-0.17
26,EPS Diluted,- -,- -,- -,- -,- -,2.42,1.97,4.91,4.02,3.59,4.35,5.24,-0.01,0.53,1.11,1.19,-0.69,0.02,1.48,-0.17
27,Weighted Average Shares Outstanding,- -,- -,- -,- -,- -,674000,624000,607100000,607100000,587300000,6000000,6000000,6000000,6128000,11402000,13143000,13390000,14286000,14555000,15128000
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,- -,- -,675000,625000,608300000,607100000,594300000,6000000,6000000,6000000,6654000,12690000,13346000,13390000,14568000,14715000,15128000
29,SEC Link,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1339947/000119312508042040/0001193125-08-042040-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312509026502/0001193125-09-026502-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312510028165/0001193125-10-028165-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312510257767/0001193125-10-257767-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312511305888/0001193125-11-305888-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606268/000160626821000015/0001606268-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606268/000160626822000009/0001606268-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,920000000,792000000,298000000,837000000,1021000000,6559000,7189000,4359000,4474000,18960000,29419000,41002000,56664000,71684000,68899000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,920000000,792000000,298000000,837000000,1021000000,6559000,7189000,4359000,4474000,18960000,29419000,41002000,56664000,71684000,68899000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77590000,69472000,65028000,61776000,115115000,162475000,153424000,115667000,75403000,70495000
35,Inventory,- -,- -,- -,- -,- -,727000000,881000000,779000000,861000000,828000000,3723000,4322000,8032000,3665000,3752000,4470000,3878000,2954000,1496000,1982000
36,Other Current Assets,- -,- -,- -,- -,- -,3185000000,2829000000,3353000000,2851000000,3412000000,16374000,20308000,28570000,32765000,60156000,100374000,93676000,60843000,56291000,55304000
37,Total Current Assets,- -,- -,- -,- -,- -,4832000000,4502000000,4430000000,4549000000,5261000000,104246000,101291000,105989000,102680000,197983000,296738000,291980000,236128000,204874000,196680000
38,PP&E,- -,- -,- -,- -,- -,1195000000,1145000000,1179000000,1102000000,1057000000,9424000,4817000,4221000,4476000,4706000,8275000,4366000,3267000,3354000,4261000
39,Goodwill,- -,- -,- -,- -,- -,11375000000,11470000000,11401000000,11035000000,11064000000,- -,- -,- -,18379000,79147000,120154000,120343000,120343000,120343000,120343000
40,Intangible Assets,- -,- -,- -,- -,- -,684000000,674000000,570000000,467000000,392000000,- -,- -,1015000,7996000,27749000,43397000,26429000,17767000,5691000,5660000
41,Intangible Assets,- -,- -,- -,- -,- -,12059000000,12144000000,11971000000,11502000000,11456000000,- -,- -,1015000,26375000,106896000,163551000,146772000,138110000,126034000,126003000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24047000,23380000,55047000,24185000,27321000,29865000,27960000,23915000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5027000000,15608000,2965000,3125000,5323000,11536000,13200000,18299000,15598000,4445000,4417000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,13254000000,13289000000,13150000000,12604000000,17540000000,25032000,7782000,32408000,59554000,178185000,209211000,196758000,186840000,161793000,158596000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,18086000000,17791000000,17580000000,17153000000,22801000000,129278000,109073000,138397000,162234000,376168000,505949000,488738000,422968000,366667000,355276000
48,Accounts Payable,- -,- -,- -,- -,- -,496000000,574000000,248000000,210000000,427000000,44195000,36971000,39227000,31694000,56084000,82132000,72095000,49254000,28148000,43776000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,10000000,27500000,33000000,27806000,73370000,20943000,6936000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,406000000,442000000,323000000,256000000,187000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,4371000000,3826000000,3180000000,3032000000,3305000000,13102000,8671000,20589000,25541000,54602000,47952000,62920000,92701000,62513000,38716000
53,Total Current Liabilities,- -,- -,- -,- -,- -,5273000000,4842000000,3751000000,3498000000,3942000000,67297000,73142000,92816000,85041000,184056000,151027000,141951000,141955000,90661000,82492000
54,Long-Term Debt,- -,- -,- -,- -,- -,1563000000,1304000000,1169000000,1000000000,7342000000,- -,- -,- -,20931000,5000000,124801000,139500000,123000000,100000000,135000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000,- -,- -,- -,- -,938000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1351000000,679000,18000,21464000,22943000,62438000,27645000,26235000,712000,257000,145000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,1563000000,1304000000,1169000000,1000000000,8816000000,679000,18000,21464000,43874000,68376000,152446000,165735000,123712000,100257000,135145000
59,Other Liabilities,- -,- -,- -,- -,- -,19194000000,18949000000,19318000000,19598000000,19031000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,22904000000,22487000000,21900000000,22096000000,14157000000,67976000,73160000,114280000,128915000,252432000,303473000,307686000,265667000,190918000,217637000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41173000,90758000,90015000,87288000,87288000
63,Common Stock,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,1000000,- -,- -,138000,139000,168000,348000,351000,354000,357000,359000
64,Retained Earnings,- -,- -,- -,- -,- -,3407000000,4658000000,6106000000,6775000000,8418000000,- -,- -,-775000,-1366000,4711000,11008000,1307000,1074000,11721000,776000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,126000000,-87000000,35000000,-114000000,-164000000,-2536000,- -,- -,- -,11000,-11000,2000,-40000,-40000,-40000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,3578000000,2461000000,2562000000,2621000000,389000000,- -,- -,9296000,12565000,25413000,24903000,44146000,49831000,52816000,52257000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,7111000000,7033000000,8704000000,9283000000,8644000000,61302000,35913000,8659000,11338000,30303000,77421000,136564000,141234000,152142000,140640000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,30015000000,29520000000,30604000000,31379000000,22801000000,129278000,109073000,122939000,140253000,282735000,380894000,444250000,406901000,343060000,358277000
69,Minority Interest,- -,- -,- -,- -,- -,-11929000000,-11729000000,-13024000000,-14226000000,- -,- -,- -,15458000,21981000,93433000,125055000,44488000,16067000,23607000,-3001000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,18086000000,17791000000,17580000000,17153000000,22801000000,129278000,109073000,138397000,162234000,376168000,505949000,488738000,422968000,366667000,355276000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1339947/000119312508042040/0001193125-08-042040-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312509026502/0001193125-09-026502-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312510028165/0001193125-10-028165-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312510257767/0001193125-10-257767-index.htm,https://www.sec.gov/Archives/edgar/data/1339947/000119312511305888/0001193125-11-305888-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1606268/000160626821000015/0001606268-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1606268/000160626822000009/0001606268-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,2984000000,2439000000,2136000000,26093000,31412000,-54000,3865000,14444000,18854000,-1186000,8450000,29290000,5195000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,392000000,405000000,391000000,222000000,5080000000,22795000,16215000,22221000,25378000,48526000,42666000,51436000,41002000,30767000,21578000
75,Deferred Income Tax,- -,- -,- -,- -,- -,33000000,14000000,87000000,-119000000,-376000000,- -,- -,-1064000,1340000,3382000,6317000,-2328000,-6929000,1905000,4045000
76,Stock Based Compensation,- -,- -,- -,- -,- -,85000000,99000000,102000000,80000000,128000000,- -,- -,858000,3181000,5242000,5058000,5879000,5487000,2503000,3448000
77,Change in Working Capital,- -,- -,- -,- -,- -,-36000000,101000000,1019000000,372000000,268000000,-1282051000,-2907851000,-1303827000,-786361000,-836073000,-1902289000,4318000,-55856000,20040000,-8352000
78,Accounts Receivable,- -,- -,- -,- -,- -,-367000000,279000000,-950000000,410000000,-292000000,4232000,19707000,-5720000,7268000,-12206000,-33820000,3551000,24225000,34940000,4463000
79,Inventory,- -,- -,- -,- -,- -,-3809000000,-4731000000,-4048000000,-3251000000,-4538000000,3442000,-599000,-3711000,4544000,542000,-718000,674000,924000,1458000,-486000
80,Accounts Payable,- -,- -,- -,- -,- -,-34000000,-278000000,-520000000,-404000000,-127000000,-12689000,-7224000,2466000,-12363000,15289000,14882000,8143000,-10075000,-37481000,-10548000
81,Other Working Capital,- -,- -,- -,- -,- -,-441000000,-340000000,679000000,1051000000,1319000000,36949000,28149000,13173000,17639000,13927000,145711000,150029000,94173000,114213000,-1415000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1302000000,-619000000,-4583000000,-2994000000,-4592000000,1277239000,2904704000,1287740000,798528000,832272000,1893306000,1644000,99581000,7326000,-13212000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1776000000,- -,- -,- -,2644000000,44076000,44480000,5874000,45931000,67793000,63912000,59763000,91735000,91831000,12702000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155000000,-2220000,-1481000,-3040000,-1766000,-2258000,-1704000,-1429000,-7033000,-2154000,-6510000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-133000000,-63000000,-72000000,- -,- -,- -,-40177000,-34086000,-96053000,-17552000,8431000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2450000000,- -,- -,- -,-330000,-1102000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,248000000,-571000000,-141000000,-105000000,2450000000,577000,- -,- -,330000,1102000,- -,- -,-5913000,- -,-3797000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,248000000,-571000000,-274000000,-168000000,-227000000,-1643000,-1481000,-3040000,-41943000,-36344000,-97757000,-18981000,1398000,-2154000,-6510000
90,Debt Repayment,- -,- -,- -,- -,- -,-55000000,- -,- -,-276000000,-776000000,-68528000,-62500000,-44050000,-49826000,-66652000,-152939000,-416472000,-374536000,-635000000,-739000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50220000,- -,13995000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2450000000,- -,- -,- -,-432000,-1183000,-5102000,-2895000,-1348000,-395000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-170000000,- -,- -,-91000000,-417000000,- -,- -,-721000,-4456000,-8367000,-11625000,-16797000,-18488000,-18455000,-18791000
94,Other Financing Activites,- -,- -,- -,- -,- -,-1606000000,-1555000000,-1388000000,-69000000,1416000000,28624000,20131000,-11113000,50841000,45244000,213970000,415601000,309269000,578189000,755235000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-1831000000,-1555000000,-1388000000,-436000000,-2227000000,-39904000,-42369000,-5664000,-3873000,-16963000,44304000,-20563000,-85103000,-75661000,-2556000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,215000000,-128000000,-494000000,539000000,184000000,2529000,630000,-2830000,115000,14486000,10459000,20219000,8030000,14016000,3636000
98,Cash at the End of Period,- -,- -,- -,- -,- -,920000000,792000000,298000000,837000000,1021000000,6559000,7189000,4359000,4474000,18960000,29419000,49638000,57668000,71684000,75320000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,705000000,920000000,792000000,298000000,837000000,4030000,6559000,7189000,4359000,4474000,18960000,29419000,49638000,57668000,71684000
100,Free Cash Flow,- -,- -,- -,- -,- -,1776000000,- -,- -,- -,2489000000,41856000,42999000,2834000,44165000,65535000,62208000,58334000,84702000,89677000,6192000
