,https://roic.ai/company/CLPR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,47772000,84604000,93005000,103952000,109997000,116165000,122850000,122729000
2,COGS,26233000,38209000,43182000,47714000,49560000,53853000,58188000,- -
3,Gross Profit,21539000,46395000,49823000,56238000,60437000,62312000,64662000,122729000
4,Gross Profit Ratio,0.4509,0.5484,0.5357,0.5410,0.5494,0.5364,0.5263,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2358000,5296000,8405000,9944000,9873000,9167000,9728000,10570000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2358000,5296000,8405000,9944000,9873000,9167000,9728000,10570000
9,Other Expenses,4472000,12521000,15295000,16721000,18005000,19649000,23630000,85268000
10,Operating Expenses,6830000,17817000,23700000,26665000,27878000,28816000,33358000,95838000
11,COGS and Expenses,33063000,56026000,66882000,74379000,77438000,82669000,91546000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),9145000,36703000,38136000,35505000,32781000,35187000,40228000,-41284000
14,Depreciation and Amortization,4034000,11662000,13502000,15540000,16765000,18956000,23148000,26243000
15,EBITDA,18417000,43310000,47903000,48688000,45913000,52478000,58470000,-35059000
16,EBITDA ratio,0.3855,0.5119,0.5151,0.4684,0.4174,0.4518,0.4759,-0.2857
17,Operating Income,14383000,28503000,25797000,29504000,32458000,33496000,32142000,24161000
18,Operating Income ratio,0.3011,0.3369,0.2774,0.2838,0.2951,0.2883,0.2616,0.1969
19,Total Other Income Expenses (Gains),-9145000,-36703000,-38136000,-35505000,-41459000,-37619000,-44371000,-44179000
20,Income Before Tax,5238000,-8200000,-12339000,-6001000,-9001000,-4123000,-12229000,-20018000
21,Income Before Tax Ratio,0.1096,-0.0969,-0.1327,-0.0577,-0.0818,-0.0355,-0.0995,-0.1631
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,5238000,-5055000,-3735000,-2357000,-3633000,-1665000,-4906000,-20018000
24,Net Income ratio,0.1096,-0.0597,-0.0402,-0.0227,-0.0330,-0.0143,-0.0399,-0.1631
25,EPS,0.28,-0.08,-0.20,-0.15,-0.22,-0.11,-0.31,-0.51
26,EPS Diluted,0.28,-0.08,-0.20,-0.15,-0.22,-0.11,-0.31,-0.51
27,Weighted Average Shares Outstanding,18422606,17012755,18422606,17021000,17813000,17814000,17629000,16063000
28,Weighted Average Shares Outstanding Diluted,18422606,17012755,18422606,43338000,44130000,17814000,17629000,16063000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1649096/000143774917007611/0001437749-17-007611-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774918004608/0001437749-18-004608-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774919004331/0001437749-19-004331-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774920004934/0001437749-20-004934-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774921006192/0001437749-21-006192-index.htm,https://www.sec.gov/Archives/edgar/data/1649096/000143774922006301/0001437749-22-006301-index.htm
30,BALANCE SHEET, , , , , , , , 
