,https://roic.ai/company/TSEM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,57700000,99600000,97900000,125900000,69600000,69800000,104800000,52400000,51800000,61400000,126100000,102000000,187400000,230900000,251700000,298800000,509300000,611000000,638800000,505000000,828000000,960561000,1249634000,1387310000,1304034000,1234003000,1265684000,1508166000
2,COGS,39400000,59900000,75700000,89600000,76800000,77000000,88600000,76700000,67000000,122400000,228400000,238400000,267400000,284800000,298700000,325300000,402100000,526200000,560000000,476900000,764200000,755196000,946534000,1033005000,1011087000,1004332000,1032366000,1179048000
3,Gross Profit,18300000,39700000,22200000,36300000,-7200000,-7200000,16200000,-24300000,-15200000,-61000000,-102300000,-136400000,-80000000,-53900000,-47000000,-26500000,107200000,84800000,78800000,28100000,63800000,205365000,303100000,354305000,292947000,229671000,233318000,329118000
4,Gross Profit Ratio,0.3172,0.3986,0.2268,0.2883,-0.1034,-0.1032,0.1546,-0.4637,-0.2934,-0.9935,-0.8113,-1.3373,-0.4269,-0.2334,-0.1867,-0.0887,0.2105,0.1388,0.1234,0.0556,0.0771,0.2138,0.2426,0.2554,0.2246,0.1861,0.1843,0.2182
5,Research and Development Exp.,- -,- -,4100000,7300000,8100000,9200000,9000000,9600000,17000000,20700000,17100000,16000000,15000000,13800000,15000000,23400000,23900000,24900000,31100000,33100000,51800000,61669000,63134000,67664000,73053000,75579000,78320000,85386000
6,General and Administrative Exp.,- -,- -,7000000,8600000,8700000,8700000,11600000,14500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4000000,7900000,8400000,9000000,8700000,8710000,9915000,14489000,17091000,22615000,21297000,17418000,24512000,31604000,33223000,31943000,39986000,48239000,44413000,42916000,58783000,62793000,65439000,66799000,64951000,67376000,63965000,77221000
9,Other Expenses,3500000,8400000,17600000,23600000,-0,26681000,1628000,-44000,31000,9000,-47000,29000,80055000,-10000,-31000,-25000,-24000,-14000,-7000,-36000,41000,- -,- -,-0,-0,0,- -,- -
