,https://roic.ai/company/RGLS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,8601000,13789000,12700000,19569000,7669000,20759000,1194000,72000,72000,6832000,10006000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,8601000,13789000,12700000,19569000,7669000,20759000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,20178000,17289000,20342000,29942000,41046000,56387000,64305000,53192000,33975000,12349000,15347000,17794000
6,General and Administrative Exp.,- -,- -,4932000,7429000,11533000,19130000,18391000,17011000,12860000,11317000,8814000,10022000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,4932000,7429000,11533000,19130000,18391000,17011000,12860000,11317000,8814000,10022000
9,Other Expenses,3921000,3637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,24099000,20926000,25274000,37371000,52579000,75517000,82696000,70203000,46835000,23666000,24161000,27816000
11,COGS and Expenses,24099000,20926000,25274000,37371000,52579000,75517000,82696000,70203000,46835000,23666000,24161000,27816000
12,Interest Income ,271000,128000,110000,292000,388000,855000,844000,752000,459000,374000,233000,864000
13,Interest Expense (Gain),362000,388000,247000,36000,39000,52000,1182000,2723000,2343000,2131000,1808000,855000
14,Depreciation and Amortization,494000,911000,1017000,1360000,1490000,1591000,2276000,2524000,2262000,931000,467000,459000
15,EBITDA,-14733000,-6097000,-16154000,-17295000,-55150000,-54123000,-78382000,-66855000,-44042000,-15529000,-13455000,-26493000
16,EBITDA ratio,-1.7129,-0.4422,-1.2720,-0.8838,-7.1913,-2.6072,-65.6466,-928.5417,-611.6944,-2.2730,-1.3447,-Infinity
17,Operating Income,-15498000,-7137000,-12574000,-17802000,-44910000,-54758000,-81502000,-70131000,-46763000,-16834000,-14155000,-27816000
18,Operating Income ratio,-1.8019,-0.5176,-0.9901,-0.9097,-5.8560,-2.6378,-68.2596,-974.0417,-649.4861,-2.4640,-1.4147,-Infinity
19,Total Other Income Expenses (Gains),-91000,-259000,-4844000,-889000,-11769000,-1008000,-338000,-1971000,-1884000,-1757000,-1575000,9000
20,Income Before Tax,-15589000,-7396000,-17418000,-18691000,-56679000,-55766000,-81840000,-72102000,-48647000,-18591000,-15730000,-27807000
21,Income Before Tax Ratio,-1.8125,-0.5364,-1.3715,-0.9551,-7.3907,-2.6864,-68.5427,-1001.4167,-675.6528,-2.7212,-1.5721,-Infinity
22,Income Tax expense (Gain),-30000,206000,-10000,-23000,1000,-18000,-4000,-197000,62000,1000,- -,1000
23,Net Income,-15559000,-7602000,-17408000,-18668000,-56680000,-55748000,-81836000,-71905000,-48709000,-18592000,-15730000,-27808000
24,Net Income ratio,-1.8090,-0.5513,-1.3707,-0.9540,-7.3908,-2.6855,-68.5394,-998.6806,-676.5139,-2.7213,-1.5721,-Infinity
25,EPS,-727.40,-5.88,-25.44,-5.88,-15.48,-12.96,-18.60,-11.52,-5.59,-1.08,-0.45,-0.00
26,EPS Diluted,-727.40,-5.88,-25.44,-5.88,-15.48,-12.96,-18.60,-11.52,-5.59,-1.08,-0.45,-0.00
27,Weighted Average Shares Outstanding,21390,1265407,684375,3206607,3674165,4284262,4401105,6269205,8718563,17260176,34977378,87042437
28,Weighted Average Shares Outstanding Diluted,21390,1265407,684375,3206607,3674165,4284262,4401105,6269205,8718563,17260176,34977378,87042437
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1505512/000119312513065164/0001193125-13-065164-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000119312514074001/0001193125-14-074001-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000119312515052948/0001193125-15-052948-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828016011521/0001628280-16-011521-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828017002123/0001628280-17-002123-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828018002874/0001628280-18-002874-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828019003037/0001628280-19-003037-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828020003483/0001628280-20-003483-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828021004294/0001628280-21-004294-index.htm,https://www.sec.gov/Archives/edgar/data/1505512/000162828022005771/0001628280-22-005771-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,9175000,40552000,17807000,37327000,15960000,14941000,13519000,13935000,34121000,31087000,60383000
32,Short-Term Investments,- -,28969000,57548000,96198000,122416000,98103000,61170000,46555000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,38144000,98100000,114005000,159743000,114063000,76111000,60074000,13935000,34121000,31087000,60383000
34,Net Receivables,- -,- -,- -,79000,274000,10021000,1657000,373000,26000,1141000,503000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,5552000,4783000,- -,- -,- -,- -
36,Other Current Assets,- -,522000,829000,3098000,4934000,10174000,4154000,1506000,5334000,5145000,5140000,4852000
