,https://roic.ai/company/CHUY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,69394000,94908000,130583000,172640000,204361000,245101000,287062000,330613000,369589000,398200000,426357000,320952000,396467000
2,COGS,54178000,75966000,36139000,46475000,55894000,69159000,75686000,85542000,225116000,101946000,110152000,79033000,210098000
3,Gross Profit,15216000,18942000,94444000,126165000,148467000,175942000,211376000,245071000,144473000,296254000,316205000,241919000,186369000
4,Gross Profit Ratio,0.2193,0.1996,0.7232,0.7308,0.7265,0.7178,0.7363,0.7413,0.3909,0.7440,0.7416,0.7538,0.4701
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6290000,7252000,79572000,8039000,8709000,114064000,133237000,155842000,44303000,199460000,209560000,19463000,55880000
7,Selling and Marketing Exp.,533000,655000,964000,1319000,1306000,1719000,2249000,2390000,2756000,3929000,5555000,2732000,4360000
8,"Selling, General and Administrative Exp.",6823000,7907000,80536000,9358000,10015000,115783000,135486000,158232000,47059000,203389000,215115000,22195000,60240000
9,Other Expenses,1549000,2732000,4448000,1547000,97150000,44207000,57141000,62498000,75255000,89597000,97654000,2732000,81545000
10,Operating Expenses,8372000,10639000,84984000,10905000,107165000,159990000,192627000,220730000,122314000,292986000,312769000,24927000,141785000
11,COGS and Expenses,62550000,86605000,121123000,159344000,188987000,229149000,268313000,306272000,347430000,394932000,422921000,329496000,351883000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3114000,3584000,4362000,3923000,109000,124000,110000,63000,65000,83000,122000,-257000,144000
14,Depreciation and Amortization,1549000,2732000,4448000,6528000,8858000,10310000,12827000,15081000,17560000,19804000,21756000,29264000,29771000
15,EBITDA,8393000,11035000,13908000,18151000,24232000,26262000,31576000,39422000,41081000,23072000,25192000,20206000,64173000
16,EBITDA ratio,0.1209,0.1163,0.1065,0.1051,0.1186,0.1071,0.1100,0.1192,0.1112,0.0579,0.0591,0.0630,0.1619
17,Operating Income,6844000,8303000,9460000,13296000,15374000,15952000,18749000,24341000,23521000,3268000,3436000,-8544000,34402000
18,Operating Income ratio,0.0986,0.0875,0.0724,0.0770,0.0752,0.0651,0.0653,0.0736,0.0636,0.0082,0.0081,-0.0266,0.0868
19,Total Other Income Expenses (Gains),-3114000,-3584000,-4362000,-5596000,-109000,-124000,-110000,-63000,-65000,-83000,-122000,-257000,-144000
20,Income Before Tax,3730000,4719000,5098000,7700000,15265000,15828000,18639000,24278000,23456000,3185000,3314000,-8801000,34258000
21,Income Before Tax Ratio,0.0538,0.0497,0.0390,0.0446,0.0747,0.0646,0.0649,0.0734,0.0635,0.0080,0.0078,-0.0274,0.0864
22,Income Tax expense (Gain),1077000,1428000,1634000,2243000,4196000,4337000,5743000,7034000,-5500000,-2354000,-2901000,- -,4082000
23,Net Income,2653000,3291000,3464000,5457000,11069000,11491000,12896000,17244000,28956000,5539000,6215000,-8801000,30176000
24,Net Income ratio,0.0382,0.0347,0.0265,0.0316,0.0542,0.0469,0.0449,0.0522,0.0783,0.0139,0.0146,-0.0274,0.0761
25,EPS,13.16,16.32,0.32,0.48,0.68,0.70,0.78,1.03,1.71,0.33,0.37,-0.18,1.52
26,EPS Diluted,0.26,0.32,0.30,0.37,0.66,0.69,0.77,1.02,1.70,0.32,0.37,-0.18,1.50
27,Weighted Average Shares Outstanding,201634,201634,10848418,6809576,16276999,16427732,16470278,16676073,16894986,16931589,16728955,18396335,19913355
28,Weighted Average Shares Outstanding Diluted,10219778,10219778,11460331,12893290,16677387,16709471,16739387,16887882,17003233,17062347,16824395,18396335,20100811
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524931/000119312513132302/0001193125-13-132302-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493114000041/0001524931-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493115000055/0001524931-15-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493116000122/0001524931-16-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493117000030/0001524931-17-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493118000024/0001524931-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493119000023/0001524931-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493120000023/0001524931-20-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493121000010/0001524931-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1524931/000152493122000005/0001524931-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2062000,3337000,2827000,5900000,5300000,3815000,8529000,13694000,8785000,8199000,10074000,86817000,106621000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2062000,3337000,2827000,5900000,5300000,3815000,8529000,13694000,8785000,8199000,10074000,86817000,106621000
34,Net Receivables,1400000,4554000,2547000,4800000,2600000,5086000,4861000,7337000,10272000,4254000,1676000,1507000,2894000
35,Inventory,306000,413000,617000,600000,700000,926000,1194000,1451000,1605000,1541000,1657000,1449000,1676000
36,Other Current Assets,911000,954000,1034000,1700000,2500000,3087000,2639000,5207000,5924000,3736000,3376000,4788000,3273000
