,https://roic.ai/company/OBLG,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,4100000,7000000,- -,49900000,58000000,35500000,56033239,88916234,82748077,10310744,15995177,17735000,19511000,22792000,24537000,26540000,27550000,27806000,29070000,33454000,32156000,25541000,19218000,14799000,12557000,12827000,15333000,7739000
2,COGS,- -,2600000,4200000,- -,22600000,24500000,24700000,36347582,62082781,61621273,10061881,12842471,14984000,13583000,15212000,14337000,19314000,19615000,16738000,9513000,19504000,18294000,14844000,11682000,8606000,7598000,7427000,7280000,7757000
3,Gross Profit,- -,1500000,2800000,- -,27300000,33500000,10800000,19685657,26833453,21126804,248863,3152706,2751000,5928000,7580000,10200000,7226000,7935000,11068000,19557000,13950000,13862000,10697000,7536000,6193000,4959000,5400000,8053000,-18000
4,Gross Profit Ratio,- -,0.3659,0.4000,- -,0.5471,0.5776,0.3042,0.3513,0.3018,0.2553,0.0241,0.1971,0.1551,0.3038,0.3326,0.4157,0.2723,0.2880,0.3980,0.6728,0.4170,0.4311,0.4188,0.3921,0.4185,0.3949,0.4210,0.5252,-0.0023
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261485,1433013,1242000,816000,810000,1063000,- -,- -,- -,- -,662000,1019000,1350000,1117000,1148000,921000,2023000,3711000,2913000
6,General and Administrative Exp.,- -,1400000,1900000,- -,25600000,28500000,17100000,18672586,37519090,- -,- -,- -,- -,- -,- -,8634000,4465000,5330000,5656000,13888000,8058000,5643000,5416000,5206000,3665000,4611000,5377000,6724000,6363000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3710000,3193000,4142000,3506000,4180000,3812000,3307000,2047000,664000,413000,319000,1936000,3392000,2195000
8,"Selling, General and Administrative Exp.",- -,1400000,1900000,- -,25600000,28500000,17100000,18672586,37519090,33856776,11866582,16520563,18148000,13619000,11391000,12344000,7658000,9472000,9162000,18068000,11870000,8950000,7463000,5870000,4078000,4930000,7313000,10116000,8558000
9,Other Expenses,- -,- -,100000,- -,1200000,3000000,600000,3270691,2683647,41369920,1379415,- -,14610000,13565000,14799000,14593000,17342000,20528000,17838000,11932000,22468000,23031000,17187000,14013000,11774000,13149000,10664000,3140000,3041000
