,https://roic.ai/company/HIVE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7844334,16357296,29405408,100418277
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7094202,54118060,27008461,28110145
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750132,-37760764,2396947,72308132
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0956,-2.3085,0.0815,0.7201
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,157774,78530,76659,189136,187218,138113,183808,109274,90357,46182,7097409,5189179,5329228,5731433
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1306065,679505,95848,466429
8,"Selling, General and Administrative Exp.",157774,78530,76659,189136,187218,138113,183808,109274,90357,46182,8403474,5868684,5425076,6197862
9,Other Expenses,16,10,26,- -,- -,10211,10769,8575,6313,8802,- -,- -,- -,- -
10,Operating Expenses,157790,78540,76685,189136,187218,148324,194577,117849,96670,54984,8403474,5868684,5425076,6197862
11,COGS and Expenses,157790,78540,76685,189136,187218,148324,194577,117849,96670,54984,15497676,59986744,32433537,34308007
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),113470,129648,202711,276144,395983,320190,387442,414854,539858,470390,- -,- -,418888,1214224
14,Depreciation and Amortization,16,10,26,- -,- -,- -,- -,- -,- -,- -,3197911,29324286,6301146,10669991
15,EBITDA,-157774,-78530,-76659,-189136,-187218,-148324,-194577,-117849,-96670,-54984,-22817525,-108704834,5887953,54575265
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.9088,-6.6456,0.2002,0.5435
17,Operating Income,-157790,-78540,-76685,-189136,-583201,-148324,-194577,-117849,-96670,-54984,-7653342,-43629448,-3028129,66110270
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.9757,-2.6673,-0.1030,0.6583
19,Total Other Income Expenses (Gains),-113470,-129648,-202711,-59833,- -,-320190,-387442,-414854,-532913,-470391,-17915342,-94399672,2196048,-23419220
20,Income Before Tax,-271260,-208187,-279397,-248969,-583201,-468513,-582020,-532703,-629583,-525375,-25568684,-138029120,-832081,42691050
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.2595,-8.4384,-0.0283,0.4251
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000,-227000,830742,151366
23,Net Income,-271260,-208187,-279397,-248969,-583201,-468513,-582020,-532703,-629583,-525375,-26242436,-137802120,-1662823,42539684
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.3454,-8.4245,-0.0565,0.4236
25,EPS,-0.21,-0.16,-0.22,-0.20,-0.19,-0.05,-0.03,-0.02,-0.02,-0.01,-0.14,-0.44,-0.01,0.12
26,EPS Diluted,-0.21,-0.16,-0.22,-0.20,-0.19,-0.05,-0.03,-0.02,-0.02,-0.01,-0.14,-0.44,-0.01,0.12
27,Weighted Average Shares Outstanding,1257389,1257389,1257389,1257380,3068732,10079133,20999681,31079133,31457056,47419955,191047744,314578994,326895000,347059039
28,Weighted Average Shares Outstanding Diluted,1257389,1257389,1257389,1257380,3068732,10079133,20999681,31079133,31457056,47419955,191047744,314578994,326895000,366447402
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,219,82,1715,3232,7067,2019,8,186,1684,30852,14729290,6810471,5130127,40290513
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7754307,6173065,3455756,981736
33,Cash and Short-Term Investments,219,82,1715,3232,7067,2019,8,186,1684,30852,22483597,12983536,8585883,41272249
34,Net Receivables,4471,3057,2848,17628,5973,20856,22053,2479,1980,1249,25326833,2437911,9104330,6845611
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1214,990,1226,1286,1253,1229,1131,986,963,- -,275010,233491,644519,59422218
37,Total Current Assets,5904,4129,5789,22146,14293,24103,23192,3651,4627,32101,48085440,15654938,18334732,107540078
38,PP&E,38,21,98384,33491,62694,159762,169670,147933,144487,445888,57086779,9798956,8890126,24653831
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2307303,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2307303,- -,604070
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,97438,79427,- -,- -,- -,- -,- -,- -,- -,- -,56195640,- -,1879505,45532751
45,Total Non-Current Assets,97476,79449,98384,33491,62694,159762,169670,147933,144487,445888,113282419,12106259,10769631,70790652
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,103380,83578,104173,55637,76986,183866,192862,151585,149114,477989,161367859,27761197,29104363,178330730
48,Accounts Payable,1185569,1165358,1694991,2202743,1543376,1778472,1983494,2145508,2436584,2511031,- -,- -,2130175,3478137
49,Short-Term Debt,284815,240731,326733,335979,276587,273392,216210,238101,492372,116953,- -,2827024,4281531,6306903
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,830742,73085
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,149463,121836,150914,2600,2533,2484,104572,62719,78082,43217,10034134,2985648,830742,73085
53,Total Current Liabilities,1619846,1527925,2172639,2541322,1822497,2054348,2304276,2446328,3007038,2671201,10034134,5812672,7242448,9858125
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775480,24581261
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9418331
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227000,- -,775480,33999592
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2343938,3063839
61,Total Liabilities,1619846,1527925,2172639,2541322,1822497,2054348,2304276,2446328,3007038,2671201,10261134,5812672,8017928,43857717
