,https://roic.ai/company/VHC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2500000,2242544,785156,595353,413639,219384,199517,213014,191287,74866,133744,26306,68185,20000,412000,2197000,1249000,1555000,1550000,1547000,63000,85000,302636000
2,COGS,- -,100000,167486,150059,272219,149533,- -,- -,- -,- -,- -,- -,- -,59206774,- -,- -,- -,6100000,5265000,884000,- -,- -,- -,90101000
3,Gross Profit,- -,2400000,2075058,635097,323134,264106,219384,199517,213014,191287,74866,133744,26306,-59138589,20000,412000,2197000,-4851000,-3710000,666000,1547000,63000,- -,212535000
4,Gross Profit Ratio,- -,0.9600,0.9253,0.8089,0.5428,0.6385,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,-867.3255,1.0000,1.0000,1.0000,-3.8839,-2.3859,0.4297,1.0000,1.0000,- -,0.7023
5,Research and Development Exp.,- -,900000,1625599,878758,- -,- -,- -,- -,- -,- -,684316,845324,864058,2412109,1464000,1555000,1782000,2004000,2277000,2499000,2674000,4815000,3845000,8830000
6,General and Administrative Exp.,- -,- -,2963527,1922826,387379,- -,- -,- -,- -,- -,- -,11510008,12250073,33764222,- -,37718000,29002000,28310000,23190000,- -,- -,- -,- -,2
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2963527,1922826,387379,- -,- -,- -,- -,- -,- -,11510008,12250073,33764222,- -,37718000,29002000,28310000,23190000,- -,- -,- -,- -,2
9,Other Expenses,- -,2400000,77828,43466,7543,304157,147513,136148,135403,144365,8040894,- -,- -,-200000000,15932000,- -,- -,- -,- -,26672000,16194000,20705000,15905000,45811998
10,Operating Expenses,- -,3300000,4666954,2845050,394922,304157,147513,136148,135403,144365,8725210,12355332,13114131,-163823669,17396000,39273000,30784000,30314000,25467000,29171000,18868000,25520000,19750000,54642000
11,COGS and Expenses,- -,3400000,4834440,2995109,667141,453690,147513,136148,135403,144365,8725210,12355332,13114131,-104616895,17396000,39273000,30784000,36414000,30732000,30055000,18868000,25520000,19750000,144743000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5074,1310048,228000,329000,122000,40000,68000,69000,46000,54000,92000,108288000
13,Interest Expense (Gain),- -,- -,- -,1286,- -,- -,- -,- -,- -,- -,41820,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,100000,77828,43466,7543,2228,- -,- -,703,836,18609,68623,63113,59066,68000,71000,36000,25000,26000,28000,26000,18000,7000,5000
15,EBITDA,- -,-400000,-2386239,-2568349,-1299411,-34865,76690,67524,121227,61254,-8631735,-12003557,-13019638,75538395,-22675000,-39388000,-26821000,-9862000,-29200000,-28408000,-17249000,-25385000,-19566000,307457000
16,EBITDA ratio,- -,-0.1600,-1.0641,-3.2711,-2.1826,-0.0843,0.3496,0.3384,0.5691,0.3202,-115.2958,-89.7502,-494.9304,1107.8448,-1133.7500,-95.6019,-12.2080,-7.8959,-18.7781,-18.3277,-11.1500,-402.9365,-230.1882,1.0159
17,Operating Income,- -,-900000,-2591896,-2209953,-71788,-40051,71871,63369,77611,46922,-8650344,-12221588,-13087825,104685080,-17376000,-38861000,-28587000,-12165000,-29177000,-28505000,-17321000,-25457000,-19665000,157893000
18,Operating Income ratio,- -,-0.3600,-1.1558,-2.8147,-0.1206,-0.0968,0.3276,0.3176,0.3643,0.2453,-115.5444,-91.3805,-497.5224,1535.3095,-868.8000,-94.3228,-13.0118,-9.7398,-18.7633,-18.3903,-11.1965,-404.0794,-231.3529,0.5217
19,Total Other Income Expenses (Gains),- -,300000,119941,-1601598,-1213810,- -,3488,4155,42913,13496,- -,- -,- -,-29205751,-5367000,-598000,1730000,2278000,-49000,69000,46000,54000,92000,149559000
20,Income Before Tax,- -,- -,- -,- -,-1285598,- -,75359,67524,120524,60418,- -,- -,- -,75479329,-22743000,-39459000,-26857000,-9887000,-29226000,-28436000,-17275000,-25403000,-19573000,307452000
21,Income Before Tax Ratio,- -,- -,- -,- -,-2.1594,- -,0.3435,0.3384,0.5658,0.3159,- -,- -,- -,1106.9785,-1137.1500,-95.7743,-12.2244,-7.9159,-18.7949,-18.3458,-11.1668,-403.2222,-230.2706,1.0159
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,6658,2400,- -,- -,- -,- -,- -,34062436,-5480000,-12535000,751000,15000,8000,133000,3000,3000,-393000,27023000
23,Net Income,- -,-500000,-2464067,-2613101,-1306954,-37093,70032,65124,120524,60418,-8692164,-12072180,-13082751,41416893,-17263000,-26924000,-27608000,-9902000,-29234000,-28569000,-17278000,-25406000,-19180000,280429000
24,Net Income ratio,- -,-0.2000,-1.0988,-3.3281,-2.1953,-0.0897,0.3192,0.3264,0.5658,0.3159,-116.1030,-90.2633,-497.3295,607.4194,-863.1500,-65.3495,-12.5662,-7.9279,-18.8000,-18.4316,-11.1687,-403.2698,-225.6471,0.9266
25,EPS,- -,-0.42,-0.42,-1.86,-0.84,-0.03,0.03,0.03,0.06,0.03,-0.36,-0.35,-0.35,0.91,-0.35,-0.53,-0.54,-0.19,-0.56,-0.51,-0.30,-0.40,-0.28,3.96
26,EPS Diluted,- -,-0.42,-0.42,-1.86,-0.84,-0.03,0.03,0.03,0.06,0.03,-0.36,-0.35,-0.35,0.84,-0.35,-0.53,-0.54,-0.19,-0.56,-0.51,-0.30,-0.40,-0.28,3.92
27,Weighted Average Shares Outstanding,- -,1190476,1113332,1315462,1539131,1665798,1665798,1665798,1665798,1665798,24312287,34875471,37911340,45452550,50028413,50934266,51188006,51570472,52384494,55984825,58354397,62985763,68564321,70850311
28,Weighted Average Shares Outstanding Diluted,- -,1190476,1203704,1315462,1539131,1665798,1665798,1665798,1665798,1665798,24312287,34875471,37911340,49066704,50028413,50934266,51188006,51570472,52384494,55984825,58354397,62985763,68564321,71615843
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1082324/000108232402000001/0001082324-02-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232403000002/0001082324-03-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232404000001/0001082324-04-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232405000001/0001082324-05-000001-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232406000003/0001082324-06-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000108232407000003/0001082324-07-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000089161808000194/0000891618-08-000194-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000136231009004649/0001362310-09-004649-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000101968710001194/0001019687-10-001194-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036111017128/0001140361-11-017128-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036112011924/0001140361-12-011924-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036113010115/0001140361-13-010115-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036114010413/0001140361-14-010413-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036115009713/0001140361-15-009713-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000156761916002021/0001567619-16-002021-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000156761917000463/0001567619-17-000463-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036118013886/0001140361-18-013886-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036119005116/0001140361-19-005116-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036120005863/0001140361-20-005863-index.htm,https://www.sec.gov/Archives/edgar/data/1082324/000114036121008678/0001140361-21-008678-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,1661708,254369,152148,98901,189053,190048,268271,306115,8589447,457155,2011470,34634533,49482000,19661000,19173000,18658000,8726000,6627000,3135000,7611000,3135000,192908000
32,Short-Term Investments,- -,- -,- -,198541,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14438000,26493000,19815000,22571000,9954000,9249000,1453000,1803000,2394000,28348000
33,Cash and Short-Term Investments,- -,200000,1661708,452910,152148,98901,189053,190048,268271,306115,8589447,457155,2011470,34634533,63920000,46154000,38988000,41229000,18680000,15876000,4588000,9414000,5529000,221256000
34,Net Receivables,- -,300000,1175751,157381,43855,32842,26470,26398,17501,14018,5860,1154,6842,2691,- -,- -,- -,- -,- -,- -,- -,6000,5000,8000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,100000,75753,30867,- -,- -,- -,- -,- -,- -,399201,189847,43863,45278588,10550000,15077000,357000,653000,685000,588000,591000,718000,237000,3168000
37,Total Current Assets,- -,600000,2913212,641158,196003,131743,215523,216446,285772,320133,8994508,648156,2062175,79915812,74470000,61231000,39345000,41882000,19365000,16464000,5179000,10138000,5771000,224432000
38,PP&E,- -,100000,241003,12784,5847,4242,- -,- -,1826,1642,32658,32565,23430,25464,56000,70000,53000,64000,48000,33000,7000,9000,16000,11000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,204000,156000,108000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,204000,156000,108000,60000,12000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,- -,- -,- -,- -,- -,- -,- -,- -,9049000
44,Other Non-Current Assets,- -,- -,13193,6732,5643,6116,- -,5463,3063,- -,- -,94261,- -,1644844,- -,- -,- -,3144000,2759000,2374000,1989000,1604000,1711000,1301000
45,Total Non-Current Assets,- -,- -,254196,19516,11490,10358,- -,5463,4889,1642,284658,330826,179430,1778308,163000,82000,53000,3208000,2807000,2407000,1996000,1613000,1727000,10361000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,600000,3167408,660674,207493,142101,215523,221909,290661,321775,9279166,978982,2241605,81694120,74633000,61313000,39398000,45090000,22172000,18871000,7175000,11751000,7498000,234793000
48,Accounts Payable,- -,200000,390546,657162,124828,108859,111130,92004,72311,52044,531790,- -,- -,518976,1227000,3197000,1748000,3554000,2283000,1806000,414000,1050000,1346000,654000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000,44000,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7357830,430000,- -,395000,408000,400000,396000,393000,396000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,667000,1500000,1500000,1500000,1500000,- -,- -,- -
52,Other Current Liabilities,- -,100000,- -,- -,32075,32075,32075,- -,- -,- -,- -,1669333,4478325,21722180,5129000,4172000,2959000,6909000,1794000,1918000,2568000,813000,480000,9702000
53,Total Current Liabilities,- -,300000,390546,657162,156903,140934,143205,92004,72311,52044,579790,1713333,4518325,22241156,6356000,7369000,5374000,11963000,5577000,5224000,4482000,1863000,1826000,10356000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,1500000,2500000,1000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9049
57,Other Non-Current Liabilities,- -,100000,149872,- -,- -,- -,- -,- -,- -,- -,- -,160000,120000,- -,- -,- -,- -,- -,- -,- -,140000,- -,44000,- -
58,Total Non-Current Liabilities,- -,100000,149872,- -,- -,- -,- -,- -,- -,- -,204000,160000,120000,- -,- -,- -,- -,500000,1500000,2500000,1140000,- -,44000,9049
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,400000,540418,657162,156903,140934,143205,92004,72311,52044,783790,1873333,4638325,22241156,6356000,7369000,5374000,12463000,7077000,7724000,5622000,1863000,1870000,10356000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
