,https://roic.ai/company/GENE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4018649,5632766,13106580,9264206,3783173,9468958,9898272,13758805,15736055,11394103,9756736,18275701,3691215,3377183,4564280,2011918,824586,518506,189254,25444,9864,120554
2,COGS,- -,- -,- -,- -,3188600,4614309,8066560,6564786,891430,2203839,2716657,2034916,1948625,1945467,1837729,891243,743060,492417,300088,276267,251511,361027
3,Gross Profit,- -,- -,- -,- -,594573,4854649,1831712,7194019,14844624,9190264,7040079,16240785,1742590,1431716,2726551,1120675,81526,26089,-110834,-250823,-241647,-240473
4,Gross Profit Ratio,- -,- -,- -,- -,0.1572,0.5127,0.1851,0.5229,0.9434,0.8066,0.7216,0.8887,0.4721,0.4239,0.5974,0.5570,0.0989,0.0503,-0.5856,-9.8578,-24.4979,-1.9947
5,Research and Development Exp.,- -,300000,1061037,1223919,2374192,2396053,3794634,4523331,1270471,748254,90000,4380866,4029369,3462466,3298127,2851665,2584752,2366334,2210498,2360762,2477578,3109383
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,10437699,11279548,9657131,7793488,6875876,6813606,4252308,4658406,3532938,3109530,3015818,3830198,4058557,4158319
7,Selling and Marketing Exp.,- -,- -,224566,348796,- -,- -,- -,- -,222120,272726,340630,3018947,4384184,5266818,6251595,4504299,3186497,2721474,1066404,576077,637295,1119851
8,"Selling, General and Administrative Exp.",- -,- -,224566,348796,- -,- -,- -,- -,10659819,11552274,9997761,10812435,11260060,12080424,10503903,9162705,6719435,5831004,4082222,4406275,4695852,5278170
9,Other Expenses,6823761,8763687,20698920,12016836,5876052,10225283,4205591,4226171,4860094,5128062,4634380,- -,-2526599,-4965949,-1222227,-1138339,-660351,-253159,-426258,-856707,-1003139,-1385791
10,Operating Expenses,6823761,9063687,21984523,13589551,8250244,12621336,8000224,8749503,16790383,17428590,14722141,15193301,12762830,10576941,12579803,10876031,8643836,7944179,5866462,5910330,6170291,7001762
11,COGS and Expenses,6823761,9063687,21984523,13589551,11438844,17235645,16066784,15314289,17681813,19632429,17438798,17228217,14711455,12522408,14417532,11767274,9386896,8436596,6166550,6186597,6421802,7362789
12,Interest Income ,- -,- -,- -,- -,504334,635131,811002,455399,- -,- -,- -,- -,609807,217441,116047,39951,67100,38765,15218,25794,22507,62394
13,Interest Expense (Gain),- -,12682,10487,- -,- -,41639,85326,61829,66906,89499,100422,81934,45217,38968,744199,264694,28889,31995,28843,20031,14823,14049
14,Depreciation and Amortization,289919,3466435,4094250,3483826,626725,1493553,2392945,1714112,4765366,3987996,3706330,616870,561944,398309,338445,232203,390074,371611,303749,- -,- -,- -
15,EBITDA,-2149679,88714,-4719857,-841519,-6223240,-5740387,-2848432,356497,-625511,-3763578,-5537014,1608806,-4680362,-8861090,-9042553,-8313273,-8040002,-8000220,-5131280,-6405573,-6084107,-7063570
16,EBITDA ratio,-0.5349,0.0157,-0.3601,-0.0908,-1.6450,-0.6062,-0.2878,0.0259,-0.0398,-0.3303,-0.5675,0.0880,-1.2680,-2.6238,-1.9812,-4.1320,-9.7503,-15.4294,-27.1132,-251.7518,-616.7992,-58.5926
17,Operating Income,-2805112,-3430921,-8877943,-4325345,-7655671,-7766687,-6168512,-1555484,-1945759,-8238326,-7682062,965550,-5907065,-9108820,-9334239,-8099189,-8458965,-7995378,-5977296,-6161153,-6084107,-7242235
