,https://roic.ai/company/PLAG,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,82094963,132360317,146772442,184176567,213222106,239673463,215279785,217553660,215315437,79666740,5109998,6828887,4113077,3638801,37767964
2,COGS,- -,- -,61932474,101213340,114064067,142292716,168208856,188565488,172107742,179591460,179197430,69164801,5464979,6524228,2979728,2369736,33921709
3,Gross Profit,- -,- -,20162489,31146977,32708375,41883851,45013250,51107975,43172043,37962200,36118007,10501939,-354981,304659,1133349,1269065,3846255
4,Gross Profit Ratio,- -,- -,0.2456,0.2353,0.2229,0.2274,0.2111,0.2132,0.2005,0.1745,0.1677,0.1318,-0.0695,0.0446,0.2755,0.3488,0.1018
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,4047988,3646815,5807074,6583851,7506881,7231171,10654514,11824196,40797058,40566439,874675,1918455,3896489,7220769
7,Selling and Marketing Exp.,- -,- -,- -,6166248,6454953,8559003,10513567,11741692,10507616,11642381,10240890,6125771,431921,14409,40293,160109,2053452
8,"Selling, General and Administrative Exp.",- -,- -,- -,10214236,10101768,14366077,17097418,19248573,17738787,22296895,22065086,46922829,40998360,889084,1958748,4056598,9274221
9,Other Expenses,11174,30281,5487951,- -,- -,- -,- -,-1225227,-1606558,-2378323,-2467556,-1231521,- -,- -,- -,- -,808383
10,Operating Expenses,11174,30281,5487951,10214236,10101768,14366077,17097418,18023346,16132229,19918572,19597530,45691308,40998360,889084,1958748,4056598,10082604
11,COGS and Expenses,11174,30281,67420425,111427576,124165835,156658793,185306274,206588834,188239971,199510032,198794960,114856109,46463339,7413312,4938476,6426334,44004313
12,Interest Income ,14,34,209010,99411,73186,10375,86562,338027,79615,229580,432728,47188,- -,369,186,- -,1455
13,Interest Expense (Gain),- -,1346,2376088,2769597,3351606,4351714,2561700,4032148,5152923,8347086,7092845,4569019,4076495,13,9742,- -,646572
14,Depreciation and Amortization,- -,- -,820725,1432363,1473322,1504745,2351806,2954505,4527952,5511333,4593505,2233588,2110403,793191,755801,449053,2212080
15,EBITDA,-11174,-30281,15076649,21908603,23455745,29526394,31620249,35146964,31888527,20700655,20192399,-127271878,-56884002,21547252,3712739,-10602110,-6938283
16,EBITDA ratio,-Infinity,-Infinity,0.1836,0.1655,0.1598,0.1603,0.1483,0.1466,0.1481,0.0952,0.0938,-1.5976,-11.1319,3.1553,0.9027,-2.9136,-0.1837
17,Operating Income,-11174,-30281,14674539,20932741,22606607,27517774,27915832,31859402,25433256,15665305,14052921,-36420890,-41353341,-584425,-825399,-2787533,-6236349
18,Operating Income ratio,-Infinity,-Infinity,0.1788,0.1581,0.1540,0.1494,0.1309,0.1329,0.1181,0.0720,0.0653,-0.4572,-8.0926,-0.0856,-0.2007,-0.7661,-0.1651
19,Total Other Income Expenses (Gains),- -,- -,-2079343,-2251908,-3074928,-2439025,-12659,-2377990,-2170924,-8169471,-10728225,-48853627,-5837569,435344,-5011253,-8414541,-3698302
20,Income Before Tax,- -,- -,12595196,18680833,19531679,25078749,27903173,29481412,23262332,7495834,3324696,-85274517,-47190910,-149081,-5836652,-11202074,-9934651
21,Income Before Tax Ratio,- -,- -,0.1534,0.1411,0.1331,0.1362,0.1309,0.1230,0.1081,0.0345,0.0154,-1.0704,-9.2350,-0.0218,-1.4190,-3.0785,-0.2630
22,Income Tax expense (Gain),- -,- -,2134916,3003265,4222705,5830472,6819245,7737643,5573757,3089712,4515935,1898616,161192,164384,- -,- -,-56450
23,Net Income,-11160,-31593,9744920,14703378,14408112,17839463,19887498,20422668,16633895,3752524,3990114,-135973101,-63232092,20589664,2947196,-11051163,-9740485
24,Net Income ratio,-Infinity,-Infinity,0.1187,0.1111,0.0982,0.0969,0.0933,0.0852,0.0773,0.0172,0.0185,-1.7068,-12.3742,3.0151,0.7165,-3.0370,-0.2579
25,EPS,-8.21,-8.21,9.78,14.50,13.75,14.25,14.50,14.75,12.00,2.75,2.75,-88.75,-41.30,6.91,0.43,-1.09,-0.96
26,EPS Diluted,-8.21,-8.21,9.78,14.50,13.75,13.75,14.25,14.75,12.00,2.75,2.75,-88.75,-41.30,6.91,0.43,-1.09,-0.96
27,Weighted Average Shares Outstanding,2389,2706,996927,1006905,1043016,1260281,1377838,1381352,1384668,1392328,1484347,1530594,1530979,2978233,6897710,10112648,10112648
28,Weighted Average Shares Outstanding Diluted,2389,2706,996927,1006905,1050591,1288182,1389059,1381352,1384668,1392328,1484347,1530594,1530979,2978233,6897710,10112648,10112648
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1117057/000120445908000787/alorain041508form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445909000638/lorain10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445910000653/0001204459-10-000653-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000120445911000925/f10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000120445912000694/0001204459-12-000694-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000106299313001595/0001062993-13-001595-index.html,https://www.sec.gov/Archives/edgar/data/1117057/000106299314001728/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299315001971/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299316008985/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299317004593/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299318001699/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000106299319001730/form10k.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390020012050/f10k2019_planetgreen.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390021019100/0001213900-21-019100-index.htm,https://www.sec.gov/Archives/edgar/data/1117057/000121390022016419/0001213900-22-016419-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1083,1066,6769973,2841339,12111532,12730626,17353494,32345603,33857193,30279988,20664487,426054,85493,1062643,7403323,3415751,750658
32,Short-Term Investments,- -,- -,7246,113069,7320248,9447585,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705805
33,Cash and Short-Term Investments,1083,1066,6777219,2954408,19431780,22178211,17353494,32345603,33857193,30279988,20664487,426054,85493,1062643,7403323,3415751,1456463
34,Net Receivables,- -,- -,40412664,30401045,31466563,34719462,47617430,53595297,59769495,66989951,74639273,3962225,2342201,6546596,1393661,1927199,5004209
35,Inventory,- -,- -,17903344,24827922,26400117,29807198,34348997,38072704,41950253,51648160,43712048,11840748,10593403,- -,1946548,2251628,7816432
36,Other Current Assets,- -,- -,8296563,5359655,19343894,11285506,29103584,36145216,49835017,53011399,52034118,50590797,3920385,7381785,7414066,5922562,13026462
37,Total Current Assets,1083,1066,73389790,63543030,96642354,97990377,128423505,160158820,185411958,201929498,191049926,66819824,16941482,14991024,18157598,13517140,27303566
38,PP&E,- -,- -,24022181,40201686,41280407,72095007,84377306,83992891,109629772,112039498,90374650,52365784,37482591,139948,5887399,4596637,584802
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,10327553,3219172,- -,- -,- -,- -,2340111,18180532
40,Intangible Assets,- -,- -,3047021,- -,- -,- -,5425252,108560,111948,2084430,16186515,12586515,13167870,- -,1533927,1516467,4199651
41,Intangible Assets,- -,- -,3047021,3950927,3871547,4877438,5425252,108560,111948,12411983,19405687,12586515,13167870,- -,1533927,3856578,22380183
42,Investments,- -,- -,- -,- -,- -,- -,472270,270019,- -,3258125,3081332,118471,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1172050
44,Other Non-Current Assets,- -,- -,- -,- -,16088,20297,- -,5834944,7892634,6902615,5625935,16362855,896099,2079489,319174,- -,34574981
45,Total Non-Current Assets,- -,- -,27069202,44152613,45168042,76992742,90274828,90206414,117634354,134612221,118487604,81433625,51546560,2219437,7740500,8453215,58712016
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1083,1066,100458992,107695643,141810396,174983119,218698333,250365234,303046312,336541719,309537530,148253449,68488042,17210461,25898098,21970355,86015582
48,Accounts Payable,15338,15568,6251833,6072883,2614515,6284532,3900317,3646560,4015502,10071009,22463974,5514477,4150604,579228,952520,1302850,6237810
49,Short-Term Debt,- -,27000,26811948,19623481,35488212,29633381,36075516,32951250,35114559,70376624,61937690,52622967,55360265,- -,160805,- -,436191
50,Tax Payable,- -,- -,- -,2682658,2235341,3266502,4659242,5187724,5308105,4826054,6241218,248807,355142,155135,106423,198683,787593
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1428,166450,61428,237311,1347136,485295,3499,52722,257575,73732
52,Other Current Liabilities,- -,1346,18863277,13722627,8671675,4691820,6175901,5985143,6737948,10977369,12364451,22672531,19283174,9338403,3623817,2067131,27631154
