,https://roic.ai/company/SILC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3000000,2700000,5500000,9000000,5933000,5672000,7769000,4530000,2726000,3725000,4559000,10876000,16118000,26784000,25554000,20526000,30399000,39633000,48729000,73298000,75622000,82738000,100347000,125690000,133753000,105240000,107398000,128460000
2,COGS,1100000,1100000,2600000,5200000,3199000,3014000,4602000,3635000,2091000,2160000,2999000,6507000,9827000,16094000,15405000,12461000,17490000,22430000,28849000,43865000,44835000,48659000,61796000,79762000,91697000,69146000,73632000,84072000
3,Gross Profit,1900000,1600000,2900000,3800000,2734000,2658000,3167000,895000,635000,1565000,1560000,4369000,6291000,10690000,10149000,8065000,12909000,17203000,19880000,29433000,30787000,34079000,38551000,45928000,42056000,36094000,33766000,44388000
4,Gross Profit Ratio,0.6333,0.5926,0.5273,0.4222,0.4608,0.4686,0.4076,0.1976,0.2329,0.4201,0.3422,0.4017,0.3903,0.3991,0.3972,0.3929,0.4247,0.4341,0.4080,0.4016,0.4071,0.4119,0.3842,0.3654,0.3144,0.3430,0.3144,0.3455
5,Research and Development Exp.,- -,- -,- -,800000,787000,661000,1008000,864000,1538000,1497000,1451000,1463000,1820000,2208000,3048000,2716000,3280000,4165000,4401000,5465000,6480000,9702000,12663000,13915000,14820000,15075000,17244000,20091000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1427000,1313000,1523000,1890000,2369000,2572000,2843000,3611000,3969000,4507000,3943000,4159000,4065000,4641000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2093000,1821000,2207000,2677000,3081000,3818000,4418000,5651000,6423000,6722000,6642000,6647000,6209000,6599000
8,"Selling, General and Administrative Exp.",1800000,2200000,2300000,1900000,1595000,1528000,1646000,1738000,1734000,1604000,1332000,1598000,2085000,2726000,3520000,3134000,3730000,4567000,5450000,6390000,7261000,9262000,10392000,11229000,10585000,10806000,10274000,11240000
9,Other Expenses,100000,200000,200000,100000,153000,171000,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1900000,2400000,2500000,2800000,2535000,2360000,2634000,2602000,3272000,3101000,2783000,3061000,3905000,4934000,6568000,5850000,7010000,8732000,9851000,11855000,13741000,18964000,23055000,25144000,25405000,25881000,27518000,31331000
11,COGS and Expenses,3000000,3500000,5100000,8000000,5734000,5374000,7236000,6237000,5363000,5261000,5782000,9568000,13732000,21028000,21973000,18311000,24500000,31162000,38700000,55720000,58576000,67623000,84851000,104906000,117102000,95027000,101150000,115403000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1361000,1001000,- -,- -,1360000,1290000,1266000,1026000,751000,527000,840000,2295000,2197000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,164000,- -,- -,561000,643000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,200000,200000,100000,153000,171000,162000,- -,35000,110000,142000,131000,179000,277000,450000,437000,416000,379000,454000,659000,996000,2767000,3856000,3799000,3293000,1997000,2384000,- -
