,https://roic.ai/company/GNL,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,30000,3951000,93383000,205332000,214174000,259295000,282207000,306214000,330104000,391228000
2,COGS,- -,42000,7947000,18180000,19038000,28857000,28732000,28314000,32372000,32746000
3,Gross Profit,30000,3909000,85436000,187152000,195136000,230438000,253475000,277900000,297732000,358482000
4,Gross Profit Ratio,1.0000,0.9894,0.9149,0.9115,0.9111,0.8887,0.8982,0.9075,0.9019,0.9163
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,184000,108000,5111000,43340000,30607000,29318000,41322000,52930000,59130000,67311000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",184000,108000,5111000,43340000,30607000,29318000,41322000,52930000,59130000,67311000
9,Other Expenses,21000,2112000,40387000,90070000,94455000,113048000,119582000,125996000,-45866000,163076000
10,Operating Expenses,205000,2220000,45498000,133410000,125062000,142366000,160904000,178926000,13264000,230387000
11,COGS and Expenses,205000,2262000,53445000,151590000,144100000,171223000,189636000,207240000,230045000,263133000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10000,969000,14852000,34864000,39121000,48450000,57973000,64199000,71804000,94345000
14,Depreciation and Amortization,30000,2112000,41504000,92456000,96973000,118342000,125175000,131169000,142778000,163318000
15,EBITDA,-373000,-3908000,1331000,131144000,187656000,193497000,196479000,246176000,230329000,281181000
16,EBITDA ratio,-12.4333,-0.9891,0.0143,0.6387,0.8762,0.7462,0.6962,0.8039,0.6977,0.7187
17,Operating Income,-403000,-6056000,-42129000,33209000,60282000,86048000,68020000,114895000,99243000,111913000
18,Operating Income ratio,-13.4333,-1.5328,-0.4511,0.1617,0.2815,0.3319,0.2410,0.3752,0.3006,0.2861
19,Total Other Income Expenses (Gains),-10000,-933000,-12896000,-29335000,-8283000,-59322000,-54689000,-64087000,-83496000,-88395000
20,Income Before Tax,-413000,-6989000,-55025000,3874000,51999000,26726000,13331000,50808000,15747000,23518000
21,Income Before Tax Ratio,-13.7667,-1.7689,-0.5892,0.0189,0.2428,0.1031,0.0472,0.1659,0.0477,0.0601
22,Income Tax expense (Gain),- -,- -,-1431000,5889000,4422000,3140000,2434000,4332000,4969000,12152000
23,Net Income,-413000,-6989000,-53594000,-2065000,47140000,23565000,10897000,46476000,10778000,11366000
24,Net Income ratio,-13.7667,-1.7689,-0.5739,-0.0101,0.2201,0.0909,0.0386,0.1518,0.0327,0.0291
25,EPS,-0.01,-0.12,-0.95,-0.04,0.81,0.30,0.01,0.40,-0.09,-0.20
26,EPS Diluted,-0.01,-0.12,-0.95,-0.04,0.81,0.30,0.01,0.39,-0.09,-0.20
27,Weighted Average Shares Outstanding,56315858,56315858,56315858,58109025,56720391,66878000,69411000,85031000,89474000,98284000
28,Weighted Average Shares Outstanding Diluted,56315858,56315858,56315858,58109025,56720391,66878000,69663000,86350000,89474000,98284000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1526113/000152611313000004/0001526113-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611314000008/form10k.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611315000002/arcg1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611316000014/0001526113-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611317000005/0001526113-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611318000004/0001526113-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611319000006/0001526113-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611320000006/0001526113-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1526113/000152611321000007/0001526113-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1526113/000152611322000005/0001526113-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,300000,11500000,64684000,69938000,69831000,102425000,100324000,270302000,124245000,89668000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,11500000,64684000,69938000,69831000,102425000,100324000,270302000,124245000,89668000
34,Net Receivables,- -,1766000,500000,136000,35613000,42755000,47199000,52146000,61384000,74221000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-71000,4191000,30977000,41712000,25074000,27919000,138516000,41355000,45377000,52821000
37,Total Current Assets,229000,17457000,96161000,111786000,130518000,173099000,286039000,363803000,231006000,216710000
38,PP&E,2600000,- -,- -,- -,- -,- -,- -,50211000,58395000,52851000
39,Goodwill,- -,- -,3665000,2988000,13931000,22771000,22180000,21920000,23089000,22060000
40,Intangible Assets,- -,47899000,484079000,518294000,587061000,629626000,675551000,651768000,711985000,748363000
41,Intangible Assets,856000,47899000,487744000,521282000,600992000,652397000,697731000,673688000,735074000,770423000
42,Investments,- -,- -,490000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,2102000,2552000,1586000,1029000,3293000,4441000,2367000,1488000
44,Other Non-Current Assets,-785000,149571000,1842300000,1912348000,2158371000,2212070000,2322415000,2609462000,2940172000,3141484000
45,Total Non-Current Assets,2671000,197470000,2332636000,2436182000,2760949000,2865496000,3023439000,3337802000,3736008000,3966246000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2900000,214927000,2428797000,2547968000,2891467000,3038595000,3309478000,3701605000,3967014000,4182956000
48,Accounts Payable,- -,2519000,19357000,18659000,22861000,23227000,31529000,22903000,28310000,25887000
