,https://roic.ai/company/GPRE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,24202391,188800000,1304174000,2132968000,3553712000,3476870000,3041011000,3235611000,2965589000,3410881000,3596166000,3843353000,2417238000,1923719000,2827168000
2,COGS,- -,- -,23042844,175400000,1221745000,1981396000,3381480000,3380099000,2867991000,2860813000,2729599000,3096079000,3301587000,3627633000,2384947000,1812163000,2625109000
3,Gross Profit,- -,- -,1159547,13400000,82429000,151572000,172232000,96771000,173020000,374798000,235990000,314802000,294579000,215720000,32291000,111556000,202059000
4,Gross Profit Ratio,- -,- -,0.0479,0.0710,0.0632,0.0711,0.0485,0.0278,0.0569,0.1158,0.0796,0.0923,0.0819,0.0561,0.0134,0.0580,0.0715
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,729546,2150986,8943202,18500000,- -,60467000,73219000,79019000,65169000,88524000,79594000,104677000,112024000,115878000,77077000,84932000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",729546,2150986,8943202,18500000,44923000,60467000,73219000,79019000,65169000,88524000,79594000,104677000,112024000,115878000,77077000,84932000,91139000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95319000,118437000,140809000,134463000,97784000,104369000,115013000
10,Operating Expenses,729546,2150986,8943202,18500000,44923000,60467000,73219000,79019000,65169000,88524000,174913000,223114000,252833000,250341000,174861000,189301000,206152000
11,COGS and Expenses,729546,2150986,31986046,193900000,1266668000,2041863000,3454699000,3459118000,2933160000,2949337000,2904512000,3319193000,3554420000,3877974000,2559808000,2001464000,2831261000
12,Interest Income ,- -,- -,- -,- -,225000,313000,310000,191000,294000,635000,1211000,1541000,1597000,3108000,4333000,659000,575000
13,Interest Expense (Gain),- -,- -,- -,-3800000,18049000,24668000,36645000,37521000,33357000,39908000,40366000,51851000,90160000,101025000,40200000,39993000,67144000
14,Depreciation and Amortization,1693,13201,1028101,4700000,29413000,38810000,50076000,52828000,51002000,60362000,65950000,84226000,107361000,103619000,72127000,78244000,91952000
15,EBITDA,-727853,-2137785,-6404860,-6000000,67343000,129379000,148825000,115521000,156640000,350700000,119617000,154600000,133800000,203841000,-75849000,-40921000,94949000
16,EBITDA ratio,-Infinity,-Infinity,-0.2646,-0.0318,0.0516,0.0607,0.0419,0.0332,0.0515,0.1084,0.0403,0.0453,0.0372,0.0530,-0.0314,-0.0213,0.0336
17,Operating Income,-729546,-2150986,-7783655,-5200000,37506000,91105000,99013000,64885000,107851000,286274000,61077000,91688000,41746000,115730000,-142570000,-122696000,25508000
18,Operating Income ratio,-Infinity,-Infinity,-0.3216,-0.0275,0.0288,0.0427,0.0279,0.0187,0.0355,0.0885,0.0206,0.0269,0.0116,0.0301,-0.0590,-0.0638,0.0090
19,Total Other Income Expenses (Gains),331792,3395106,350694,-2800000,-17261000,-25054000,-37114000,-39729000,-35570000,-35844000,-39612000,-53337000,-84897000,-95722000,-30372000,-38434000,-68509000
20,Income Before Tax,-397754,1244120,-7432961,-8000000,20245000,66051000,61899000,25156000,72281000,250430000,21465000,38351000,-43151000,20008000,-172942000,-161130000,-43001000
21,Income Before Tax Ratio,-Infinity,Infinity,-0.3071,-0.0424,0.0155,0.0310,0.0174,0.0072,0.0238,0.0774,0.0072,0.0112,-0.0120,0.0052,-0.0715,-0.0838,-0.0152
22,Income Tax expense (Gain),- -,326000,-294489,- -,91000,17889000,23686000,13393000,28890000,90926000,6237000,7860000,-124782000,-16726000,-21316000,-50383000,1845000
23,Net Income,-397754,918120,-7138472,-6900000,19790000,48012000,38418000,11779000,43391000,159504000,7064000,10663000,61061000,15923000,-166860000,-108775000,-65992000
24,Net Income ratio,-Infinity,Infinity,-0.2949,-0.0365,0.0152,0.0225,0.0108,0.0034,0.0143,0.0493,0.0024,0.0031,0.0170,0.0041,-0.0690,-0.0565,-0.0233
25,EPS,-0.42,0.19,-1.18,-0.56,0.79,1.55,1.09,0.39,1.44,4.37,0.19,0.28,1.56,0.39,-4.38,-3.14,-0.87
26,EPS Diluted,-0.42,0.19,-1.18,-0.56,0.79,1.51,1.01,0.39,1.26,3.96,0.18,0.28,1.47,0.39,-4.38,-3.14,-0.87
27,Weighted Average Shares Outstanding,945517,4877938,6074182,12400000,24895000,31032000,35276000,30296000,30183000,36467000,37947000,38318000,39247000,40320000,38111000,34631000,50482000
28,Weighted Average Shares Outstanding Diluted,945517,4904545,6074182,12400000,25069000,32347000,41808000,30463000,38304000,40730000,39028000,38573000,50240000,41254000,38111000,34631000,50482000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1309402/000107878208000213/gpre10k1107.htm,https://www.sec.gov/Archives/edgar/data/1309402/000107878209000444/0001078782-09-000444-index.html,- -,https://www.sec.gov/Archives/edgar/data/1309402/000119312511056267/d10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000119312512067531/0001193125-12-067531-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940213000021/0001309402-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940214000007/gpre-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940215000007/gpre-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940216000149/0001309402-16-000149-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940217000046/0001309402-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940218000045/0001309402-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940219000024/0001309402-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940220000006/0001309402-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1309402/000130940221000014/0001309402-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1309402/000130940222000008/0001309402-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5794936,43088464,11913868,62300000,89779000,233205000,174988000,254289000,272027000,425510000,384867000,304211000,266651000,251683000,245977000,233860000,426220000
32,Short-Term Investments,28064700,- -,- -,- -,- -,33557000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3994000,124859000
33,Cash and Short-Term Investments,33859636,43088464,11913868,62300000,89779000,266762000,174988000,254289000,272027000,425510000,384867000,304211000,266651000,251683000,245977000,237854000,551079000
34,Net Receivables,- -,183611,3063147,54300000,44637000,89170000,106198000,80537000,106808000,138073000,105254000,157874000,157535000,112779000,113399000,56229000,120872000
