,https://roic.ai/company/BLIN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,4888000,5769000,8235000,11151000,21295000,23901000,23558000,26267000,26296000,24506000,23737000,19224000,15895000,16293000,13568000,9952000,10907000,13259000
2,COGS,2290000,3113000,3809000,5020000,10305000,10533000,11207000,12995000,11771000,11538000,12205000,11039000,7282000,7160000,6748000,5360000,4507000,4533000
3,Gross Profit,2598000,2656000,4426000,6131000,10990000,13368000,12351000,13272000,14525000,12968000,11532000,8185000,8613000,9133000,6820000,4592000,6400000,8726000
4,Gross Profit Ratio,0.5315,0.4604,0.5375,0.5498,0.5161,0.5593,0.5243,0.5053,0.5524,0.5292,0.4858,0.4258,0.5419,0.5605,0.5027,0.4614,0.5868,0.6581
5,Research and Development Exp.,26000,43000,176000,791000,619000,1124000,926000,1866000,1456000,1365000,2386000,1901000,1578000,1587000,1604000,2185000,1641000,2387000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,4001000,4416000,3875000,3931000,4474000,4392000,3935000,3456000,3256000,2852000,3246000,2455000,2359000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,6192000,5962000,6738000,7730000,8593000,7988000,5760000,4934000,4807000,3951000,4824000,2614000,2726000
8,"Selling, General and Administrative Exp.",2704000,3074000,5060000,5977000,9825000,10193000,10378000,10613000,11661000,13067000,12380000,9695000,8390000,8063000,6803000,8070000,5069000,5085000
9,Other Expenses,- -,- -,- -,369000,10879000,1222000,1286000,1340000,1729000,1690000,1999000,1695000,1309000,582000,356000,620000,8000,1114000
10,Operating Expenses,2730000,3117000,5236000,7137000,21323000,12539000,12590000,13819000,14846000,16122000,16765000,13291000,11277000,10232000,8763000,10875000,6718000,8586000
11,COGS and Expenses,5020000,6230000,9045000,12157000,31628000,23072000,23797000,26814000,26617000,27660000,28970000,24330000,18559000,17392000,15511000,16235000,11225000,13119000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,211000,276000,273000,- -,- -,- -,- -,233000,535000,7000,883000
14,Depreciation and Amortization,109000,207000,741000,978000,1250000,1492000,1649000,1718000,1899000,2004000,2486000,2319000,1717000,641000,413000,649000,968000,1202000
15,EBITDA,-69000,-310000,-707000,-919000,-9059000,2281000,1345000,1171000,1297000,-1150000,-3486000,-14675000,-6154000,-945000,-6576000,-8286000,1312000,-5778000
16,EBITDA ratio,-0.0141,-0.0537,-0.0859,-0.0824,-0.4254,0.0954,0.0571,0.0446,0.0493,-0.0469,-0.1469,-0.7634,-0.3872,-0.0580,-0.4847,-0.8326,0.1203,-0.4358
17,Operating Income,-132000,-461000,-810000,-1006000,-10333000,829000,-239000,-547000,-602000,-3154000,-5233000,-16102000,-3543000,-1385000,-6989000,-11068000,-1644000,-1183000
18,Operating Income ratio,-0.0270,-0.0799,-0.0984,-0.0902,-0.4852,0.0347,-0.0101,-0.0208,-0.0229,-0.1287,-0.2205,-0.8376,-0.2229,-0.0850,-0.5151,-1.1121,-0.1507,-0.0892
19,Total Other Income Expenses (Gains),-46000,-56000,-638000,-891000,24000,-40000,-65000,-211000,-276000,-273000,-739000,-892000,-4328000,-201000,-233000,1598000,1981000,-6680000
20,Income Before Tax,-178000,-517000,-1448000,-1897000,-10309000,789000,-304000,-758000,-878000,-3427000,-5972000,-16994000,-7871000,-1586000,-7222000,-9470000,337000,-7863000
21,Income Before Tax Ratio,-0.0364,-0.0896,-0.1758,-0.1701,-0.4841,0.0330,-0.0129,-0.0289,-0.0334,-0.1398,-0.2516,-0.8840,-0.4952,-0.0973,-0.5323,-0.9516,0.0309,-0.5930
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,31000,73000,24000,68000,171000,243000,-226000,-47000,16000,-3000,4000,11000,-1174000
23,Net Income,-178000,-517000,-1448000,-1897000,-10309000,758000,-377000,-782000,-946000,-3598000,-6215000,-16768000,-7824000,-1602000,-7219000,-9474000,326000,-6689000
