,https://roic.ai/company/BWEN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,1966974,4022854,29804000,217321000,197830000,136896000,185854000,210707000,215710000,241268000,199156000,180840000,146785000,125380000,178220000,198496000,145619000
2,COGS,- -,- -,- -,- -,- -,- -,4009338,4516593,25865000,183951000,186027000,134950000,178667000,203871000,203365000,223778000,191289000,162701000,138626000,122315000,162808000,180495000,140108000
3,Gross Profit,- -,- -,- -,- -,- -,- -,-2042364,-493739,3939000,33370000,11803000,1946000,7187000,6836000,12345000,17490000,7867000,18139000,8159000,3065000,15412000,18001000,5511000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-1.0383,-0.1227,0.1322,0.1536,0.0597,0.0142,0.0387,0.0324,0.0572,0.0725,0.0395,0.1003,0.0556,0.0244,0.0865,0.0907,0.0378
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,62732,42744,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,7303,782357,1534019,5724000,41545000,34825000,27404000,26316000,21634000,21414000,21181000,18271000,15786000,13828000,13625000,16086000,16846000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,24662,5677,1873,615,7303,782357,1534019,5724000,41545000,34825000,27404000,26316000,21634000,21414000,21181000,18271000,15786000,13828000,13625000,16086000,16846000,17372000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,1750000,13568000,10404000,2992000,859000,1759000,1552000,444000,444000,444000,1764000,1884000,1683000,733000,733000
10,Operating Expenses,- -,24662,5677,- -,- -,7303,845089,1576763,7474000,55113000,45229000,30396000,27175000,23393000,22966000,21625000,18715000,16230000,15592000,15509000,17769000,17579000,18105000
11,COGS and Expenses,- -,24662,5677,1873,615,7303,4854427,6093356,33339000,239064000,231256000,165346000,205842000,227264000,226331000,245403000,210004000,178931000,154218000,137824000,180577000,198074000,158213000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,400000,584000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,221955,410873,1239000,2860000,2525000,- -,- -,1711000,- -,- -,- -,- -,798000,1496000,2309000,1984000,-1129000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,244531,327277,3538000,21866000,25725000,16463000,14534000,16537000,14856000,12183000,9179000,6914000,8999000,9183000,7497000,6279000,6336000
15,EBITDA,- -,-24662,-5677,-1873,-615,-7303,-2656198,-1996333,376000,503000,-83458000,-68872000,-7346000,367000,4429000,5783000,-12664000,7231000,1111000,-13672000,5321000,6824000,8079000
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.3504,-0.4962,0.0126,0.0023,-0.4219,-0.5031,-0.0395,0.0017,0.0205,0.0240,-0.0636,0.0400,0.0076,-0.1090,0.0299,0.0344,0.0555
