,https://roic.ai/company/HDVY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,580,- -,- -,230000,200000,60000,70000,60000,400000,120000,1590000,1050000,1030000,44600,43510,44950,44300,1518810,1
2,COGS,- -,- -,- -,- -,30000,30000,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,580,- -,- -,200000,170000,40000,60000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1518810,1
4,Gross Profit Ratio,- -,1.0000,- -,- -,0.8696,0.8500,0.6667,0.8571,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,30000,440000,250000,130000,120000,100000,40810,27000,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,225133,- -,- -,- -,- -,1979472,1807072,4481677,2620255,3032398,1927027,631760,541717,707723,641832,551201,1287445,1743000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,225133,- -,- -,- -,- -,1979472,1807072,4481677,2620255,3032398,1927027,631760,541717,707723,641832,551201,1287445,1743000
9,Other Expenses,346470,356348,4512,2205103,3297072,2698927,2530936,262719,232719,257968,263690,260367,258653,261919,262722,262914,262719,262719,152908,-1741257
10,Operating Expenses,346470,356348,229645,2205103,3297072,2698927,2530936,2242191,2069791,5179645,3133945,3422765,2305680,993679,845249,997637,904551,813920,1440353,1743
11,COGS and Expenses,346470,356348,310000,2210000,3330000,2730000,2550000,2250000,2070000,7450000,3620000,3420000,2360000,990000,741440,927910,904550,813920,1440350,1743
12,Interest Income ,- -,- -,- -,- -,- -,21008,39614,39160,6393,15502,6385,1059,- -,- -,- -,- -,- -,- -,721,1000
13,Interest Expense (Gain),- -,- -,- -,- -,55406,190922,286398,1161,15276,159,- -,- -,- -,- -,- -,- -,1210,25854,37333,10000
14,Depreciation and Amortization,- -,- -,14,144326,256038,270316,270865,268147,269062,270865,272384,272877,270633,267351,263644,262914,262719,262719,152908,- -
15,EBITDA,-346470,-355768,-290000,-2070000,-2848556,-2138762,-2142737,-1880692,-1735662,-6768976,-3217616,-167123,-499367,447351,-323416,-1805706,-609961,-506897,1750951,-1742
16,EBITDA ratio,-Infinity,-613.3931,-Infinity,-Infinity,-12.3850,-10.6938,-35.7123,-26.8670,-28.9277,-16.9224,-26.8135,-0.1051,-0.4756,0.4343,-7.2515,-41.5009,-13.5698,-11.4424,1.1528,-1742.0000
17,Operating Income,-346470,-355768,-229595,-2205088,-3103610,-2523709,-2449737,-2185460,-2007988,-4783469,-3014991,-1837248,-1252073,38448,-800648,-954145,-859600,-769620,78453,-1742000
18,Operating Income ratio,-Infinity,-613.3931,-Infinity,-Infinity,-13.4940,-12.6185,-40.8289,-31.2209,-33.4665,-11.9587,-25.1249,-1.1555,-1.1925,0.0373,-17.9517,-21.9293,-19.1235,-17.3729,0.0517,-1742000.0000
19,Total Other Income Expenses (Gains),- -,- -,-80405,-4912,-56390,-76291,-250263,35460,-12012,-2256531,-475009,1397248,482073,141552,213588,-1114475,-14290,-25850,1482257,983
20,Income Before Tax,-346470,-355768,-310000,-2210000,-3160000,-2600000,-2700000,-2150000,-2020000,-7040000,-3490000,-440000,-770000,180000,-587060,-2068620,-873890,-795470,1560710,- -
21,Income Before Tax Ratio,-Infinity,-613.3931,-Infinity,-Infinity,-13.7391,-13.0000,-45.0000,-30.7143,-33.6667,-17.6000,-29.0833,-0.2767,-0.7333,0.1748,-13.1628,-47.5436,-19.4414,-17.9564,1.0276,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-346470,-355768,-310000,-2210000,-3160000,-2600000,-2700000,-2150000,-2020000,-7040000,-3490000,-440000,-770000,180000,-587060,-2068620,-873890,-795470,1560710,- -
24,Net Income ratio,-Infinity,-613.3931,-Infinity,-Infinity,-13.7391,-13.0000,-45.0000,-30.7143,-33.6667,-17.6000,-29.0833,-0.2767,-0.7333,0.1748,-13.1628,-47.5436,-19.4414,-17.9564,1.0276,- -
25,EPS,-0.05,-0.01,-0.01,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.03,-0.01,-0.00,-0.00,0.00,-0.00,-0.01,-0.00,-0.00,0.00,-0.00
26,EPS Diluted,-0.05,-0.01,-0.01,-0.03,-0.03,-0.02,-0.02,-0.01,-0.01,-0.03,-0.01,-0.00,-0.00,0.00,-0.00,-0.01,-0.00,-0.00,0.00,-0.00
