,https://roic.ai/company/OMEX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2113,- -,13500,235750,250,1,9975,- -,- -,10036575,5063920,6146889,4104778,4347465,21000695,15727232,13197515,23913949,1322882,5330251,4683035,1248477,3275753,3072987,2038332,921238
2,COGS,- -,- -,- -,- -,- -,404292,605866,782957,1160746,- -,1098014,1087830,2291540,631613,680530,191091,414993,18177110,26719335,19724314,12875837,8267401,3438389,3688560,7927831,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,-404042,-605865,-772982,-1160746,- -,8938561,3976090,3855349,3473165,3666935,20809604,15312239,-4979595,-2805386,-18401432,-7545586,-3584366,-2189912,-412807,-4854844,2038332,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,-1616.1680,-605865.0000,-77.4919,-Infinity,- -,0.8906,0.7852,0.6272,0.8461,0.8435,0.9909,0.9736,-0.3773,-0.1173,-13.9101,-1.4156,-0.7654,-1.7541,-0.1260,-1.5798,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,229611,171373,169316,23971,- -,- -,- -,- -,- -,12594834,19570672,21288476,17941573,26024548,19477227,11428506,8267401,3438389,3688560,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,520703,384143,486068,804850,681069,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5654409,- -,- -,6321798
7,Selling and Marketing Exp.,- -,- -,- -,51610,88773,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,572313,472916,486068,804850,681069,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5654409,- -,- -,6321798
9,Other Expenses,- -,76264,38005,446244,573511,28263,34878,- -,1436220,- -,20588071,23720834,27615247,28438302,9426775,9151502,9392465,-7335292,-11863083,-9685967,30022,-308279,2728792,-3688560,5491849,14673731,9550619
10,Operating Expenses,- -,76264,38005,1018557,1046427,743942,1011101,850385,1460191,- -,20588071,23720834,27615247,28438302,22021609,28722174,30680941,10606281,14161465,9791260,11458528,7959122,6167181,5654409,5491849,14673731,15872417
11,COGS and Expenses,- -,76264,38005,1018557,1046427,1148234,1616967,1633342,2620937,- -,21686085,24808664,29906787,29069915,22702139,28913265,31095934,28783391,40880800,29515574,24334365,16226523,9605570,9342969,13419680,14673731,- -
12,Interest Income ,- -,2113,- -,7861,10766,30115,23456,65705,33296,- -,57882,103580,335066,227146,38255,3903,3875,24420,9966,25302,137,- -,112,56408,151,5121,4036
